surface_id,role_code,certified_flag,candidate_flag,formal_artifact_flag,quotient_state_count,dynamics_count,selector_count,membership_count,selector_fiber_total,contractible_count,noncontractible_count,closure_gap_flag
0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0
2,2,1,0,0,543,0,0,0,0,0,0,0
3,3,1,0,0,543,0,0,0,0,0,0,0
4,4,1,0,0,0,0,0,0,0,0,0,0
5,5,1,0,0,0,0,0,0,0,0,0,0
6,6,1,1,0,543,543,8,0,0,5,3,1
7,7,1,0,1,0,0,0,0,0,0,0,0
8,8,1,0,1,543,543,8,1091,1091,0,0,0
9,9,1,0,1,543,543,0,1091,0,0,0,0
10,10,1,0,1,0,543,8,1091,1091,0,0,0
11,11,1,0,1,0,543,8,0,1091,0,0,0
12,12,1,0,1,0,0,0,0,0,0,0,0
13,13,1,0,1,0,0,0,0,0,0,0,0
14,14,1,0,1,0,0,0,0,0,0,0,0
15,15,1,0,1,0,0,0,0,0,0,0,0
16,16,1,0,1,0,0,0,0,0,0,0,0
17,17,1,0,1,0,0,0,0,0,0,0,0
18,18,1,0,1,0,0,0,0,0,0,0,0
19,19,1,0,1,0,0,0,0,0,0,0,0
20,20,1,0,1,0,0,0,1086,0,0,0,0
21,21,1,0,0,0,0,0,0,0,0,0,0
22,22,1,0,1,543,0,0,0,0,0,0,0
