stress_edge_id,source_atom,target_atom,initial_flux_scaled,counterflow_scaled,corrected_flux_scaled,edge_used_initial_flag,edge_used_counterflow_flag,edge_used_corrected_flag
0,0,11,0,2454968259,2454968259,0,1,1
1,0,19,-1627463138,0,-1627463138,1,0,1
2,0,10,0,4894010564,4894010564,0,1,1
3,0,5,924978992,0,924978992,1,0,1
4,0,12,0,4234164820,4234164820,0,1,1
5,1,18,-3306174279,11794001857,8487827578,1,1,1
6,1,4,2357260089,0,2357260089,1,0,1
7,1,13,0,676506229,676506229,0,1,1
8,1,16,0,0,0,0,0,0
9,1,6,0,0,0,0,0,0
10,2,5,861278014,0,861278014,1,0,1
11,2,17,0,0,0,0,0,0
12,2,4,0,0,0,0,0,0
13,2,1,0,0,0,0,0,0
14,2,12,-698772247,4168743247,3469971000,1,1,1
15,3,16,0,0,0,0,0,0
16,3,6,0,0,0,0,0,0
17,3,13,0,0,0,0,0,0
18,3,18,-3008037944,218722080,-2789315864,1,1,1
19,3,1,2789315864,0,2789315864,1,0,1
20,4,15,-1005170621,3267864727,2262694106,1,1,1
21,4,1,0,0,0,0,0,0
22,4,16,0,0,0,0,0,0
23,4,13,0,100028407,100028407,0,1,1
24,4,2,718397382,0,718397382,1,0,1
25,5,2,3612851632,0,3612851632,1,0,1
26,5,12,-3346577252,625549877,-2721027375,1,1,1
27,5,4,0,0,0,0,0,0
28,5,14,0,894432749,894432749,0,1,1
29,5,1,0,0,0,0,0,0
30,6,13,0,0,0,0,0,0
31,6,3,0,0,0,0,0,0
32,6,16,0,0,0,0,0,0
33,6,18,-729893020,1211050,-728681970,1,1,1
34,6,1,728681970,0,728681970,1,0,1
35,7,12,-4947681144,0,-4947681144,1,0,1
36,7,15,0,0,0,0,0,0
37,7,9,4879688304,0,4879688304,1,0,1
38,7,14,0,8151413237,8151413237,0,1,1
39,7,17,0,0,0,0,0,0
40,8,19,-1153357978,1872992994,719635016,1,1,1
41,8,9,1126064767,0,1126064767,1,0,1
42,8,7,0,0,0,0,0,0
43,8,14,0,2205854598,2205854598,0,1,1
44,8,17,0,1225370314,1225370314,0,1,1
45,9,8,5276924695,0,5276924695,1,0,1
46,9,7,0,0,0,0,0,0
47,9,19,-4495980435,5841757113,1345776678,1,1,1
48,9,15,0,910710462,910710462,0,1,1
49,9,14,0,0,0,0,0,0
50,10,12,0,0,0,0,0,0
51,10,5,0,0,0,0,0,0
52,10,11,-1798968720,0,-1798968720,1,0,1
53,10,4,0,0,0,0,0,0
54,10,9,1527658764,0,1527658764,1,0,1
55,11,0,5029584201,0,5029584201,1,0,1
56,11,10,-4373584662,0,-4373584662,1,0,1
57,11,8,0,0,0,0,0,0
58,11,5,0,0,0,0,0,0
59,11,12,0,0,0,0,0,0
60,12,7,827163159,0,827163159,1,0,1
61,12,5,0,0,0,0,0,0
62,12,10,-791735858,0,-791735858,1,0,1
63,12,4,0,0,0,0,0,0
64,12,1,0,0,0,0,0,0
65,13,6,0,0,0,0,0,0
66,13,16,0,0,0,0,0,0
67,13,3,0,0,0,0,0,0
68,13,1,3678786710,0,3678786710,1,0,1
69,13,18,-3626111880,0,-3626111880,1,0,1
70,14,17,-1795007446,0,-1795007446,1,0,1
71,14,5,0,0,0,0,0,0
72,14,18,0,0,0,0,0,0
73,14,15,0,0,0,0,0,0
74,14,7,1484423974,0,1484423974,1,0,1
75,15,4,0,0,0,0,0,0
76,15,18,0,0,0,0,0,0
77,15,7,3635640175,0,3635640175,1,0,1
78,15,3,0,0,0,0,0,0
79,15,14,-3443327095,0,-3443327095,1,0,1
80,16,3,0,0,0,0,0,0
81,16,13,-784748863,60889057,-723859806,1,1,1
82,16,6,0,0,0,0,0,0
83,16,1,0,0,0,0,0,0
84,16,4,723859806,0,723859806,1,0,1
85,17,14,-2705830221,0,-2705830221,1,0,1
86,17,2,0,0,0,0,0,0
87,17,18,0,0,0,0,0,0
88,17,15,0,0,0,0,0,0
89,17,7,2136193089,0,2136193089,1,0,1
90,18,1,4324809352,0,4324809352,1,0,1
91,18,3,0,0,0,0,0,0
92,18,15,-2981091488,0,-2981091488,1,0,1
93,18,13,0,0,0,0,0,0
94,18,6,0,0,0,0,0,0
95,19,8,0,0,0,0,0,0
96,19,9,0,0,0,0,0,0
97,19,7,0,0,0,0,0,0
98,19,0,5851075296,0,5851075296,1,0,1
99,19,14,-5413126740,0,-5413126740,1,0,1
