atom_id,pre_net_divergence_scaled,counterterm_scaled,post_net_divergence_scaled,counterterm_support_flag,pre_local_balance_flag,post_local_balance_flag,minimal_support_required_flag
0,-100000000000,100000000000,0,1,0,1,1
1,-7311715047,7311715047,0,1,0,1,1
2,0,0,0,0,1,1,0
3,-338229093,338229093,0,1,0,1,1
4,0,0,0,0,1,1,0
5,-13780907427,13780907427,0,1,0,1,1
6,338229093,-338229093,0,1,0,1,1
7,9964232800,-9964232800,0,1,0,1,1
8,-22323258234,22323258234,0,1,0,1,1
9,-110236915020,110236915020,0,1,0,1,1
10,-74652077480,74652077480,0,1,0,1,1
11,94652077480,-94652077480,0,1,0,1,1
12,21092622474,-21092622474,0,1,0,1,1
13,-338229093,338229093,0,1,0,1,1
14,17835443871,-17835443871,0,1,0,1,1
15,0,0,0,0,1,1,0
16,338229093,-338229093,0,1,0,1,1
17,2323258234,-2323258234,0,1,0,1,1
18,2437238349,-2437238349,0,1,0,1,1
19,180000000000,-180000000000,0,1,0,1,1
