atom_id,counterterm_scaled,counterterm_support_flag,selector_domain_count,selector_carrier_flag,operation_backed_flag
0,100000000000,1,5,1,0
1,7311715047,1,6,1,0
2,0,0,3,1,0
3,338229093,1,4,1,0
4,0,0,6,1,0
5,13780907427,1,4,1,0
6,-338229093,1,5,1,0
7,-9964232800,1,5,1,0
8,22323258234,1,5,1,0
9,110236915020,1,5,1,0
10,74652077480,1,5,1,0
11,-94652077480,1,4,1,0
12,-21092622474,1,5,1,0
13,338229093,1,3,1,0
14,-17835443871,1,5,1,0
15,0,0,4,1,0
16,-338229093,1,5,1,0
17,-2323258234,1,4,1,0
18,-2437238349,1,4,1,0
19,-180000000000,1,3,1,0
