carrier_id,atom_id,step_atom_id,candidate_basis_id,incidence_value,counterterm_scaled,selector_carrier_flag,operation_backed_flag
0,0,0,0,3,100000000000,1,0
1,0,2,2,-2,100000000000,1,0
2,0,9,9,4,100000000000,1,0
3,0,11,11,-4,100000000000,1,0
4,0,23,23,-1,100000000000,1,0
5,1,5,5,-1,7311715047,1,0
6,1,9,9,-4,7311715047,1,0
7,1,14,14,4,7311715047,1,0
8,1,19,19,2,7311715047,1,0
9,1,22,22,-2,7311715047,1,0
10,1,23,23,1,7311715047,1,0
11,3,0,0,1,338229093,1,0
12,3,2,2,-1,338229093,1,0
13,3,3,3,1,338229093,1,0
14,3,21,21,-1,338229093,1,0
15,5,12,12,-1,13780907427,1,0
16,5,19,19,1,13780907427,1,0
17,5,21,21,1,13780907427,1,0
18,5,24,24,-1,13780907427,1,0
19,6,4,4,1,-338229093,1,0
20,6,6,6,1,-338229093,1,0
21,6,7,7,-2,-338229093,1,0
22,6,21,21,-1,-338229093,1,0
23,6,24,24,1,-338229093,1,0
24,7,3,3,1,-9964232800,1,0
25,7,5,5,1,-9964232800,1,0
26,7,14,14,-4,-9964232800,1,0
27,7,18,18,3,-9964232800,1,0
28,7,20,20,-1,-9964232800,1,0
29,8,0,0,-1,22323258234,1,0
30,8,2,2,1,22323258234,1,0
31,8,10,10,1,22323258234,1,0
32,8,13,13,1,22323258234,1,0
33,8,17,17,-2,22323258234,1,0
34,9,4,4,-1,110236915020,1,0
35,9,7,7,2,110236915020,1,0
36,9,13,13,1,110236915020,1,0
37,9,18,18,-3,110236915020,1,0
38,9,20,20,1,110236915020,1,0
39,10,4,4,1,74652077480,1,0
40,10,8,8,2,74652077480,1,0
41,10,13,13,-2,74652077480,1,0
42,10,18,18,1,74652077480,1,0
43,10,20,20,-2,74652077480,1,0
44,11,0,0,1,-94652077480,1,0
45,11,2,2,-2,-94652077480,1,0
46,11,11,11,4,-94652077480,1,0
47,11,23,23,-3,-94652077480,1,0
48,12,3,3,-1,-21092622474,1,0
49,12,5,5,-1,-21092622474,1,0
50,12,14,14,1,-21092622474,1,0
51,12,18,18,-1,-21092622474,1,0
52,12,20,20,2,-21092622474,1,0
53,13,4,4,-1,338229093,1,0
54,13,16,16,-2,338229093,1,0
55,13,23,23,3,338229093,1,0
56,14,1,1,2,-17835443871,1,0
57,14,13,13,-1,-17835443871,1,0
58,14,15,15,-1,-17835443871,1,0
59,14,19,19,-2,-17835443871,1,0
60,14,22,22,2,-17835443871,1,0
61,16,0,0,-1,-338229093,1,0
62,16,2,2,2,-338229093,1,0
63,16,3,3,-1,-338229093,1,0
64,16,21,21,1,-338229093,1,0
65,16,24,24,-1,-338229093,1,0
66,17,4,4,1,-2323258234,1,0
67,17,6,6,-1,-2323258234,1,0
68,17,21,21,-1,-2323258234,1,0
69,17,24,24,1,-2323258234,1,0
70,18,5,5,1,-2437238349,1,0
71,18,9,9,1,-2437238349,1,0
72,18,14,14,-1,-2437238349,1,0
73,18,19,19,-1,-2437238349,1,0
74,19,4,4,-1,-180000000000,1,0
75,19,9,9,-1,-180000000000,1,0
76,19,16,16,2,-180000000000,1,0
