active_transition_id,transition_id,active_relation_count,active_join_count,contact_lift_flag,endpoint_pair_raw_row_flag,normal_form_delta_t,operation_row_id,operation_sentinel_flag,semantic_transition_flag,transition_ready_flag,operation_backed_flag
0,0,1,5,1,1,1,-1,1,0,1,0
1,1,2,8,1,1,1,-1,1,0,1,0
2,2,1,4,1,1,1,-1,1,0,1,0
3,3,1,5,1,1,1,-1,1,0,1,0
4,4,1,4,1,1,1,-1,1,0,1,0
5,7,1,4,1,1,1,-1,1,0,1,0
6,9,1,5,1,1,1,-1,1,0,1,0
7,10,1,5,1,1,1,-1,1,0,1,0
8,12,1,4,1,1,1,-1,1,0,1,0
9,13,2,9,1,1,1,-1,1,0,1,0
10,15,1,5,1,1,1,-1,1,0,1,0
11,16,4,20,1,1,1,-1,1,0,1,0
12,17,4,20,1,1,1,-1,1,0,1,0
13,19,1,3,1,1,1,-1,1,0,1,0
14,21,1,5,1,1,1,-1,1,0,1,0
15,24,1,5,1,1,1,-1,1,0,1,0
16,26,1,5,1,1,1,-1,1,0,1,0
17,35,1,4,1,1,1,-1,1,0,1,0
18,37,2,10,1,1,1,-1,1,0,1,0
19,38,1,5,1,1,1,-1,1,0,1,0
20,39,2,10,1,1,1,-1,1,0,1,0
21,40,3,13,1,1,1,-1,1,0,1,0
22,42,4,20,1,1,1,-1,1,0,1,0
23,43,1,6,1,1,1,-1,1,0,1,0
24,44,2,9,1,1,1,-1,1,0,1,0
25,49,3,11,1,1,1,-1,1,0,1,0
26,53,2,10,1,1,1,-1,1,0,1,0
27,63,2,10,1,1,1,-1,1,0,1,0
28,65,1,5,1,1,1,-1,1,0,1,0
