visible_index,source_atom_id,target_atom_id,relation_match_count,direct_stress_edge_id,reverse_stress_edge_id,direct_stress_flag,reverse_stress_flag,undirected_stress_flag,missing_stress_flag
0,0,2,1,-1,-1,0,0,0,1
1,1,5,3,-1,29,0,1,1,0
2,2,11,1,-1,-1,0,0,0,1
3,5,15,4,-1,-1,0,0,0,1
4,11,13,1,-1,-1,0,0,0,1
5,15,10,4,-1,-1,0,0,0,1
6,13,16,1,66,81,1,1,1,0
7,10,7,6,-1,-1,0,0,0,1
8,16,19,1,-1,-1,0,0,0,1
9,7,18,5,-1,-1,0,0,0,1
10,19,17,2,-1,-1,0,0,0,1
11,18,14,3,-1,72,0,1,1,0
12,17,8,1,-1,44,0,1,1,0
13,14,4,5,-1,-1,0,0,0,1
14,8,6,2,-1,-1,0,0,0,1
15,4,9,5,-1,-1,0,0,0,1
16,6,3,1,31,16,1,1,1,0
17,9,12,3,-1,-1,0,0,0,1
18,3,0,4,-1,-1,0,0,0,1
19,12,1,6,64,-1,1,0,1,0
