join_id,carrier_id,atom_id,step_atom_id,candidate_basis_id,visible_index,relation_id,transition_id,visible20_cleared_num,promotion_transition_present_flag,guarded_relation_semantic_flag,operation_row_present_flag,semantic_transition_flag,operation_backed_normalized_flag,obstruction_code
0,0,0,0,0,0,0,65,400000000000,1,1,0,0,0,0
1,1,0,2,2,0,0,65,400000000000,1,1,0,0,0,0
2,2,0,9,9,0,0,65,400000000000,1,1,0,0,0,0
3,3,0,11,11,0,0,65,400000000000,1,1,0,0,0,0
4,4,0,23,23,0,0,65,400000000000,1,1,0,0,0,0
5,5,1,5,5,1,1,43,24372383490,1,1,0,0,0,0
6,5,1,5,5,1,2,37,24372383490,1,1,0,0,0,0
7,5,1,5,5,1,3,63,24372383490,1,1,0,0,0,0
8,6,1,9,9,1,1,43,24372383490,1,1,0,0,0,0
9,6,1,9,9,1,2,37,24372383490,1,1,0,0,0,0
10,6,1,9,9,1,3,63,24372383490,1,1,0,0,0,0
11,7,1,14,14,1,1,43,24372383490,1,1,0,0,0,0
12,7,1,14,14,1,2,37,24372383490,1,1,0,0,0,0
13,7,1,14,14,1,3,63,24372383490,1,1,0,0,0,0
14,8,1,19,19,1,1,43,24372383490,1,1,0,0,0,0
15,8,1,19,19,1,2,37,24372383490,1,1,0,0,0,0
16,8,1,19,19,1,3,63,24372383490,1,1,0,0,0,0
17,9,1,22,22,1,1,43,24372383490,1,1,0,0,0,0
18,9,1,22,22,1,2,37,24372383490,1,1,0,0,0,0
19,9,1,22,22,1,3,63,24372383490,1,1,0,0,0,0
20,10,1,23,23,1,1,43,24372383490,1,1,0,0,0,0
21,10,1,23,23,1,2,37,24372383490,1,1,0,0,0,0
22,10,1,23,23,1,3,63,24372383490,1,1,0,0,0,0
23,11,3,0,0,18,49,1,1691145465,1,1,0,0,0,0
24,11,3,0,0,18,50,1,1691145465,1,1,0,0,0,0
25,11,3,0,0,18,51,2,1691145465,1,1,0,0,0,0
26,11,3,0,0,18,52,7,1691145465,1,1,0,0,0,0
27,12,3,2,2,18,49,1,1691145465,1,1,0,0,0,0
28,12,3,2,2,18,50,1,1691145465,1,1,0,0,0,0
29,12,3,2,2,18,51,2,1691145465,1,1,0,0,0,0
30,12,3,2,2,18,52,7,1691145465,1,1,0,0,0,0
31,13,3,3,3,18,49,1,1691145465,1,1,0,0,0,0
32,13,3,3,3,18,50,1,1691145465,1,1,0,0,0,0
33,13,3,3,3,18,51,2,1691145465,1,1,0,0,0,0
34,13,3,3,3,18,52,7,1691145465,1,1,0,0,0,0
35,14,3,21,21,18,49,1,1691145465,1,1,0,0,0,0
36,14,3,21,21,18,50,1,1691145465,1,1,0,0,0,0
37,14,3,21,21,18,51,2,1691145465,1,1,0,0,0,0
38,14,3,21,21,18,52,7,1691145465,1,1,0,0,0,0
39,15,5,12,12,3,5,35,68904537135,1,1,0,0,0,0
40,15,5,12,12,3,6,37,68904537135,1,1,0,0,0,0
41,15,5,12,12,3,7,40,68904537135,1,1,0,0,0,0
42,15,5,12,12,3,8,63,68904537135,1,1,0,0,0,0
43,16,5,19,19,3,5,35,68904537135,1,1,0,0,0,0
44,16,5,19,19,3,6,37,68904537135,1,1,0,0,0,0
45,16,5,19,19,3,7,40,68904537135,1,1,0,0,0,0
46,16,5,19,19,3,8,63,68904537135,1,1,0,0,0,0
47,17,5,21,21,3,5,35,68904537135,1,1,0,0,0,0
48,17,5,21,21,3,6,37,68904537135,1,1,0,0,0,0
49,17,5,21,21,3,7,40,68904537135,1,1,0,0,0,0
50,17,5,21,21,3,8,63,68904537135,1,1,0,0,0,0
51,18,5,24,24,3,5,35,68904537135,1,1,0,0,0,0
52,18,5,24,24,3,6,37,68904537135,1,1,0,0,0,0
53,18,5,24,24,3,7,40,68904537135,1,1,0,0,0,0
54,18,5,24,24,3,8,63,68904537135,1,1,0,0,0,0
55,19,6,4,4,16,45,9,-1352916372,1,1,0,0,0,0
56,20,6,6,6,16,45,9,-1352916372,1,1,0,0,0,0
57,21,6,7,7,16,45,9,-1352916372,1,1,0,0,0,0
58,22,6,21,21,16,45,9,-1352916372,1,1,0,0,0,0
59,23,6,24,24,16,45,9,-1352916372,1,1,0,0,0,0
60,24,7,3,3,9,22,16,-39856931200,1,1,0,0,0,0
61,24,7,3,3,9,23,16,-39856931200,1,1,0,0,0,0
62,24,7,3,3,9,24,53,-39856931200,1,1,0,0,0,0
63,24,7,3,3,9,25,17,-39856931200,1,1,0,0,0,0
64,24,7,3,3,9,26,42,-39856931200,1,1,0,0,0,0
65,25,7,5,5,9,22,16,-39856931200,1,1,0,0,0,0
66,25,7,5,5,9,23,16,-39856931200,1,1,0,0,0,0
67,25,7,5,5,9,24,53,-39856931200,1,1,0,0,0,0
68,25,7,5,5,9,25,17,-39856931200,1,1,0,0,0,0
69,25,7,5,5,9,26,42,-39856931200,1,1,0,0,0,0
70,26,7,14,14,9,22,16,-39856931200,1,1,0,0,0,0
71,26,7,14,14,9,23,16,-39856931200,1,1,0,0,0,0
72,26,7,14,14,9,24,53,-39856931200,1,1,0,0,0,0
73,26,7,14,14,9,25,17,-39856931200,1,1,0,0,0,0
74,26,7,14,14,9,26,42,-39856931200,1,1,0,0,0,0
75,27,7,18,18,9,22,16,-39856931200,1,1,0,0,0,0
76,27,7,18,18,9,23,16,-39856931200,1,1,0,0,0,0
77,27,7,18,18,9,24,53,-39856931200,1,1,0,0,0,0
78,27,7,18,18,9,25,17,-39856931200,1,1,0,0,0,0
79,27,7,18,18,9,26,42,-39856931200,1,1,0,0,0,0
80,28,7,20,20,9,22,16,-39856931200,1,1,0,0,0,0
81,28,7,20,20,9,23,16,-39856931200,1,1,0,0,0,0
82,28,7,20,20,9,24,53,-39856931200,1,1,0,0,0,0
83,28,7,20,20,9,25,17,-39856931200,1,1,0,0,0,0
84,28,7,20,20,9,26,42,-39856931200,1,1,0,0,0,0
85,29,8,0,0,14,38,21,89293032936,1,1,0,0,0,0
86,29,8,0,0,14,39,13,89293032936,1,1,0,0,0,0
87,30,8,2,2,14,38,21,89293032936,1,1,0,0,0,0
88,30,8,2,2,14,39,13,89293032936,1,1,0,0,0,0
89,31,8,10,10,14,38,21,89293032936,1,1,0,0,0,0
90,31,8,10,10,14,39,13,89293032936,1,1,0,0,0,0
91,32,8,13,13,14,38,21,89293032936,1,1,0,0,0,0
92,32,8,13,13,14,39,13,89293032936,1,1,0,0,0,0
93,33,8,17,17,14,38,21,89293032936,1,1,0,0,0,0
94,33,8,17,17,14,39,13,89293032936,1,1,0,0,0,0
95,34,9,4,4,17,46,39,440947660080,1,1,0,0,0,0
96,34,9,4,4,17,47,17,440947660080,1,1,0,0,0,0
97,34,9,4,4,17,48,42,440947660080,1,1,0,0,0,0
98,35,9,7,7,17,46,39,440947660080,1,1,0,0,0,0
99,35,9,7,7,17,47,17,440947660080,1,1,0,0,0,0
100,35,9,7,7,17,48,42,440947660080,1,1,0,0,0,0
101,36,9,13,13,17,46,39,440947660080,1,1,0,0,0,0
102,36,9,13,13,17,47,17,440947660080,1,1,0,0,0,0
103,36,9,13,13,17,48,42,440947660080,1,1,0,0,0,0
104,37,9,18,18,17,46,39,440947660080,1,1,0,0,0,0
105,37,9,18,18,17,47,17,440947660080,1,1,0,0,0,0
106,37,9,18,18,17,48,42,440947660080,1,1,0,0,0,0
107,38,9,20,20,17,46,39,440947660080,1,1,0,0,0,0
108,38,9,20,20,17,47,17,440947660080,1,1,0,0,0,0
109,38,9,20,20,17,48,42,440947660080,1,1,0,0,0,0
110,39,10,4,4,7,15,10,298608309920,1,1,0,0,0,0
111,39,10,4,4,7,16,15,298608309920,1,1,0,0,0,0
112,39,10,4,4,7,17,24,298608309920,1,1,0,0,0,0
113,39,10,4,4,7,18,39,298608309920,1,1,0,0,0,0
114,39,10,4,4,7,19,17,298608309920,1,1,0,0,0,0
115,39,10,4,4,7,20,42,298608309920,1,1,0,0,0,0
116,40,10,8,8,7,15,10,298608309920,1,1,0,0,0,0
117,40,10,8,8,7,16,15,298608309920,1,1,0,0,0,0
118,40,10,8,8,7,17,24,298608309920,1,1,0,0,0,0
119,40,10,8,8,7,18,39,298608309920,1,1,0,0,0,0
120,40,10,8,8,7,19,17,298608309920,1,1,0,0,0,0
121,40,10,8,8,7,20,42,298608309920,1,1,0,0,0,0
122,41,10,13,13,7,15,10,298608309920,1,1,0,0,0,0
123,41,10,13,13,7,16,15,298608309920,1,1,0,0,0,0
124,41,10,13,13,7,17,24,298608309920,1,1,0,0,0,0
125,41,10,13,13,7,18,39,298608309920,1,1,0,0,0,0
126,41,10,13,13,7,19,17,298608309920,1,1,0,0,0,0
127,41,10,13,13,7,20,42,298608309920,1,1,0,0,0,0
128,42,10,18,18,7,15,10,298608309920,1,1,0,0,0,0
129,42,10,18,18,7,16,15,298608309920,1,1,0,0,0,0
130,42,10,18,18,7,17,24,298608309920,1,1,0,0,0,0
131,42,10,18,18,7,18,39,298608309920,1,1,0,0,0,0
132,42,10,18,18,7,19,17,298608309920,1,1,0,0,0,0
133,42,10,18,18,7,20,42,298608309920,1,1,0,0,0,0
134,43,10,20,20,7,15,10,298608309920,1,1,0,0,0,0
135,43,10,20,20,7,16,15,298608309920,1,1,0,0,0,0
136,43,10,20,20,7,17,24,298608309920,1,1,0,0,0,0
137,43,10,20,20,7,18,39,298608309920,1,1,0,0,0,0
138,43,10,20,20,7,19,17,298608309920,1,1,0,0,0,0
139,43,10,20,20,7,20,42,298608309920,1,1,0,0,0,0
140,44,11,0,0,4,9,12,-473260387400,1,1,0,0,0,0
141,45,11,2,2,4,9,12,-473260387400,1,1,0,0,0,0
142,46,11,11,11,4,9,12,-473260387400,1,1,0,0,0,0
143,47,11,23,23,4,9,12,-473260387400,1,1,0,0,0,0
144,48,12,3,3,19,53,16,-84370489896,1,1,0,0,0,0
145,48,12,3,3,19,54,16,-84370489896,1,1,0,0,0,0
146,48,12,3,3,19,55,44,-84370489896,1,1,0,0,0,0
147,48,12,3,3,19,56,53,-84370489896,1,1,0,0,0,0
148,48,12,3,3,19,57,17,-84370489896,1,1,0,0,0,0
149,48,12,3,3,19,58,42,-84370489896,1,1,0,0,0,0
150,49,12,5,5,19,53,16,-84370489896,1,1,0,0,0,0
151,49,12,5,5,19,54,16,-84370489896,1,1,0,0,0,0
152,49,12,5,5,19,55,44,-84370489896,1,1,0,0,0,0
153,49,12,5,5,19,56,53,-84370489896,1,1,0,0,0,0
154,49,12,5,5,19,57,17,-84370489896,1,1,0,0,0,0
155,49,12,5,5,19,58,42,-84370489896,1,1,0,0,0,0
156,50,12,14,14,19,53,16,-84370489896,1,1,0,0,0,0
157,50,12,14,14,19,54,16,-84370489896,1,1,0,0,0,0
