carrier_id,atom_id,weight_num,weight_den,visible20_cleared_num,visible20_cleared_flag,hidden10_cleared_num,hidden10_cleared_flag,packet32_cleared_num,packet32_cleared_flag,lcm160_cleared_num,lcm160_cleared_flag,packet_residual_denominator
0,0,20000000000,1,400000000000,1,200000000000,1,640000000000,1,3200000000000,1,1
1,0,20000000000,1,400000000000,1,200000000000,1,640000000000,1,3200000000000,1,1
2,0,20000000000,1,400000000000,1,200000000000,1,640000000000,1,3200000000000,1,1
3,0,20000000000,1,400000000000,1,200000000000,1,640000000000,1,3200000000000,1,1
4,0,20000000000,1,400000000000,1,200000000000,1,640000000000,1,3200000000000,1,1
5,1,2437238349,2,24372383490,1,12186191745,1,38995813584,1,194979067920,1,1
6,1,2437238349,2,24372383490,1,12186191745,1,38995813584,1,194979067920,1,1
7,1,2437238349,2,24372383490,1,12186191745,1,38995813584,1,194979067920,1,1
8,1,2437238349,2,24372383490,1,12186191745,1,38995813584,1,194979067920,1,1
9,1,2437238349,2,24372383490,1,12186191745,1,38995813584,1,194979067920,1,1
10,1,2437238349,2,24372383490,1,12186191745,1,38995813584,1,194979067920,1,1
11,3,338229093,4,1691145465,1,0,0,2705832744,1,13529163720,1,1
12,3,338229093,4,1691145465,1,0,0,2705832744,1,13529163720,1,1
13,3,338229093,4,1691145465,1,0,0,2705832744,1,13529163720,1,1
14,3,338229093,4,1691145465,1,0,0,2705832744,1,13529163720,1,1
15,5,13780907427,4,68904537135,1,0,0,110247259416,1,551236297080,1,1
16,5,13780907427,4,68904537135,1,0,0,110247259416,1,551236297080,1,1
17,5,13780907427,4,68904537135,1,0,0,110247259416,1,551236297080,1,1
18,5,13780907427,4,68904537135,1,0,0,110247259416,1,551236297080,1,1
19,6,-338229093,5,-1352916372,1,-676458186,1,0,0,-10823330976,1,5
20,6,-338229093,5,-1352916372,1,-676458186,1,0,0,-10823330976,1,5
21,6,-338229093,5,-1352916372,1,-676458186,1,0,0,-10823330976,1,5
