relation_id,visible_index,transition_id,guarded_relation_semantic_flag,transition_row_present_flag,operation_row_present_flag,semantic_transition_flag,operation_promotion_flag,endpoint_atom_key_flag,stress_atom_bridge_flag,stress_score_consumed_flag,relation_stress_extension_flag,obstruction_code
0,0,65,1,1,0,0,0,0,0,0,0,1
1,1,43,1,1,0,0,0,0,0,0,0,1
2,1,37,1,1,0,0,0,0,0,0,0,1
3,1,63,1,1,0,0,0,0,0,0,0,1
4,2,65,1,1,0,0,0,0,0,0,0,1
5,3,35,1,1,0,0,0,0,0,0,0,1
6,3,37,1,1,0,0,0,0,0,0,0,1
7,3,40,1,1,0,0,0,0,0,0,0,1
8,3,63,1,1,0,0,0,0,0,0,0,1
9,4,12,1,1,0,0,0,0,0,0,0,1
10,5,5,1,1,0,0,0,0,0,0,0,1
11,5,13,1,1,0,0,0,0,0,0,0,1
12,5,39,1,1,0,0,0,0,0,0,0,1
13,5,26,1,1,0,0,0,0,0,0,0,1
14,6,49,1,1,0,0,0,0,0,0,0,1
15,7,10,1,1,0,0,0,0,0,0,0,1
16,7,15,1,1,0,0,0,0,0,0,0,1
17,7,24,1,1,0,0,0,0,0,0,0,1
18,7,39,1,1,0,0,0,0,0,0,0,1
19,7,17,1,1,0,0,0,0,0,0,0,1
20,7,42,1,1,0,0,0,0,0,0,0,1
21,8,49,1,1,0,0,0,0,0,0,0,1
22,9,16,1,1,0,0,0,0,0,0,0,1
23,9,16,1,1,0,0,0,0,0,0,0,1
24,9,53,1,1,0,0,0,0,0,0,0,1
25,9,17,1,1,0,0,0,0,0,0,0,1
26,9,42,1,1,0,0,0,0,0,0,0,1
27,10,19,1,1,0,0,0,0,0,0,0,1
28,10,49,1,1,0,0,0,0,0,0,0,1
29,11,4,1,1,0,0,0,0,0,0,0,1
30,11,44,1,1,0,0,0,0,0,0,0,1
31,11,40,1,1,0,0,0,0,0,0,0,1
32,12,13,1,1,0,0,0,0,0,0,0,1
33,13,0,1,1,0,0,0,0,0,0,0,1
34,13,3,1,1,0,0,0,0,0,0,0,1
35,13,38,1,1,0,0,0,0,0,0,0,1
36,13,40,1,1,0,0,0,0,0,0,0,1
37,13,26,1,1,0,0,0,0,0,0,0,1
38,14,21,1,1,0,0,0,0,0,0,0,1
39,14,13,1,1,0,0,0,0,0,0,0,1
40,15,21,1,1,0,0,0,0,0,0,0,1
41,15,13,1,1,0,0,0,0,0,0,0,1
42,15,39,1,1,0,0,0,0,0,0,0,1
43,15,38,1,1,0,0,0,0,0,0,0,1
44,15,50,1,1,0,0,0,0,0,0,0,1
45,16,9,1,1,0,0,0,0,0,0,0,1
46,17,39,1,1,0,0,0,0,0,0,0,1
47,17,17,1,1,0,0,0,0,0,0,0,1
48,17,42,1,1,0,0,0,0,0,0,0,1
49,18,1,1,1,0,0,0,0,0,0,0,1
50,18,1,1,1,0,0,0,0,0,0,0,1
51,18,2,1,1,0,0,0,0,0,0,0,1
52,18,7,1,1,0,0,0,0,0,0,0,1
53,19,16,1,1,0,0,0,0,0,0,0,1
54,19,16,1,1,0,0,0,0,0,0,0,1
55,19,44,1,1,0,0,0,0,0,0,0,1
56,19,53,1,1,0,0,0,0,0,0,0,1
57,19,17,1,1,0,0,0,0,0,0,0,1
58,19,42,1,1,0,0,0,0,0,0,0,1
