candidate_id,subform_id,a_restricted_index,b_restricted_index,c_restricted_index,a_source_atom,b_source_atom,c_source_atom,inertia_positive,inertia_negative,det_sign,det_abs_digit_count,det_abs_mod_1000000007,det_abs_mod_1000000009,max_abs_det_flag,definite_spatial_flag
0,29,0,2,16,1,3,18,2,1,-1,30,711197969,456623022,0,0
1,38,0,3,11,1,4,13,1,2,1,28,290170862,133986429,0,0
2,119,0,11,16,1,13,18,2,1,-1,30,826986761,738949993,1,0
3,170,1,4,10,2,5,12,2,1,-1,29,730593332,570317473,0,0
4,433,3,11,14,4,13,16,2,1,-1,27,382217447,233480623,0,0
5,546,5,7,13,7,9,15,1,2,1,29,505172060,789784697,0,0
6,581,5,12,13,7,14,15,2,1,-1,30,448086160,445102503,0,0
7,583,5,12,15,7,14,17,2,1,-1,30,253586156,152940642,0,0
8,605,6,7,17,8,9,19,1,2,1,29,693702282,326166713,0,0
9,638,6,12,15,8,14,17,2,1,-1,29,560170388,272825284,0,0
10,640,6,12,17,8,14,19,2,1,-1,29,600728310,410936353,0,0
