subform_id,a_restricted_index,b_restricted_index,c_restricted_index,a_source_atom,b_source_atom,c_source_atom,rank,inertia_positive,inertia_negative,inertia_zero,det_sign,det_abs_digit_count,det_abs_mod_1000000007,det_abs_mod_1000000009,nondegenerate_flag,definite_spatial_flag,max_abs_det_flag
0,0,1,2,1,2,3,2,1,1,1,0,1,0,0,0,0,0
1,0,1,3,1,2,4,2,1,1,1,0,1,0,0,0,0,0
2,0,1,4,1,2,5,2,1,1,1,0,1,0,0,0,0,0
3,0,1,5,1,2,7,0,0,0,3,0,1,0,0,0,0,0
4,0,1,6,1,2,8,0,0,0,3,0,1,0,0,0,0,0
5,0,1,7,1,2,9,0,0,0,3,0,1,0,0,0,0,0
6,0,1,8,1,2,10,0,0,0,3,0,1,0,0,0,0,0
7,0,1,9,1,2,11,0,0,0,3,0,1,0,0,0,0,0
8,0,1,10,1,2,12,2,1,1,1,0,1,0,0,0,0,0
9,0,1,11,1,2,13,2,1,1,1,0,1,0,0,0,0,0
10,0,1,12,1,2,14,0,0,0,3,0,1,0,0,0,0,0
11,0,1,13,1,2,15,0,0,0,3,0,1,0,0,0,0,0
12,0,1,14,1,2,16,0,0,0,3,0,1,0,0,0,0,0
13,0,1,15,1,2,17,0,0,0,3,0,1,0,0,0,0,0
14,0,1,16,1,2,18,2,1,1,1,0,1,0,0,0,0,0
15,0,1,17,1,2,19,0,0,0,3,0,1,0,0,0,0,0
16,0,2,3,1,3,4,2,1,1,1,0,1,0,0,0,0,0
17,0,2,4,1,3,5,2,1,1,1,0,1,0,0,0,0,0
18,0,2,5,1,3,7,2,1,1,1,0,1,0,0,0,0,0
19,0,2,6,1,3,8,2,1,1,1,0,1,0,0,0,0,0
20,0,2,7,1,3,9,2,1,1,1,0,1,0,0,0,0,0
21,0,2,8,1,3,10,2,1,1,1,0,1,0,0,0,0,0
22,0,2,9,1,3,11,2,1,1,1,0,1,0,0,0,0,0
23,0,2,10,1,3,12,2,1,1,1,0,1,0,0,0,0,0
24,0,2,11,1,3,13,2,1,1,1,0,1,0,0,0,0,0
25,0,2,12,1,3,14,2,1,1,1,0,1,0,0,0,0,0
26,0,2,13,1,3,15,2,1,1,1,0,1,0,0,0,0,0
27,0,2,14,1,3,16,2,1,1,1,0,1,0,0,0,0,0
28,0,2,15,1,3,17,2,1,1,1,0,1,0,0,0,0,0
29,0,2,16,1,3,18,3,2,1,0,-1,30,711197969,456623022,1,0,0
30,0,2,17,1,3,19,2,1,1,1,0,1,0,0,0,0,0
31,0,3,4,1,4,5,2,1,1,1,0,1,0,0,0,0,0
32,0,3,5,1,4,7,2,1,1,1,0,1,0,0,0,0,0
33,0,3,6,1,4,8,2,1,1,1,0,1,0,0,0,0,0
34,0,3,7,1,4,9,2,1,1,1,0,1,0,0,0,0,0
35,0,3,8,1,4,10,2,1,1,1,0,1,0,0,0,0,0
36,0,3,9,1,4,11,2,1,1,1,0,1,0,0,0,0,0
37,0,3,10,1,4,12,2,1,1,1,0,1,0,0,0,0,0
38,0,3,11,1,4,13,3,1,2,0,1,28,290170862,133986429,1,0,0
39,0,3,12,1,4,14,2,1,1,1,0,1,0,0,0,0,0
40,0,3,13,1,4,15,2,1,1,1,0,1,0,0,0,0,0
41,0,3,14,1,4,16,2,1,1,1,0,1,0,0,0,0,0
42,0,3,15,1,4,17,2,1,1,1,0,1,0,0,0,0,0
43,0,3,16,1,4,18,2,1,1,1,0,1,0,0,0,0,0
44,0,3,17,1,4,19,2,1,1,1,0,1,0,0,0,0,0
45,0,4,5,1,5,7,0,0,0,3,0,1,0,0,0,0,0
46,0,4,6,1,5,8,0,0,0,3,0,1,0,0,0,0,0
47,0,4,7,1,5,9,0,0,0,3,0,1,0,0,0,0,0
48,0,4,8,1,5,10,0,0,0,3,0,1,0,0,0,0,0
49,0,4,9,1,5,11,0,0,0,3,0,1,0,0,0,0,0
50,0,4,10,1,5,12,2,1,1,1,0,1,0,0,0,0,0
51,0,4,11,1,5,13,2,1,1,1,0,1,0,0,0,0,0
52,0,4,12,1,5,14,2,1,1,1,0,1,0,0,0,0,0
53,0,4,13,1,5,15,0,0,0,3,0,1,0,0,0,0,0
54,0,4,14,1,5,16,0,0,0,3,0,1,0,0,0,0,0
55,0,4,15,1,5,17,0,0,0,3,0,1,0,0,0,0,0
56,0,4,16,1,5,18,2,1,1,1,0,1,0,0,0,0,0
57,0,4,17,1,5,19,0,0,0,3,0,1,0,0,0,0,0
58,0,5,6,1,7,8,0,0,0,3,0,1,0,0,0,0,0
59,0,5,7,1,7,9,2,1,1,1,0,1,0,0,0,0,0
60,0,5,8,1,7,10,0,0,0,3,0,1,0,0,0,0,0
61,0,5,9,1,7,11,0,0,0,3,0,1,0,0,0,0,0
62,0,5,10,1,7,12,2,1,1,1,0,1,0,0,0,0,0
63,0,5,11,1,7,13,2,1,1,1,0,1,0,0,0,0,0
64,0,5,12,1,7,14,2,1,1,1,0,1,0,0,0,0,0
65,0,5,13,1,7,15,2,1,1,1,0,1,0,0,0,0,0
66,0,5,14,1,7,16,0,0,0,3,0,1,0,0,0,0,0
67,0,5,15,1,7,17,2,1,1,1,0,1,0,0,0,0,0
68,0,5,16,1,7,18,2,1,1,1,0,1,0,0,0,0,0
69,0,5,17,1,7,19,0,0,0,3,0,1,0,0,0,0,0
70,0,6,7,1,8,9,2,1,1,1,0,1,0,0,0,0,0
71,0,6,8,1,8,10,0,0,0,3,0,1,0,0,0,0,0
72,0,6,9,1,8,11,0,0,0,3,0,1,0,0,0,0,0
73,0,6,10,1,8,12,0,0,0,3,0,1,0,0,0,0,0
74,0,6,11,1,8,13,2,1,1,1,0,1,0,0,0,0,0
75,0,6,12,1,8,14,2,1,1,1,0,1,0,0,0,0,0
76,0,6,13,1,8,15,0,0,0,3,0,1,0,0,0,0,0
77,0,6,14,1,8,16,0,0,0,3,0,1,0,0,0,0,0
78,0,6,15,1,8,17,2,1,1,1,0,1,0,0,0,0,0
79,0,6,16,1,8,18,2,1,1,1,0,1,0,0,0,0,0
80,0,6,17,1,8,19,2,1,1,1,0,1,0,0,0,0,0
81,0,7,8,1,9,10,2,1,1,1,0,1,0,0,0,0,0
82,0,7,9,1,9,11,0,0,0,3,0,1,0,0,0,0,0
83,0,7,10,1,9,12,0,0,0,3,0,1,0,0,0,0,0
84,0,7,11,1,9,13,2,1,1,1,0,1,0,0,0,0,0
85,0,7,12,1,9,14,0,0,0,3,0,1,0,0,0,0,0
86,0,7,13,1,9,15,2,1,1,1,0,1,0,0,0,0,0
87,0,7,14,1,9,16,0,0,0,3,0,1,0,0,0,0,0
88,0,7,15,1,9,17,0,0,0,3,0,1,0,0,0,0,0
89,0,7,16,1,9,18,2,1,1,1,0,1,0,0,0,0,0
90,0,7,17,1,9,19,2,1,1,1,0,1,0,0,0,0,0
91,0,8,9,1,10,11,2,1,1,1,0,1,0,0,0,0,0
92,0,8,10,1,10,12,2,1,1,1,0,1,0,0,0,0,0
93,0,8,11,1,10,13,2,1,1,1,0,1,0,0,0,0,0
94,0,8,12,1,10,14,0,0,0,3,0,1,0,0,0,0,0
95,0,8,13,1,10,15,0,0,0,3,0,1,0,0,0,0,0
96,0,8,14,1,10,16,0,0,0,3,0,1,0,0,0,0,0
