entry_id,row_atom,col_atom,directed_flux_scaled,transpose_flux_scaled,symmetric_flux_scaled,diagonal_flag,nonzero_flag
0,0,0,0,0,0,1,0
1,0,1,0,0,0,0,0
2,0,2,0,0,0,0,0
3,0,3,0,0,0,0,0
4,0,4,0,0,0,0,0
5,0,5,924978992,0,924978992,0,1
6,0,6,0,0,0,0,0
7,0,7,0,0,0,0,0
8,0,8,0,0,0,0,0
9,0,9,0,0,0,0,0
10,0,10,4894010564,0,4894010564,0,1
11,0,11,2454968259,5029584201,7484552460,0,1
12,0,12,4234164820,0,4234164820,0,1
13,0,13,0,0,0,0,0
14,0,14,0,0,0,0,0
15,0,15,0,0,0,0,0
16,0,16,0,0,0,0,0
17,0,17,0,0,0,0,0
18,0,18,0,0,0,0,0
19,0,19,-1627463138,5851075296,4223612158,0,1
20,1,0,0,0,0,0,0
21,1,1,0,0,0,1,0
22,1,2,0,0,0,0,0
23,1,3,0,2789315864,2789315864,0,1
24,1,4,2357260089,0,2357260089,0,1
25,1,5,0,0,0,0,0
26,1,6,0,728681970,728681970,0,1
27,1,7,0,0,0,0,0
28,1,8,0,0,0,0,0
29,1,9,0,0,0,0,0
30,1,10,0,0,0,0,0
31,1,11,0,0,0,0,0
32,1,12,0,0,0,0,0
33,1,13,676506229,3678786710,4355292939,0,1
34,1,14,0,0,0,0,0
35,1,15,0,0,0,0,0
36,1,16,0,0,0,0,0
37,1,17,0,0,0,0,0
38,1,18,8487827578,4324809352,12812636930,0,1
39,1,19,0,0,0,0,0
40,2,0,0,0,0,0,0
41,2,1,0,0,0,0,0
42,2,2,0,0,0,1,0
43,2,3,0,0,0,0,0
44,2,4,0,718397382,718397382,0,1
45,2,5,861278014,3612851632,4474129646,0,1
46,2,6,0,0,0,0,0
47,2,7,0,0,0,0,0
48,2,8,0,0,0,0,0
49,2,9,0,0,0,0,0
50,2,10,0,0,0,0,0
51,2,11,0,0,0,0,0
52,2,12,3469971000,0,3469971000,0,1
53,2,13,0,0,0,0,0
54,2,14,0,0,0,0,0
55,2,15,0,0,0,0,0
56,2,16,0,0,0,0,0
57,2,17,0,0,0,0,0
58,2,18,0,0,0,0,0
59,2,19,0,0,0,0,0
60,3,0,0,0,0,0,0
61,3,1,2789315864,0,2789315864,0,1
62,3,2,0,0,0,0,0
63,3,3,0,0,0,1,0
64,3,4,0,0,0,0,0
65,3,5,0,0,0,0,0
66,3,6,0,0,0,0,0
67,3,7,0,0,0,0,0
68,3,8,0,0,0,0,0
69,3,9,0,0,0,0,0
70,3,10,0,0,0,0,0
71,3,11,0,0,0,0,0
72,3,12,0,0,0,0,0
73,3,13,0,0,0,0,0
74,3,14,0,0,0,0,0
75,3,15,0,0,0,0,0
76,3,16,0,0,0,0,0
77,3,17,0,0,0,0,0
78,3,18,-2789315864,0,-2789315864,0,1
79,3,19,0,0,0,0,0
80,4,0,0,0,0,0,0
81,4,1,0,2357260089,2357260089,0,1
82,4,2,718397382,0,718397382,0,1
83,4,3,0,0,0,0,0
84,4,4,0,0,0,1,0
85,4,5,0,0,0,0,0
86,4,6,0,0,0,0,0
87,4,7,0,0,0,0,0
88,4,8,0,0,0,0,0
89,4,9,0,0,0,0,0
90,4,10,0,0,0,0,0
91,4,11,0,0,0,0,0
92,4,12,0,0,0,0,0
93,4,13,100028407,0,100028407,0,1
94,4,14,0,0,0,0,0
95,4,15,2262694106,0,2262694106,0,1
96,4,16,0,723859806,723859806,0,1
97,4,17,0,0,0,0,0
98,4,18,0,0,0,0,0
99,4,19,0,0,0,0,0
100,5,0,0,924978992,924978992,0,1
101,5,1,0,0,0,0,0
102,5,2,3612851632,861278014,4474129646,0,1
103,5,3,0,0,0,0,0
104,5,4,0,0,0,0,0
105,5,5,0,0,0,1,0
106,5,6,0,0,0,0,0
107,5,7,0,0,0,0,0
108,5,8,0,0,0,0,0
109,5,9,0,0,0,0,0
110,5,10,0,0,0,0,0
111,5,11,0,0,0,0,0
112,5,12,-2721027375,0,-2721027375,0,1
113,5,13,0,0,0,0,0
114,5,14,894432749,0,894432749,0,1
115,5,15,0,0,0,0,0
116,5,16,0,0,0,0,0
117,5,17,0,0,0,0,0
118,5,18,0,0,0,0,0
119,5,19,0,0,0,0,0
120,6,0,0,0,0,0,0
121,6,1,728681970,0,728681970,0,1
122,6,2,0,0,0,0,0
123,6,3,0,0,0,0,0
124,6,4,0,0,0,0,0
125,6,5,0,0,0,0,0
126,6,6,0,0,0,1,0
