route_id,relation_id,visible_index,sentinel_mode_id,sentinel_sign,source_atom,stress_edge_id,edge_source_atom,edge_target_atom,signed_tension_scaled,weight_scaled,sign_match_flag,outgoing_source_flag,formal_route_flag,physical_stress_energy_flag
0,0,0,0,1,0,3,0,5,2807949144,924978992,1,1,1,0
1,1,1,0,1,1,6,1,4,1464034193,785753363,1,1,1,0
2,2,1,0,1,1,6,1,4,1464034193,785753363,1,1,1,0
3,3,1,0,1,1,6,1,4,1464034193,785753363,1,1,1,0
4,4,2,0,1,2,10,2,5,2807949144,861278014,1,1,1,0
5,5,3,0,1,3,19,3,1,812412783,697328966,1,1,1,0
6,6,3,0,1,3,19,3,1,812412783,697328966,1,1,1,0
7,7,3,0,1,3,19,3,1,812412783,697328966,1,1,1,0
8,8,3,0,1,3,19,3,1,812412783,697328966,1,1,1,0
9,9,4,0,1,4,24,4,2,2323258234,718397382,1,1,1,0
10,10,5,0,1,5,25,5,2,2323258234,903212908,1,1,1,0
11,11,5,0,1,5,25,5,2,2323258234,903212908,1,1,1,0
12,12,5,0,1,5,25,5,2,2323258234,903212908,1,1,1,0
13,13,5,0,1,5,25,5,2,2323258234,903212908,1,1,1,0
14,14,6,0,1,6,34,6,1,812412783,728681970,1,1,1,0
15,15,7,0,1,7,37,7,9,6047383004,813281384,1,1,1,0
16,16,7,0,1,7,37,7,9,6047383004,813281384,1,1,1,0
17,17,7,0,1,7,37,7,9,6047383004,813281384,1,1,1,0
18,18,7,0,1,7,37,7,9,6047383004,813281384,1,1,1,0
19,19,7,0,1,7,37,7,9,6047383004,813281384,1,1,1,0
20,20,7,0,1,7,37,7,9,6047383004,813281384,1,1,1,0
21,21,8,0,1,8,41,8,9,6047383004,1126064767,1,1,1,0
22,22,9,0,1,9,45,9,8,7465207748,1055384939,1,1,1,0
23,23,9,0,1,9,45,9,8,7465207748,1055384939,1,1,1,0
24,24,9,0,1,9,45,9,8,7465207748,1055384939,1,1,1,0
25,25,9,0,1,9,45,9,8,7465207748,1055384939,1,1,1,0
26,26,9,0,1,9,45,9,8,7465207748,1055384939,1,1,1,0
27,27,10,0,1,10,54,10,9,6047383004,763829382,1,1,1,0
28,28,10,0,1,10,54,10,9,6047383004,763829382,1,1,1,0
29,29,11,0,1,11,55,11,0,10000000000,1676528067,1,1,1,0
30,30,11,0,1,11,55,11,0,10000000000,1676528067,1,1,1,0
31,31,11,0,1,11,55,11,0,10000000000,1676528067,1,1,1,0
32,32,12,0,1,12,60,12,7,4054536444,827163159,1,1,1,0
33,33,13,0,1,13,68,13,1,812412783,735757342,1,1,1,0
34,34,13,0,1,13,68,13,1,812412783,735757342,1,1,1,0
35,35,13,0,1,13,68,13,1,812412783,735757342,1,1,1,0
36,36,13,0,1,13,68,13,1,812412783,735757342,1,1,1,0
37,37,13,0,1,13,68,13,1,812412783,735757342,1,1,1,0
38,38,14,0,1,14,74,14,7,4054536444,742211987,1,1,1,0
39,39,14,0,1,14,74,14,7,4054536444,742211987,1,1,1,0
40,40,15,0,1,15,77,15,7,4054536444,727128035,1,1,1,0
41,41,15,0,1,15,77,15,7,4054536444,727128035,1,1,1,0
42,42,15,0,1,15,77,15,7,4054536444,727128035,1,1,1,0
