opcode_id,relation_id,visible_index,transition_id,c60_edge_id,c60_source_atom_id,c60_target_atom_id,family_code,raw_endpoint_backed_flag,unit_time_flag,alpha_flux_law_pass_flag,semantic_opcode_assigned_flag,semantic_a985_operation_flag,physical_signature_validated_flag
0,0,0,65,0,0,1,0,1,1,1,1,0,0
1,1,1,43,1,2,3,0,1,1,1,1,0,0
2,2,1,37,2,4,5,0,1,1,1,1,0,0
3,3,1,63,3,6,7,0,1,1,1,1,0,0
4,4,2,65,4,8,9,0,1,1,1,1,0,0
5,5,3,35,5,10,11,0,1,1,1,1,0,0
6,6,3,37,6,12,13,0,1,1,1,1,0,0
7,7,3,40,7,14,15,0,1,1,1,1,0,0
8,8,3,63,8,16,17,0,1,1,1,1,0,0
9,9,4,12,9,18,19,0,1,1,1,1,0,0
10,10,5,5,10,20,21,0,1,1,1,1,0,0
11,11,5,13,11,22,23,0,1,1,1,1,0,0
12,12,5,39,12,24,25,0,1,1,1,1,0,0
13,13,5,26,13,26,27,0,1,1,1,1,0,0
14,14,6,49,14,28,29,0,1,1,1,1,0,0
15,15,7,10,15,30,31,0,1,1,1,1,0,0
16,16,7,15,16,32,33,0,1,1,1,1,0,0
17,17,7,24,17,34,35,0,1,1,1,1,0,0
18,18,7,39,18,36,37,0,1,1,1,1,0,0
19,19,7,17,19,38,39,0,1,1,1,1,0,0
20,20,7,42,20,40,41,0,1,1,1,1,0,0
21,21,8,49,21,42,43,0,1,1,1,1,0,0
22,22,9,16,22,44,45,0,1,1,1,1,0,0
23,23,9,16,23,46,47,0,1,1,1,1,0,0
24,24,9,53,24,48,49,0,1,1,1,1,0,0
25,25,9,17,25,50,51,0,1,1,1,1,0,0
26,26,9,42,26,52,53,0,1,1,1,1,0,0
27,27,10,19,27,54,55,0,1,1,1,1,0,0
28,28,10,49,28,56,57,0,1,1,1,1,0,0
29,29,11,4,29,58,59,0,1,1,1,1,0,0
30,30,11,44,0,0,1,0,1,1,1,1,0,0
31,31,11,40,1,2,3,0,1,1,1,1,0,0
32,32,12,13,2,4,5,0,1,1,1,1,0,0
33,33,13,0,3,6,7,0,1,1,1,1,0,0
34,34,13,3,4,8,9,0,1,1,1,1,0,0
35,35,13,38,5,10,11,0,1,1,1,1,0,0
36,36,13,40,6,12,13,1,1,1,1,1,0,0
37,37,13,26,7,14,15,1,1,1,1,1,0,0
38,38,14,21,8,16,17,1,1,1,1,1,0,0
39,39,14,13,9,18,19,1,1,1,1,1,0,0
40,40,15,21,10,20,21,1,1,1,1,1,0,0
41,41,15,13,11,22,23,1,1,1,1,1,0,0
42,42,15,39,12,24,25,1,1,1,1,1,0,0
43,43,15,38,13,26,27,1,1,1,1,1,0,0
44,44,15,50,14,28,29,1,1,1,1,1,0,0
45,45,16,9,15,30,31,1,1,1,1,1,0,0
46,46,17,39,16,32,33,1,1,1,1,1,0,0
47,47,17,17,17,34,35,1,1,1,1,1,0,0
48,48,17,42,18,36,37,1,1,1,1,1,0,0
49,49,18,1,19,38,39,1,1,1,1,1,0,0
50,50,18,1,20,40,41,1,1,1,1,1,0,0
51,51,18,2,21,42,43,1,1,1,1,1,0,0
52,52,18,7,22,44,45,1,1,1,1,1,0,0
53,53,19,16,23,46,47,1,1,1,1,1,0,0
54,54,19,16,24,48,49,1,1,1,1,1,0,0
55,55,19,44,25,50,51,1,1,1,1,1,0,0
56,56,19,53,26,52,53,1,1,1,1,1,0,0
57,57,19,17,27,54,55,2,1,1,1,1,0,0
58,58,19,42,28,56,57,2,1,1,1,1,0,0
