transition_id,path_id,fiber_row_id,from_step_index,to_step_index,from_component_id,to_component_id,from_raw_row_id,to_raw_row_id,from_target_addr,to_source0_addr,to_source1_addr,left_margin,right_margin,zeta_left_flag,zeta_right_flag,zeta_both_flag,exact_left_flag,exact_right_flag,long_tens_gap_flag
0,3,3,0,1,0,0,41694,41694,45,114,753,69,708,1,1,1,0,0,0
1,4,4,0,1,0,1,41694,0,45,53,291,8,246,1,1,1,0,0,0
2,5,5,0,1,1,1,0,0,0,53,291,53,291,1,1,1,0,0,0
3,6,6,0,1,1,2,0,206848,0,171,291,171,291,1,1,1,0,0,0
4,7,7,0,1,2,2,206848,206848,139,171,291,32,152,1,1,1,0,0,0
5,8,8,0,1,0,0,41694,41694,45,114,753,69,708,1,1,1,0,0,0
6,8,8,1,2,0,0,41694,41694,45,114,753,69,708,1,1,1,0,0,0
7,9,9,0,1,0,0,41694,41694,45,114,753,69,708,1,1,1,0,0,0
8,9,9,1,2,0,1,41694,0,45,53,291,8,246,1,1,1,0,0,0
9,10,10,0,1,0,1,41694,0,45,53,291,8,246,1,1,1,0,0,0
10,10,10,1,2,1,1,0,0,0,53,291,53,291,1,1,1,0,0,0
11,11,11,0,1,1,1,0,0,0,53,291,53,291,1,1,1,0,0,0
12,11,11,1,2,1,1,0,0,0,53,291,53,291,1,1,1,0,0,0
13,12,12,0,1,1,1,0,0,0,53,291,53,291,1,1,1,0,0,0
14,12,12,1,2,1,2,0,206848,0,171,291,171,291,1,1,1,0,0,0
15,13,13,0,1,1,2,0,206848,0,171,291,171,291,1,1,1,0,0,0
16,13,13,1,2,2,2,206848,206848,139,171,291,32,152,1,1,1,0,0,0
17,14,14,0,1,2,2,206848,206848,139,171,291,32,152,1,1,1,0,0,0
18,14,14,1,2,2,2,206848,206848,139,171,291,32,152,1,1,1,0,0,0
19,15,15,0,1,0,0,41694,41694,45,114,753,69,708,1,1,1,0,0,0
20,15,15,1,2,0,0,41694,41694,45,114,753,69,708,1,1,1,0,0,0
21,15,15,2,3,0,0,41694,41694,45,114,753,69,708,1,1,1,0,0,0
22,16,16,0,1,0,0,41694,41694,45,114,753,69,708,1,1,1,0,0,0
23,16,16,1,2,0,0,41694,41694,45,114,753,69,708,1,1,1,0,0,0
24,16,16,2,3,0,1,41694,0,45,53,291,8,246,1,1,1,0,0,0
25,17,17,0,1,0,0,41694,41694,45,114,753,69,708,1,1,1,0,0,0
26,17,17,1,2,0,1,41694,0,45,53,291,8,246,1,1,1,0,0,0
27,17,17,2,3,1,1,0,0,0,53,291,53,291,1,1,1,0,0,0
28,18,18,0,1,0,1,41694,0,45,53,291,8,246,1,1,1,0,0,0
29,18,18,1,2,1,1,0,0,0,53,291,53,291,1,1,1,0,0,0
30,18,18,2,3,1,1,0,0,0,53,291,53,291,1,1,1,0,0,0
31,19,19,0,1,1,1,0,0,0,53,291,53,291,1,1,1,0,0,0
32,19,19,1,2,1,1,0,0,0,53,291,53,291,1,1,1,0,0,0
33,19,19,2,3,1,1,0,0,0,53,291,53,291,1,1,1,0,0,0
34,20,20,0,1,1,1,0,0,0,53,291,53,291,1,1,1,0,0,0
35,20,20,1,2,1,1,0,0,0,53,291,53,291,1,1,1,0,0,0
36,20,20,2,3,1,2,0,206848,0,171,291,171,291,1,1,1,0,0,0
37,21,21,0,1,1,1,0,0,0,53,291,53,291,1,1,1,0,0,0
38,21,21,1,2,1,2,0,206848,0,171,291,171,291,1,1,1,0,0,0
39,21,21,2,3,2,2,206848,206848,139,171,291,32,152,1,1,1,0,0,0
40,22,22,0,1,1,2,0,206848,0,171,291,171,291,1,1,1,0,0,0
41,22,22,1,2,2,2,206848,206848,139,171,291,32,152,1,1,1,0,0,0
