continuation_horizon,start_component_id,end_component_id,add_sum_value,prob_num_digits,prob_den_digits,prob_num_mod_1000000007,prob_den_mod_1000000007,prob_num_mod_1000000009,prob_den_mod_1000000009,positive_flag
0,0,0,0,1,1,1,1,1,1,1
0,0,1,0,1,1,0,1,0,1,0
0,0,2,0,1,1,0,1,0,1,0
0,1,0,0,1,1,0,1,0,1,0
0,1,1,0,1,1,1,1,1,1,1
0,1,2,0,1,1,0,1,0,1,0
0,2,0,0,1,1,0,1,0,1,0
0,2,1,0,1,1,0,1,0,1,0
0,2,2,0,1,1,1,1,1,1,1
1,0,0,0,258,258,618582603,683696920,518772888,502409092,1
1,0,0,1,1,1,0,1,0,1,0
1,0,0,2,1,1,0,1,0,1,0
1,0,1,0,1,1,0,1,0,1,0
1,0,1,1,255,257,844593645,847577025,240707565,927133531,1
1,0,1,2,1,1,0,1,0,1,0
1,0,2,0,1,1,0,1,0,1,0
1,0,2,1,1,1,0,1,0,1,0
1,0,2,2,258,258,524619644,683696920,429673192,502409092,1
1,1,0,0,255,256,922296826,675225990,620353787,326767277,1
1,1,0,1,1,1,0,1,0,1,0
1,1,0,2,1,1,0,1,0,1,0
1,1,1,0,1,1,0,1,0,1,0
1,1,1,1,257,257,500341420,700903946,752850196,307069099,1
1,1,1,2,1,1,0,1,0,1,0
1,1,2,0,1,1,0,1,0,1,0
1,1,2,1,1,1,0,1,0,1,0
1,1,2,2,256,257,511375250,700903946,72803782,307069099,1
1,2,0,0,258,259,524619644,409710334,429673192,894730865,1
1,2,0,1,1,1,0,1,0,1,0
1,2,0,2,1,1,0,1,0,1,0
1,2,1,0,1,1,0,1,0,1,0
1,2,1,1,256,257,511375250,933737937,72803782,328947122,1
1,2,1,2,1,1,0,1,0,1,0
1,2,2,0,1,1,0,1,0,1,0
1,2,2,1,1,1,0,1,0,1,0
1,2,2,2,259,259,612084781,409710334,717766923,894730865,1
2,0,0,0,516,516,55744571,145396075,901732790,452530427,1
2,0,0,1,510,512,295254273,900368770,581692016,806826516,1
2,0,0,2,515,517,944106360,487147443,261897414,423336327,1
2,0,0,3,1,1,0,1,0,1,0
2,0,0,4,1,1,0,1,0,1,0
2,0,1,0,1,1,0,1,0,1,0
2,0,1,1,513,514,372100709,699431214,767322358,640130531,1
2,0,1,2,511,513,352089820,601475059,928991067,227306037,1
2,0,1,3,513,515,727468507,145297811,120075647,392639017,1
2,0,1,4,1,1,0,1,0,1,0
2,0,2,0,1,1,0,1,0,1,0
2,0,2,1,1,1,0,1,0,1,0
2,0,2,2,515,516,698809258,145396075,703893296,452530427,1
2,0,2,3,511,513,668478138,601475059,465145525,227306037,1
2,0,2,4,516,517,658256085,487147443,141781398,423336327,1
2,1,0,0,513,514,372100709,435401318,767322358,455344843,1
2,1,0,1,511,513,352089820,519876641,928991067,428012235,1
2,1,0,2,513,515,727468507,807404855,120075647,90342853,1
2,1,0,3,1,1,0,1,0,1,0
2,1,0,4,1,1,0,1,0,1,0
2,1,1,0,1,1,0,1,0,1,0
2,1,1,1,510,512,295254273,900368770,581692016,806826516,1
2,1,1,2,513,513,815225662,79506550,516187708,712048931,1
2,1,1,3,512,514,482029992,991975209,625800014,462097623,1
2,1,1,4,1,1,0,1,0,1,0
2,1,2,0,1,1,0,1,0,1,0
2,1,2,1,1,1,0,1,0,1,0
2,1,2,2,512,514,131464741,435401318,430633603,455344843,1
2,1,2,3,513,513,946819488,79506550,54948203,712048931,1
2,1,2,4,514,515,714035215,807404855,118597472,90342853,1
2,2,0,0,515,517,698809258,487147443,703893296,423336327,1
2,2,0,1,511,513,668478138,497993804,465145525,365524408,1
2,2,0,2,516,517,658256085,611353664,141781398,578758408,1
2,2,0,3,1,1,0,1,0,1,0
2,2,0,4,1,1,0,1,0,1,0
2,2,1,0,1,1,0,1,0,1,0
2,2,1,1,512,515,131464741,786324458,430633603,848159761,1
2,2,1,2,513,514,946819488,991975209,54948203,462097623,1
2,2,1,3,514,516,714035215,358806405,118597472,357448270,1
2,2,1,4,1,1,0,1,0,1,0
2,2,2,0,1,1,0,1,0,1,0
2,2,2,1,1,1,0,1,0,1,0
2,2,2,2,515,517,944106360,487147443,261897414,423336327,1
2,2,2,3,512,514,482029992,991975209,625800014,462097623,1
2,2,2,4,517,517,509283529,611353664,116183770,578758408,1
3,0,0,0,774,774,590919966,961741071,462446849,885243702,1
3,0,0,1,768,770,460738534,302066475,350967812,828435362,1
3,0,0,2,774,776,413374607,452886282,504694794,550654483,1
3,0,0,3,768,771,324465552,795272949,672520760,137166240,1
3,0,0,4,773,775,556195250,181650582,296605431,633684189,1
3,0,0,5,1,1,0,1,0,1,0
3,0,0,6,1,1,0,1,0,1,0
3,0,1,0,1,1,0,1,0,1,0
3,0,1,1,771,772,540140366,416268139,104035616,946721297,1
3,0,1,2,769,771,567561418,416531786,715643388,627482842,1
3,0,1,3,773,775,241395025,306610787,74288419,693831816,1
3,0,1,4,770,772,702481631,362183550,742437782,97329911,1
3,0,1,5,772,774,674585181,257568776,898747247,151403509,1
3,0,1,6,1,1,0,1,0,1,0
3,0,2,0,1,1,0,1,0,1,0
3,0,2,1,1,1,0,1,0,1,0
3,0,2,2,773,774,788239852,961741071,723312062,885243702,1
3,0,2,3,768,770,594644178,805510600,759191291,875827620,1
3,0,2,4,772,773,256537441,781983975,294304974,29939356,1
3,0,2,5,768,770,920534218,829157083,667749070,305979697,1
3,0,2,6,774,775,808782689,181650582,865204390,633684189,1
3,1,0,0,771,772,540140366,996762801,104035616,59588073,1
3,1,0,1,769,771,567561418,743579335,715643388,415905496,1
3,1,0,2,773,775,241395025,42408136,74288419,604672646,1
3,1,0,3,770,772,702481631,927665122,742437782,222125965,1
3,1,0,4,772,773,674585181,499656800,898747247,283765003,1
3,1,0,5,1,1,0,1,0,1,0
3,1,0,6,1,1,0,1,0,1,0
3,1,1,0,1,1,0,1,0,1,0
3,1,1,1,768,770,460738534,604132950,350967812,656870715,1
3,1,1,2,766,768,179792073,665331147,315892640,543832846,1
3,1,1,3,775,776,570142450,339265088,723982158,837381132,1
3,1,1,4,768,770,991611664,727659695,956499822,233794293,1
3,1,1,5,770,772,23449212,354152369,419530008,220156877,1
3,1,1,6,1,1,0,1,0,1,0
3,1,2,0,1,1,0,1,0,1,0
3,1,2,1,1,1,0,1,0,1,0
3,1,2,2,770,772,121248216,996762801,887546149,59588073,1
3,1,2,3,769,771,487575157,743579335,419483150,415905496,1
3,1,2,4,774,775,188901620,576296830,229261948,894307383,1
3,1,2,5,771,772,486528969,927665122,472108910,222125965,1
3,1,2,6,773,773,140212320,499656800,786890587,283765003,1
3,2,0,0,773,775,788239852,33547132,723312062,744492931,1
3,2,0,1,768,771,594644178,530181966,759191291,91444160,1
3,2,0,2,772,774,256537441,753768917,294304974,439043065,1
3,2,0,3,769,771,125876328,784717461,345239707,406718962,1
3,2,0,4,774,775,808782689,116218392,865204390,355365866,1
3,2,0,5,1,1,0,1,0,1,0
3,2,0,6,1,1,0,1,0,1,0
3,2,1,0,1,1,0,1,0,1,0
3,2,1,1,770,773,121248216,292016118,887546149,559838473,1
3,2,1,2,769,771,487575157,590545891,419483150,274332480,1
3,2,1,3,774,775,188901620,859298446,229261948,732248777,1
3,2,1,4,771,772,486528969,354152369,472108910,220156877,1
3,2,1,5,773,774,140212320,4842433,786890587,931473586,1
3,2,1,6,1,1,0,1,0,1,0
3,2,2,0,1,1,0,1,0,1,0
3,2,2,1,1,1,0,1,0,1,0
3,2,2,2,773,775,589600725,33547132,597724148,744492931,1
3,2,2,3,768,771,324465552,795272949,672520760,137166240,1
3,2,2,4,774,776,818947293,726141425,366483383,527368242,1
3,2,2,5,770,772,23449212,677076188,419530008,610078443,1
3,2,2,6,775,775,132799284,116218392,344903916,355365866,1
4,0,0,0,1032,1032,174221842,477425499,243085947,517748264,1
4,0,0,1,1026,1028,669090129,98069054,787627809,838126818,1
4,0,0,2,1032,1034,230621477,892385531,738661985,639750184,1
4,0,0,3,1029,1031,724958234,495066273,80498460,339582506,1
4,0,0,4,1032,1034,770503678,126745737,116405829,913059564,1
4,0,0,5,1027,1030,554425177,201073306,587930047,675646349,1
4,0,0,6,1031,1033,406419735,101545548,637916728,458002312,1
4,0,0,7,1,1,0,1,0,1,0
4,0,0,8,1,1,0,1,0,1,0
4,0,1,0,1,1,0,1,0,1,0
4,0,1,1,1029,1030,246802681,536223186,481441304,922059886,1
4,0,1,2,1027,1029,870473929,176828641,467442546,57521726,1
4,0,1,3,1031,1033,872844022,243274097,796423177,539984391,1
4,0,1,4,1030,1031,629587076,990132546,34542348,679165012,1
4,0,1,5,1032,1034,941273755,563372872,980840459,456529782,1
4,0,1,6,1028,1030,973241414,201073306,45865047,675646349,1
4,0,1,7,1030,1032,887907128,504231068,228091621,352416766,1
4,0,1,8,1,1,0,1,0,1,0
4,0,2,0,1,1,0,1,0,1,0
4,0,2,1,1,1,0,1,0,1,0
4,0,2,2,1031,1032,25354564,477425499,951862909,517748264,1
4,0,2,3,1027,1029,702236680,176828641,951994249,57521726,1
4,0,2,4,1032,1033,356392108,988042843,881615436,293305578,1
4,0,2,5,1030,1031,911713724,990132546,595560585,679165012,1
