sample_count,end_component_id,sum_value,prob_num_digits,prob_den_digits,prob_num_mod_1000000007,prob_den_mod_1000000007,prob_num_mod_1000000009,prob_den_mod_1000000009,positive_flag
1,0,0,3,4,671,2292,671,2292,1
1,0,1,1,1,0,1,0,1,0
1,0,2,1,1,0,1,0,1,0
1,1,0,1,1,0,1,0,1,0
1,1,1,2,3,36,191,36,191,1
1,1,2,1,1,0,1,0,1,0
1,2,0,1,1,0,1,0,1,0
1,2,1,1,1,0,1,0,1,0
1,2,2,4,4,1189,2292,1189,2292,1
2,0,0,258,259,618582603,915101839,518772888,766798261,1
2,0,1,255,257,922296826,82448978,620353787,872570823,1
2,0,2,258,259,524619644,915101839,429673192,766798261,1
2,0,3,1,1,0,1,0,1,0
2,0,4,1,1,0,1,0,1,0
2,1,0,1,1,0,1,0,1,0
2,1,1,255,257,922296826,82448978,620353787,872570823,1
2,1,2,257,258,500341420,329795912,752850196,490283265,1
2,1,3,256,258,511375250,329795912,72803782,490283265,1
2,1,4,1,1,0,1,0,1,0
2,2,0,1,1,0,1,0,1,0
2,2,1,1,1,0,1,0,1,0
2,2,2,258,259,524619644,915101839,429673192,766798261,1
2,2,3,256,258,511375250,329795912,72803782,490283265,1
2,2,4,259,259,612084781,915101839,717766923,766798261,1
3,0,0,516,517,55744571,431069752,901732790,588971286,1
3,0,1,514,516,580137954,290412791,536579611,492716062,1
3,0,2,519,520,138437627,812897316,732725923,430279131,1
3,0,3,515,517,188217555,803581562,196729310,563871197,1
3,0,4,516,517,658256085,476217487,141781398,170323180,1
3,0,5,1,1,0,1,0,1,0
3,0,6,1,1,0,1,0,1,0
3,1,0,1,1,0,1,0,1,0
3,1,1,513,515,372100709,921156983,767322358,943635126,1
3,1,2,514,516,451647742,580825582,516794953,985432124,1
3,1,3,519,520,315913151,406448658,312107682,715139570,1
3,1,4,516,517,5318438,607163117,679016400,127742385,1
3,1,5,514,516,714035215,311509064,118597472,840430140,1
3,1,6,1,1,0,1,0,1,0
3,2,0,1,1,0,1,0,1,0
3,2,1,1,1,0,1,0,1,0
3,2,2,515,517,698809258,431069752,703893296,588971286,1
3,2,3,514,516,915192786,580825582,864049258,985432124,1
3,2,4,519,520,992044071,812897316,236958887,430279131,1
3,2,5,516,517,986290263,607163117,210964428,127742385,1
3,2,6,517,517,509283529,476217487,116183770,170323180,1
4,0,0,774,775,590919966,684516427,462446849,350191578,1
4,0,1,772,774,483479863,345423417,933919474,95330461,1
4,0,2,778,779,900493817,30702156,519959789,200127356,1
4,0,3,773,775,999777176,222569286,887218785,366293317,1
4,0,4,777,779,823346037,24048891,67192355,628363564,1
4,0,5,773,775,714464007,572408026,882491370,199852516,1
4,0,6,774,775,808782689,289632090,865204390,799410064,1
4,0,7,1,1,0,1,0,1,0
4,0,8,1,1,0,1,0,1,0
4,1,0,1,1,0,1,0,1,0
4,1,1,771,773,540140366,705047051,104035616,566147834,1
4,1,2,772,774,989889998,690846834,669082710,190660922,1
4,1,3,776,778,933521832,751918890,753555553,262507962,1
