induced_edge_id,left_basis_id,right_basis_id,source0_boundary_count,source1_boundary_count,boundary_count,left_support_occurrence_count,right_support_occurrence_count
0,1,5,1,0,1,403459488,942176
1,1,20,43,0,43,403459488,552532592
2,1,32,0,120,120,403459488,551981056
3,5,14,1,0,1,942176,1166288
4,5,20,0,8,8,942176,552532592
5,14,20,0,9,9,1166288,552532592
6,14,21,1,0,1,1166288,111360
7,19,30,18,0,18,622076928,18489088
8,19,31,2,0,2,622076928,2053376
9,19,32,0,138,138,622076928,551981056
10,20,21,0,1,1,552532592,111360
11,20,32,0,18,18,552532592,551981056
12,20,33,40,0,40,552532592,25541104
13,20,34,1,0,1,552532592,791184
14,20,35,2,0,2,552532592,1392512
15,21,36,1,0,1,111360,71424
16,30,31,0,1,1,18489088,2053376
17,30,59,18,0,18,18489088,38928000
18,31,32,0,1,1,2053376,551981056
19,31,59,2,0,2,2053376,38928000
20,32,33,0,1,1,551981056,25541104
21,33,34,0,1,1,25541104,791184
22,33,44,40,0,40,25541104,13442304
23,34,35,0,1,1,791184,1392512
24,34,44,1,0,1,791184,13442304
25,35,36,0,1,1,1392512,71424
26,35,44,2,0,2,1392512,13442304
27,36,44,1,0,1,71424,13442304
28,44,47,1,0,1,13442304,2352
29,44,50,43,0,43,13442304,10138448
30,47,50,0,1,1,2352,10138448
31,47,54,1,0,1,2352,132352
32,50,54,0,5,5,10138448,132352
33,50,60,42,0,42,10138448,3519488
34,50,72,1,0,1,10138448,59136
35,54,61,1,0,1,132352,10752
36,54,72,0,1,1,132352,59136
37,59,66,18,0,18,38928000,1067808
38,59,67,2,0,2,38928000,117600
39,60,70,41,0,41,3519488,396704
40,60,71,1,0,1,3519488,8624
41,60,72,0,4,4,3519488,59136
42,61,72,0,3,3,10752,59136
43,61,73,1,0,1,10752,2352
44,63,83,733,0,733,1037805440,2030531328
45,66,67,0,1,1,1067808,117600
46,70,71,0,1,1,396704,8624
47,70,89,41,0,41,396704,404059648
48,71,72,0,1,1,8624,59136
49,71,89,1,0,1,8624,404059648
50,72,73,0,1,1,59136,2352
51,72,89,1,0,1,59136,404059648
52,73,89,1,0,1,2352,404059648
53,83,126,733,0,733,2030531328,4271578880
54,89,103,44,0,44,404059648,391123456
55,103,121,43,0,43,391123456,126620000
56,103,122,1,0,1,391123456,405344
57,121,122,0,19,19,126620000,405344
58,121,136,36,0,36,126620000,4011984
59,121,137,7,0,7,126620000,754128
60,122,138,1,0,1,405344,15264
61,126,148,733,0,733,4271578880,890378544
62,136,137,0,1,1,4011984,754128
63,137,138,0,1,1,754128,15264
64,146,148,0,163,163,23307296,890378544
65,146,149,1,0,1,23307296,20384
66,146,158,0,163,163,23307296,74121408
67,146,171,19,0,19,23307296,4349552
68,148,152,728,0,728,890378544,2517600
69,148,170,5,0,5,890378544,839496
70,148,171,0,3,3,890378544,4349552
71,149,153,1,0,1,20384,29792
72,149,158,0,3,3,20384,74121408
73,149,171,0,3,3,20384,4349552
74,152,169,727,0,727,2517600,1372136
75,152,170,1,2,3,2517600,839496
76,153,157,1,0,1,29792,3136
77,153,158,0,2,2,29792,74121408
78,153,171,0,2,2,29792,4349552
79,157,158,0,1,1,3136,74121408
80,157,171,0,1,1,3136,4349552
81,157,172,1,0,1,3136,2352
82,158,173,19,0,19,74121408,868584
83,158,174,1,0,1,74121408,33624
84,169,170,0,2,2,1372136,839496
85,169,190,727,0,727,1372136,3146764032
86,170,171,0,4,4,839496,4349552
87,170,190,6,0,6,839496,3146764032
88,171,172,0,1,1,4349552,2352
89,172,173,0,1,1,2352,868584
90,173,174,0,1,1,868584,33624
