row_id,gate_id,p5_id,parenthesization_id,support_count,expected_support_count,mult_count,expected_mult_count,active_owner_count,support_occurrence_count,mult_occurrence_count,slack_min,slack_max,slack_sum,support_match_flag,mult_match_flag
0,0,1,0,79053568,79053568,849346560,849346560,1,237160704,2548039680,32,75,11991121936,1,1
1,0,1,1,49877248,49877248,849346560,849346560,2,149631744,2548039680,44,75,8256646720,1,1
2,0,1,2,149721600,149721600,849346560,849346560,2,449164800,2548039680,32,239,45990835072,1,1
3,0,1,3,79918080,79918080,849346560,849346560,2,239754240,2548039680,48,75,14573193984,1,1
4,0,1,4,103191552,103191552,849346560,849346560,3,309574656,2548039680,56,239,34684503584,1,1
5,1,47,0,49877248,49877248,700710912,700710912,1,149631744,2102132736,30,169,11365457280,1,1
6,1,47,1,79053568,79053568,700710912,700710912,2,237160704,2102132736,24,169,16741216192,1,1
7,1,47,2,79918080,79918080,700710912,700710912,2,239754240,2102132736,42,169,20606117376,1,1
8,1,47,3,149721600,149721600,700710912,700710912,2,449164800,2102132736,24,239,56998747776,1,1
9,1,47,4,103191552,103191552,700710912,700710912,3,309574656,2102132736,56,239,43097963808,1,1
10,2,57,0,346335232,346335232,1911029760,1911029760,4,1039005696,5733089280,0,106,55090893824,1,1
11,2,57,1,551981056,551981056,1911029760,1911029760,3,1655943168,5733089280,0,135,112950816256,1,1
12,2,57,2,261373952,261373952,1911029760,1911029760,5,784121856,5733089280,0,106,38225037824,1,1
13,2,57,3,522930176,522930176,1911029760,1911029760,10,1568790528,5733089280,0,179,142672104000,1,1
14,2,57,4,404059648,404059648,1911029760,1911029760,11,1212178944,5733089280,0,179,89869510144,1,1
15,3,79,0,551981056,551981056,1358954496,1358954496,1,1655943168,4076863488,0,239,207479358208,1,1
16,3,79,1,346335232,346335232,1358954496,1358954496,2,1039005696,4076863488,0,175,60609957504,1,1
17,3,79,2,522930176,522930176,1358954496,1358954496,8,1568790528,4076863488,0,239,197625183488,1,1
18,3,79,3,261373952,261373952,1358954496,1358954496,2,784121856,4076863488,0,175,56195965952,1,1
19,3,79,4,404059648,404059648,1358954496,1358954496,3,1212178944,4076863488,0,179,129410931296,1,1
20,4,110,0,27712512,27712512,603979776,603979776,11,83137536,1811939328,0,75,2746525312,1,1
21,4,110,1,28870464,28870464,603979776,603979776,10,86611392,1811939328,0,55,2654026960,1,1
22,4,110,2,40113408,40113408,603979776,603979776,5,120340224,1811939328,0,75,5117151168,1,1
23,4,110,3,30147840,30147840,603979776,603979776,11,90443520,1811939328,0,52,2758249600,1,1
24,4,110,4,34910208,34910208,603979776,603979776,5,104730624,1811939328,0,71,3274875136,1,1
25,5,128,0,28870464,28870464,452984832,452984832,4,86611392,1358954496,0,49,2709484968,1,1
26,5,128,1,27712512,27712512,452984832,452984832,8,83137536,1358954496,0,51,2512696976,1,1
27,5,128,2,30147840,30147840,452984832,452984832,5,90443520,1358954496,0,52,3227212416,1,1
28,5,128,3,40113408,40113408,452984832,452984832,4,120340224,1358954496,0,71,4221604976,1,1
29,5,128,4,34910208,34910208,452984832,452984832,5,104730624,1358954496,0,71,3937110784,1,1
