atom_id,coordinate_mask,f2_11_mask,lazy63_index,orbit_id,complement_atom_id,atlas_complement_atom_id,complement_match_flag
0,7,243,6,108,19,19,1
1,11,371,10,166,18,18,1
2,19,629,18,268,17,17,1
3,35,1139,34,422,16,16,1
4,13,401,12,181,15,15,1
5,21,663,20,279,14,14,1
6,37,1169,36,429,13,13,1
7,25,791,24,321,12,12,1
8,41,1297,40,455,11,11,1
9,49,1559,48,505,10,10,1
10,14,480,13,216,9,9,1
11,22,742,21,305,8,8,1
12,38,1248,37,444,7,7,1
13,26,870,25,347,6,6,1
14,42,1376,41,470,5,5,1
15,50,1638,49,511,4,4,1
16,28,900,27,357,3,3,1
17,44,1410,43,478,2,2,1
18,52,1668,51,513,1,1,1
19,56,1796,55,523,0,0,1
