row_id,lazy63_index,orbit_id,f2_11_mask,coordinate_mask,coordinate_weight,grade_code,d20_atom_flag,atom_id,complement_atom_id
0,0,7,17,1,1,1,0,-1,-1
1,1,42,96,2,1,1,0,-1,-1
2,2,50,113,3,2,2,0,-1,-1
3,3,58,130,4,1,1,0,-1,-1
4,4,65,147,5,2,2,0,-1,-1
5,5,101,226,6,2,2,0,-1,-1
6,6,108,243,7,3,3,1,0,19
7,7,116,258,8,1,1,0,-1,-1
8,8,123,275,9,2,2,0,-1,-1
9,9,159,354,10,2,2,0,-1,-1
10,10,166,371,11,3,3,1,1,18
11,11,173,384,12,2,2,0,-1,-1
12,12,181,401,13,3,3,1,4,15
13,13,216,480,14,3,3,1,10,9
14,14,224,497,15,4,4,0,-1,-1
15,15,231,516,16,1,1,0,-1,-1
16,16,237,533,17,2,2,0,-1,-1
17,17,262,612,18,2,2,0,-1,-1
18,18,268,629,19,3,3,1,2,17
19,19,274,646,20,2,2,0,-1,-1
20,20,279,663,21,3,3,1,5,14
21,21,305,742,22,3,3,1,11,8
22,22,310,759,23,4,4,0,-1,-1
23,23,316,774,24,2,2,0,-1,-1
24,24,321,791,25,3,3,1,7,12
25,25,347,870,26,3,3,1,13,6
26,26,352,887,27,4,4,0,-1,-1
27,27,357,900,28,3,3,1,16,3
28,28,363,917,29,4,4,0,-1,-1
29,29,388,996,30,4,4,0,-1,-1
30,30,394,1013,31,5,5,0,-1,-1
31,31,400,1026,32,1,1,0,-1,-1
32,32,403,1043,33,2,2,0,-1,-1
33,33,419,1122,34,2,2,0,-1,-1
34,34,422,1139,35,3,3,1,3,16
35,35,425,1152,36,2,2,0,-1,-1
36,36,429,1169,37,3,3,1,6,13
37,37,444,1248,38,3,3,1,12,7
38,38,448,1265,39,4,4,0,-1,-1
39,39,451,1280,40,2,2,0,-1,-1
40,40,455,1297,41,3,3,1,8,11
41,41,470,1376,42,3,3,1,14,5
42,42,474,1393,43,4,4,0,-1,-1
43,43,478,1410,44,3,3,1,17,2
44,44,481,1427,45,4,4,0,-1,-1
45,45,497,1506,46,4,4,0,-1,-1
46,46,500,1523,47,5,5,0,-1,-1
47,47,504,1542,48,2,2,0,-1,-1
48,48,505,1559,49,3,3,1,9,10
49,49,511,1638,50,3,3,1,15,4
50,50,512,1655,51,4,4,0,-1,-1
51,51,513,1668,52,3,3,1,18,1
52,52,515,1685,53,4,4,0,-1,-1
53,53,520,1764,54,4,4,0,-1,-1
54,54,522,1781,55,5,5,0,-1,-1
55,55,523,1796,56,3,3,1,19,0
56,56,525,1813,57,4,4,0,-1,-1
57,57,530,1892,58,4,4,0,-1,-1
58,58,532,1909,59,5,5,0,-1,-1
59,59,534,1926,60,4,4,0,-1,-1
60,60,535,1943,61,5,5,0,-1,-1
61,61,541,2022,62,5,5,0,-1,-1
62,62,542,2039,63,6,6,0,-1,-1
