formula_id,class_id,gap_kind,term_count,certified_transition_count,certified_match_count,certified_integral_count,certified_nonnegative_count,probe_state_count,probe_integral_count,probe_nonnegative_count,probe_zero_count,probe_min_sign,probe_min_digits,probe_min_mod_1000000007,probe_min_mod_1000000009,formula_certificate_flag
0,0,0,0,111,111,111,111,129,129,129,129,0,1,0,0,1
1,0,1,20,111,111,111,111,129,129,129,0,1,355,243560118,951485548,1
2,1,0,16,111,111,111,111,129,129,129,0,1,355,238134400,357412715,1
3,1,1,20,111,111,111,111,129,129,129,0,1,356,723222096,392237832,1
4,2,0,20,111,111,111,111,129,129,129,0,1,355,860590573,802783244,1
5,2,1,20,111,111,111,111,129,129,129,0,1,355,858902401,358345200,1
6,3,0,20,111,111,111,111,129,129,129,0,1,356,16816592,434186405,1
7,3,1,20,111,111,111,111,129,129,129,0,1,356,782790577,840702352,1
8,4,0,20,7215,7215,7215,7215,23865,23865,23865,0,1,355,437577152,692493757,1
9,4,1,20,7215,7215,7215,7215,23865,23865,23865,0,1,356,448255119,31041971,1
10,5,0,20,111,111,111,111,129,129,129,0,1,377,580139691,368868804,1
11,5,1,25,111,111,111,111,129,129,129,0,1,378,373672201,545719427,1
12,6,0,20,111,111,111,111,129,129,129,0,1,377,596140276,783314754,1
13,6,1,30,111,111,111,111,129,129,129,0,1,378,880693105,693704635,1
14,7,0,20,111,111,111,111,129,129,129,0,1,378,660365202,274384381,1
15,7,1,28,111,111,111,111,129,129,129,0,1,377,275741068,570220875,1
16,8,0,20,111,111,111,111,129,129,129,0,1,378,61295959,844783851,1
17,8,1,30,111,111,111,111,129,129,129,0,1,379,444993785,174588984,1
18,9,0,30,111,111,111,111,129,129,129,0,1,378,331161677,73648371,1
19,9,1,32,111,111,111,111,129,129,129,0,1,379,18944300,644679171,1
20,10,0,28,7659,7659,7659,7659,24381,24381,24381,0,1,378,284675492,962456745,1
21,10,1,32,7659,7659,7659,7659,24381,24381,24381,0,1,380,882812354,898252994,1
22,11,0,27,111,111,111,111,129,129,129,0,1,378,593507096,387442755,1
23,11,1,21,111,111,111,111,129,129,129,0,1,433,598603097,601032667,1
24,12,0,26,111,111,111,111,129,129,129,0,1,378,62110331,942165713,1
25,12,1,16,111,111,111,111,129,129,129,129,0,1,0,0,1
