card_id,target_code,status_code,rank_code,source_surface_code,operator_code,witness_code,verifier_code,dependency_code,token_reduction_code,goal_speedup_code,proof_gap_count,next_flag
0,0,0,99,4,0,0,0,0,2,1,0,0
1,1,0,99,6,0,0,0,0,2,1,0,0
2,2,0,99,7,0,0,0,0,2,1,0,0
3,8,0,99,8,6,6,6,0,3,2,0,0
4,3,0,99,22,1,1,1,0,3,3,0,0
5,4,0,99,21,2,2,2,1,3,3,0,0
6,5,0,99,24,3,3,3,2,3,3,0,0
7,6,0,99,9,4,4,4,5,2,2,0,0
8,7,0,99,8,5,5,5,5,1,1,0,0
9,9,0,99,26,0,0,7,0,2,1,0,0
10,10,0,99,27,0,0,8,0,2,1,0,0
11,11,0,99,28,0,0,9,0,2,1,0,0
12,12,1,0,29,7,7,10,6,4,4,1,1
