irrep_id,root_mod,degree,char_c0_mod,char_c1_mod,char_c2_mod,char_c3_mod,char_c4_mod,char_c5_mod,char_c6_mod,char_c7_mod,char_c8_mod,char_c9_mod,char_c10_mod,char_c11_mod,char_c12_mod,char_c13_mod,char_c14_mod,char_c15_mod,char_c16_mod,char_c17_mod,char_c18_mod,char_c19_mod,char_c20_mod,char_c21_mod,char_c22_mod,char_c23_mod,char_c24_mod,char_c25_mod,char_c26_mod,char_c27_mod,char_c28_mod,char_c29_mod,char_c30_mod,char_c31_mod,char_c32_mod,char_c33_mod,char_c34_mod,char_c35_mod,char_c36_mod,char_c37_mod,char_c38_mod,char_c39_mod,char_c40_mod
0,9482,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,7689,1,1,1,10006,10006,10006,10006,1,1,1,1,10006,10006,1,1,1,10006,1,10006,1,1,10006,10006,10006,10006,1,1,10006,10006,1,1,10006,10006,1,1,1,1,1,1,10006,1,1
2,4889,1,1,10006,1,1,10006,10006,1,1,10006,10006,1,10006,1,1,1,1,10006,1,1,1,10006,10006,10006,10006,1,1,1,1,10006,10006,1,10006,1,1,1,1,10006,10006,1,1,10006
3,6548,1,1,10006,10006,10006,1,1,1,1,10006,10006,10006,1,1,1,1,10006,10006,10006,1,1,1,1,1,1,1,1,10006,10006,10006,10006,10006,1,1,1,1,1,10006,10006,10006,1,10006
4,6312,2,2,0,1,10005,0,0,10006,10006,0,0,10005,0,2,2,10006,1,0,10005,10006,2,0,0,0,0,2,2,10005,10005,0,0,10005,0,2,2,2,2,0,0,10005,2,0
5,34,2,2,0,10006,2,0,0,10006,10006,0,0,2,0,2,2,10006,10006,0,2,10006,2,0,0,0,0,2,2,2,2,0,0,2,0,2,2,2,2,0,0,2,2,0
6,8427,2,2,2,0,0,0,0,2,10006,10006,10006,0,0,2,10006,10006,0,2,0,2,10006,0,0,0,0,2,2,0,0,2,2,0,0,2,2,2,2,2,2,0,2,2
7,6632,2,2,10005,0,0,0,0,2,10006,1,1,0,0,2,10006,10006,0,10005,0,2,10006,0,0,0,0,2,2,0,0,10005,10005,0,0,2,2,2,2,10005,10005,0,2,10005
8,207,3,3,1,0,1,10006,1,0,0,1,10006,10004,10006,10006,10006,0,0,10006,1,0,3,1,10006,10006,1,10006,3,1,10004,1,1,10004,10006,10006,3,3,10006,1,10006,1,3,1
9,6390,3,3,1,0,10006,1,10006,0,0,1,10006,3,1,10006,10006,0,0,10006,10006,0,3,10006,1,1,10006,10006,3,10006,3,1,1,3,1,10006,3,3,10006,1,10006,10006,3,1
10,8992,3,3,1,1,1,10006,1,3,0,0,0,1,1,10006,0,0,10006,1,1,10006,0,10006,1,10006,10006,3,3,10006,10006,1,1,1,10006,10006,10006,3,3,10004,10004,1,10006,10004
11,7120,3,3,1,10006,10006,1,10006,3,0,0,0,10006,10006,10006,0,0,1,1,10006,10006,0,1,10006,1,1,3,3,1,1,1,1,10006,1,10006,10006,3,3,10004,10004,10006,10006,10004
12,8798,3,3,10006,0,1,1,10006,0,0,10006,1,10004,1,10006,10006,0,0,1,1,0,3,10006,1,1,10006,10006,3,1,10004,10006,10006,10004,1,10006,3,3,10006,10006,1,1,3,10006
13,6595,3,3,10006,0,10006,10006,1,0,0,10006,1,3,10006,10006,10006,0,0,1,10006,0,3,1,10006,10006,1,10006,3,10006,3,10006,10006,3,10006,10006,3,3,10006,10006,1,10006,3,10006
14,1361,3,3,10006,1,1,1,10006,3,0,0,0,1,10006,10006,0,0,10006,10006,1,10006,0,1,10006,1,1,3,3,10006,10006,10006,10006,1,1,10006,10006,3,3,3,3,1,10006,3
15,2798,3,3,10006,10006,10006,10006,1,3,0,0,0,10006,1,10006,0,0,1,10006,10006,10006,0,10006,1,10006,10006,3,3,1,1,10006,10006,10006,10006,10006,10006,3,3,3,3,10006,10006,3
16,2019,4,4,0,0,0,0,0,10005,1,0,0,0,0,4,10005,1,0,0,0,10005,10005,0,0,0,0,4,4,0,0,0,0,0,0,4,4,4,4,0,0,0,4,0
17,6671,6,6,0,1,10005,0,0,10004,0,0,0,10005,0,10005,0,0,10006,0,10005,1,0,0,0,0,0,6,6,2,2,0,0,10005,0,10005,10005,6,6,0,0,10005,10005,0
18,6889,6,6,0,10006,2,0,0,10004,0,0,0,2,0,10005,0,0,1,0,2,1,0,0,0,0,0,6,6,10005,10005,0,0,2,0,10005,10005,6,6,0,0,2,10005,0
19,7670,6,6,2,0,0,0,0,0,0,10006,1,0,0,10005,1,0,0,10005,0,0,10004,0,0,0,0,10005,6,0,0,2,2,0,0,10005,6,6,10005,2,10005,0,6,2
20,5610,6,6,10005,0,0,0,0,0,0,1,10006,0,0,10005,1,0,0,2,0,0,10004,0,0,0,0,10005,6,0,0,10005,10005,0,0,10005,6,6,10005,10005,2,0,6,10005
21,2665,9,9,1,0,1,1,1,0,0,0,0,10004,10006,1,0,0,0,10006,1,0,0,10006,10006,1,10006,10004,9,10006,3,1,1,10004,1,1,10004,9,10004,10004,3,1,10004,10004
22,3990,9,9,1,0,10006,10006,10006,0,0,0,0,3,1,1,0,0,0,10006,10006,0,0,1,1,10006,1,10004,9,1,10004,1,1,3,10006,1,10004,9,10004,10004,3,10006,10004,10004
23,6946,9,9,10006,0,1,10006,10006,0,0,0,0,10004,1,1,0,0,0,1,1,0,0,1,1,10006,1,10004,9,10006,3,10006,10006,10004,10006,1,10004,9,10004,3,10004,1,10004,3
24,4371,9,9,10006,0,10006,1,1,0,0,0,0,3,10006,1,0,0,0,1,10006,0,0,10006,10006,1,10006,10004,9,1,10004,10006,10006,3,1,1,10004,9,10004,3,10004,10006,10004,3
25,5421,18,18,2,0,2,2,0,0,0,0,0,6,0,10005,0,0,0,0,2,0,0,0,0,10005,0,6,10001,0,0,2,10005,10005,2,2,10005,2,10005,6,0,10005,6,10005
26,1982,18,18,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,10003,0,0,10005,0,0,2,6,10001,0,0,2,10005,0,0,10005,2,2,10005,10001,0,0,10001,2
27,9058,18,18,2,0,10003,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,2,0,0,10005,6,10001,0,0,2,10005,0,0,10005,2,2,10005,10001,0,0,10001,2
28,4639,18,18,2,0,10005,10005,0,0,0,0,0,10001,0,10005,0,0,0,0,10005,0,0,0,0,2,0,6,10001,0,0,2,10005,2,10005,2,10005,2,10005,6,0,2,6,10005
29,258,18,18,4,0,2,0,0,0,0,0,0,10001,2,2,0,0,0,0,2,0,0,0,10005,0,0,10001,10001,0,0,10003,0,2,0,10005,10005,2,2,0,0,10005,6,0
30,7744,18,18,4,0,10005,0,0,0,0,0,0,6,10005,2,0,0,0,0,10005,0,0,0,2,0,0,10001,10001,0,0,10003,0,10005,0,10005,10005,2,2,0,0,2,6,0
31,7639,18,18,10003,0,2,0,0,0,0,0,0,10001,10005,2,0,0,0,0,2,0,0,0,2,0,0,10001,10001,0,0,4,0,2,0,10005,10005,2,2,0,0,10005,6,0
32,3383,18,18,10003,0,10005,0,0,0,0,0,0,6,2,2,0,0,0,0,10005,0,0,0,10005,0,0,10001,10001,0,0,4,0,10005,0,10005,10005,2,2,0,0,2,6,0
33,8040,18,18,10005,0,2,10005,0,0,0,0,0,6,0,10005,0,0,0,0,2,0,0,0,0,2,0,6,10001,0,0,10005,2,10005,10005,2,10005,2,10005,10001,0,10005,6,2
34,1380,18,18,10005,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,10003,0,0,2,0,0,10005,6,10001,0,0,10005,2,0,0,10005,2,2,10005,6,0,0,10001,10005
35,3723,18,18,10005,0,10003,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,10005,0,0,2,6,10001,0,0,10005,2,0,0,10005,2,2,10005,6,0,0,10001,10005
36,5999,18,18,10005,0,10005,2,0,0,0,0,0,10001,0,10005,0,0,0,0,10005,0,0,0,0,10005,0,6,10001,0,0,10005,2,2,2,2,10005,2,10005,10001,0,2,6,2
37,5758,24,24,0,0,0,4,0,0,10006,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10003,0,0,9999,0,0,0,0,0,0
38,5919,24,24,0,0,0,10003,0,0,10006,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,9999,0,0,0,0,0,0
39,4345,36,36,0,0,0,0,0,0,0,0,0,0,0,10003,0,0,0,0,0,0,0,0,0,0,0,9995,9995,0,0,0,0,0,0,4,4,4,4,0,0,0,9995,0
40,1870,48,48,0,0,0,0,0,0,1,0,0,0,0,0,0,10004,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,9991,0,0,0,0,0,0
