visible_index,source_atom_id,target_atom_id,expected_atom_id,source_coordinate_mask,sigma_coordinate_mask,affine_coordinate_mask,visible_shift,hidden_delta_t,tick_match_flag,parity_preserved_flag
0,0,2,2,7,44,19,2,1,1,1
1,1,5,5,11,42,21,2,1,1,1
2,2,11,11,19,41,22,2,1,1,1
3,5,15,15,21,13,50,2,1,1,1
4,11,13,13,22,37,26,2,1,1,1
5,15,10,10,50,49,14,2,1,1,1
6,13,16,16,26,35,28,2,1,1,1
7,10,7,7,14,38,25,2,1,1,1
8,16,19,19,28,7,56,2,1,1,1
9,7,18,18,25,11,52,2,1,1,1
10,19,17,17,56,19,44,2,1,1,1
11,18,14,14,52,21,42,2,1,1,1
12,17,8,8,44,22,41,2,1,1,1
13,14,4,4,42,50,13,2,1,1,1
14,8,6,6,41,26,37,2,1,1,1
15,4,9,9,13,14,49,2,1,1,1
16,6,3,3,37,28,35,2,1,1,1
17,9,12,12,49,25,38,2,1,1,1
18,3,0,0,35,56,7,2,1,1,1
19,12,1,1,38,52,11,2,1,1,1
