coord_id,object,local_pre_idempotent,center_basis_index,coefficient_mod,coefficient_signed,nonzero_flag
0,1,12,0,0,0,0
1,1,12,1,0,0,0
2,1,12,2,0,0,0
3,1,12,3,656252,-343751,1
4,1,12,4,343751,343751,1
5,1,12,5,343751,343751,1
6,1,12,6,656252,-343751,1
7,1,12,7,656252,-343751,1
8,1,12,8,343751,343751,1
9,1,12,9,968753,-31250,1
10,1,12,10,656252,-343751,1
11,1,12,11,343751,343751,1
12,1,12,12,31250,31250,1
13,5,6,0,492189,492189,1
14,5,6,1,164063,164063,1
15,5,6,2,492189,492189,1
16,5,6,3,164063,164063,1
17,5,6,4,835940,-164063,1
18,5,6,5,835940,-164063,1
19,5,6,6,164063,164063,1
20,5,6,7,835940,-164063,1
21,5,6,8,0,0,0
22,5,6,9,835940,-164063,1
23,5,6,10,835940,-164063,1
24,5,6,11,164063,164063,1
25,5,6,12,0,0,0
26,5,6,13,835940,-164063,1
27,5,6,14,0,0,0
28,5,6,15,507814,-492189,1
29,5,6,16,164063,164063,1
30,5,6,17,0,0,0
31,5,6,18,0,0,0
32,5,6,19,164063,164063,1
33,5,6,20,507814,-492189,1
34,5,6,21,0,0,0
