edge_id,generator_id,source_basis_id,target_basis_id,sign
0,0,0,0,1
1,0,1,1,1
2,0,2,2,1
3,0,3,4,1
4,0,4,3,1
5,0,5,6,1
6,0,6,5,1
7,0,7,8,1
8,0,8,7,1
9,0,9,10,1
10,0,10,9,1
11,0,11,11,-1
12,0,12,15,1
13,0,13,14,1
14,0,14,13,1
15,0,15,12,1
16,0,16,16,-1
17,0,17,17,1
18,0,18,18,1
19,0,19,20,1
20,0,20,19,1
21,0,21,22,1
22,0,22,21,1
23,0,23,24,1
24,0,24,23,1
25,0,25,26,1
26,0,26,25,1
27,0,27,27,-1
28,0,28,31,1
29,0,29,30,1
30,0,30,29,1
31,0,31,28,1
32,0,32,32,-1
33,1,0,0,1
34,1,1,1,1
35,1,2,2,1
36,1,3,5,1
37,1,4,6,1
38,1,5,3,1
39,1,6,4,1
40,1,7,9,1
41,1,8,10,1
42,1,9,7,1
43,1,10,8,1
44,1,11,16,1
45,1,12,12,-1
46,1,13,14,-1
47,1,14,13,-1
48,1,15,15,-1
49,1,16,11,1
50,1,17,17,1
51,1,18,18,1
52,1,19,21,1
53,1,20,22,1
54,1,21,19,1
55,1,22,20,1
56,1,23,25,1
57,1,24,26,1
58,1,25,23,1
59,1,26,24,1
60,1,27,32,1
61,1,28,28,-1
62,1,29,30,-1
63,1,30,29,-1
64,1,31,31,-1
65,1,32,27,1
66,2,0,0,1
67,2,1,1,1
68,2,2,2,-1
69,2,3,7,1
70,2,4,8,1
71,2,5,10,1
72,2,6,9,1
73,2,7,3,1
74,2,8,4,1
75,2,9,6,1
76,2,10,5,1
77,2,11,11,1
78,2,12,13,1
79,2,13,12,1
80,2,14,15,1
81,2,15,14,1
82,2,16,16,-1
83,2,17,17,1
84,2,18,18,-1
85,2,19,23,1
86,2,20,24,1
87,2,21,26,1
88,2,22,25,1
89,2,23,19,1
90,2,24,20,1
91,2,25,22,1
92,2,26,21,1
93,2,27,27,1
94,2,28,29,1
95,2,29,28,1
96,2,30,31,1
97,2,31,30,1
98,2,32,32,-1
99,3,0,0,1
100,3,1,1,1
101,3,2,11,1
102,3,3,3,-1
103,3,4,7,-1
104,3,5,12,1
105,3,6,13,1
106,3,7,4,-1
107,3,8,8,-1
108,3,9,14,1
109,3,10,15,1
110,3,11,2,1
111,3,12,5,1
112,3,13,6,1
113,3,14,9,1
114,3,15,10,1
115,3,16,16,1
116,3,17,17,1
117,3,18,27,1
118,3,19,19,-1
119,3,20,23,-1
120,3,21,28,1
121,3,22,29,1
122,3,23,20,-1
123,3,24,24,-1
124,3,25,30,1
125,3,26,31,1
126,3,27,18,1
127,3,28,21,1
128,3,29,22,1
129,3,30,25,1
130,3,31,26,1
131,3,32,32,1
