center_row_id,object,local_center_index,global_center_index,selected_coordinate_mod,selected_coordinate_signed,support_count,rank_pivot_column
0,1,3,3,656252,-343751,1,0
1,1,4,4,343751,343751,1,1
2,1,5,5,343751,343751,1,2
3,1,6,6,656252,-343751,1,3
4,1,7,7,656252,-343751,1,4
5,1,8,8,343751,343751,1,5
6,1,9,9,968753,-31250,1,6
7,1,10,10,656252,-343751,2,7
8,1,11,11,343751,343751,2,8
9,1,12,12,31250,31250,1,11
10,5,0,13,492189,492189,1,12
11,5,1,14,164063,164063,3,13
12,5,2,15,492189,492189,4,14
13,5,3,16,164063,164063,1,15
14,5,4,17,835940,-164063,1,16
15,5,5,18,835940,-164063,6,17
16,5,6,19,164063,164063,6,21
17,5,7,20,835940,-164063,5,24
18,5,9,22,835940,-164063,6,25
19,5,10,23,835940,-164063,2,26
20,5,11,24,164063,164063,4,29
21,5,13,26,835940,-164063,5,30
22,5,15,28,507814,-492189,6,31
23,5,16,29,164063,164063,3,32
24,5,18,31,0,0,4,33
25,5,19,32,164063,164063,5,38
26,5,20,33,507814,-492189,3,41
27,5,21,34,0,0,2,44
