feature_id,feature_family_code,object_filter,feature_value,support_count,residual_support_count,single_rank_gain,selected_flag
0,0,-1,1,12,0,0,0
1,0,-1,5,44,0,0,0
2,1,-1,1,6,3,1,1
3,1,-1,3,14,6,1,1
4,1,-1,6,24,7,1,1
5,1,-1,12,12,7,1,0
6,2,-1,31250,2,0,0,0
7,2,-1,164063,36,6,1,1
8,2,-1,343751,10,0,0,0
9,2,-1,492189,8,6,1,0
10,3,-1,-1,28,6,1,1
11,3,-1,1,28,6,1,0
12,4,1,1,2,0,0,0
13,4,1,3,2,0,0,0
14,4,1,6,4,0,0,0
15,4,1,12,4,0,0,0
16,5,1,31250,2,0,0,0
17,5,1,343751,10,0,0,0
18,4,5,1,4,3,1,0
19,4,5,3,12,6,1,0
20,4,5,6,20,7,1,0
21,4,5,12,8,7,1,0
22,5,5,164063,36,6,1,0
23,5,5,492189,8,6,1,0
