combo_id,feature_id_0,feature_id_1,feature_id_2,feature_id_3,feature_id_4,projection_rank,kernel_dimension,unique_exact_column_count,unique_projective_column_count,duplicate_projective_class_count,total_hit_count,total_miss_count,total_multi_count,perfect_generator_count,worst_generator_miss_count,best_flag,selected_hcgrade_flag
0,2,3,4,7,10,33,23,36,36,12,92,412,38,0,54,0,1
1,2,3,4,7,11,33,23,36,36,12,99,405,47,0,55,0,0
2,2,3,4,9,10,33,23,36,36,12,112,392,60,0,54,0,0
3,2,3,4,9,11,33,23,36,36,12,117,387,72,0,54,0,0
4,2,3,4,10,22,33,23,36,36,12,94,410,47,0,54,0,0
5,2,3,4,10,23,33,23,36,36,12,129,375,69,0,53,0,0
6,2,3,4,11,22,33,23,36,36,12,85,419,42,0,55,0,0
7,2,3,4,11,23,33,23,36,36,12,111,393,66,0,55,0,0
8,2,3,5,7,10,33,23,36,36,12,98,406,60,0,56,0,0
9,2,3,5,7,11,33,23,36,36,12,111,393,76,0,56,0,0
10,2,3,5,9,10,33,23,36,36,12,151,353,115,0,56,0,0
11,2,3,5,9,11,33,23,36,36,12,169,335,135,0,52,0,0
12,2,3,5,10,22,33,23,36,36,12,120,384,88,0,56,0,0
13,2,3,5,10,23,33,23,36,36,12,164,340,125,0,52,0,0
14,2,3,5,11,22,33,23,36,36,12,106,398,71,0,56,0,0
15,2,3,5,11,23,33,23,36,36,12,156,348,113,0,55,0,0
16,2,3,7,10,20,33,23,36,36,12,97,407,51,0,54,0,0
17,2,3,7,10,21,33,23,36,36,12,107,397,56,0,54,0,0
18,2,3,7,11,20,33,23,36,36,12,99,405,53,0,55,0,0
19,2,3,7,11,21,33,23,36,36,12,104,400,57,0,55,0,0
20,2,3,9,10,20,33,23,36,36,12,153,351,102,0,52,0,0
21,2,3,9,10,21,33,23,36,36,12,175,329,123,0,50,0,0
22,2,3,9,11,20,33,23,36,36,12,138,366,91,0,53,0,0
23,2,3,9,11,21,33,23,36,36,12,164,340,112,0,52,0,0
24,2,3,10,20,22,33,23,36,36,12,100,404,52,0,54,0,0
25,2,3,10,20,23,33,23,36,36,12,131,373,72,0,54,0,0
26,2,3,10,21,22,33,23,36,36,12,131,373,82,0,54,0,0
27,2,3,10,21,23,33,23,36,36,12,165,339,109,0,54,0,0
28,2,3,11,20,22,33,23,36,36,12,100,404,57,0,55,0,0
29,2,3,11,20,23,33,23,36,36,12,131,373,87,0,55,0,0
30,2,3,11,21,22,33,23,36,36,12,115,389,71,0,55,0,0
31,2,3,11,21,23,33,23,36,36,12,164,340,111,0,51,0,0
32,2,4,5,7,10,33,23,36,36,12,95,409,47,0,56,0,0
33,2,4,5,7,11,33,23,36,36,12,104,400,58,0,56,0,0
