mismatch_id,generator_id,source_support_row_id,transformed_support_mask,transformed_nonzero_count,transformed_signed_l1
0,0,12,950720,7,500011
1,0,15,720960,4,500005
2,0,20,262160,2,2
3,0,21,256,1,1
4,0,23,262176,2,2
5,0,28,20480,2,2
6,0,29,128,1,1
7,0,32,1572928,3,5
8,0,33,8388608,1,1
9,0,34,8396800,2,2
10,0,36,2129920,2,2
11,0,38,4194304,1,1
12,0,39,8390656,2,2
13,0,41,524288,1,1
14,0,53,66048,2,2
15,1,2,32,1,1
16,1,12,6164608,7,500011
17,1,15,4231296,4,500005
18,1,19,68,2,2
19,1,20,262152,2,2
20,1,23,262160,2,2
21,1,28,2112,2,2
22,1,29,524288,1,1
23,1,32,8392832,3,5
24,1,34,73728,2,2
25,1,36,1064960,2,2
26,1,37,3145728,2,2
27,1,38,512,1,1
28,1,39,66560,2,2
29,1,41,128,1,1
30,1,53,33024,2,2
31,2,0,32,1,1
32,2,12,1078080,7,500011
33,2,15,1066496,4,500005
34,2,16,256,1,1
35,2,17,8388608,1,1
36,2,19,8388612,2,2
37,2,20,524544,2,2
38,2,23,264,2,2
39,2,28,8388624,2,2
40,2,31,512,1,1
41,2,32,1049216,3,5
42,2,34,163840,2,2
43,2,36,2112,2,2
44,2,37,65600,2,2
45,2,38,4194304,1,1
46,2,39,393216,2,2
47,2,53,2098176,2,2
