pair_row_id,left_closure_row,right_closure_row,product_row_count,coefficient_total
0,0,0,4,12
1,0,1,2,3
2,0,2,4,12
3,0,3,2,3
4,0,4,2,3
5,0,5,2,3
6,0,6,2,3
7,0,7,2,3
8,0,8,1,1
9,0,9,2,6
10,0,10,2,6
11,0,11,1,1
12,0,56,3,12
13,0,57,2,4
14,0,58,4,12
15,0,59,3,12
16,1,0,2,3
17,1,1,4,26
18,1,2,2,3
19,1,3,4,26
20,1,4,3,10
21,1,5,2,3
22,1,6,3,10
23,1,7,2,3
24,1,8,1,1
25,1,9,2,3
26,1,10,2,3
27,1,11,1,1
28,1,56,7,52
29,1,57,1,1
30,1,58,1,3
31,1,59,5,44
32,2,0,2,6
33,2,1,2,3
34,2,2,2,6
35,2,3,2,3
36,2,4,2,3
37,2,5,2,3
38,2,6,2,3
39,2,7,2,3
40,2,8,1,1
41,2,9,4,12
42,2,10,4,12
43,2,11,1,1
44,2,56,3,12
45,2,57,2,4
46,2,58,4,12
47,2,59,3,12
48,3,0,2,3
49,3,1,4,26
50,3,2,2,3
51,3,3,4,26
52,3,4,3,10
53,3,5,2,3
54,3,6,3,10
55,3,7,2,3
56,3,8,1,1
57,3,9,2,3
58,3,10,2,3
59,3,11,1,1
60,3,56,7,52
61,3,57,1,1
62,3,58,1,3
63,3,59,5,44
64,4,0,2,3
65,4,1,3,10
66,4,2,2,3
67,4,3,3,10
68,4,4,5,32
69,4,5,2,3
70,4,6,5,32
71,4,7,2,3
72,4,8,1,1
73,4,9,2,3
74,4,10,2,3
75,4,11,1,1
76,4,56,3,32
77,4,57,1,1
78,4,58,1,3
79,4,59,7,52
80,5,0,2,3
81,5,1,2,3
82,5,2,2,3
83,5,3,2,3
84,5,4,2,3
85,5,5,2,5
86,5,6,2,3
87,5,7,2,5
88,5,8,1,1
89,5,9,2,3
90,5,10,2,3
91,5,11,1,1
92,5,56,1,3
93,5,57,1,1
94,5,58,2,5
95,5,59,1,3
96,6,0,2,3
97,6,1,3,10
98,6,2,2,3
99,6,3,3,10
100,6,4,5,32
101,6,5,2,3
102,6,6,5,32
103,6,7,2,3
104,6,8,1,1
105,6,9,2,3
106,6,10,2,3
107,6,11,1,1
108,6,56,3,32
109,6,57,1,1
110,6,58,1,3
111,6,59,7,52
112,7,0,2,3
113,7,1,2,3
114,7,2,2,3
115,7,3,2,3
116,7,4,2,3
117,7,5,2,5
118,7,6,2,3
119,7,7,2,5
120,7,8,1,1
121,7,9,2,3
122,7,10,2,3
123,7,11,1,1
124,7,56,1,3
125,7,57,1,1
126,7,58,2,5
127,7,59,1,3
128,8,0,1,1
129,8,1,1,1
130,8,2,1,1
131,8,3,1,1
132,8,4,1,1
133,8,5,1,1
134,8,6,1,1
135,8,7,1,1
136,8,8,1,1
137,8,9,1,1
138,8,10,1,1
139,8,11,1,1
140,8,56,1,1
141,8,57,1,1
142,8,58,1,1
143,8,59,1,1
144,9,0,4,12
145,9,1,2,3
146,9,2,4,12
147,9,3,2,3
148,9,4,2,3
149,9,5,2,3
150,9,6,2,3
151,9,7,2,3
152,9,8,1,1
153,9,9,2,6
154,9,10,2,6
155,9,11,1,1
156,9,56,3,12
157,9,57,2,4
158,9,58,4,12
159,9,59,3,12
160,10,0,2,6
161,10,1,2,3
162,10,2,2,6
163,10,3,2,3
164,10,4,2,3
165,10,5,2,3
166,10,6,2,3
167,10,7,2,3
168,10,8,1,1
169,10,9,4,12
170,10,10,4,12
171,10,11,1,1
172,10,56,3,12
173,10,57,2,4
174,10,58,4,12
175,10,59,3,12
176,11,0,1,1
177,11,1,1,1
178,11,2,1,1
179,11,3,1,1
180,11,4,1,1
181,11,5,1,1
182,11,6,1,1
183,11,7,1,1
184,11,8,1,1
185,11,9,1,1
186,11,10,1,1
187,11,11,1,1
188,11,56,1,1
189,11,57,1,1
190,11,58,1,1
191,11,59,1,1
192,12,12,10,36
193,12,13,8,24
194,12,14,1,1
195,12,15,5,10
196,12,16,6,12
197,12,17,6,12
198,12,18,10,36
199,12,19,6,12
200,12,20,6,12
201,12,21,3,5
202,12,22,2,3
203,12,23,6,12
204,12,24,2,3
205,12,25,8,24
206,12,26,5,10
207,12,27,6,12
208,12,28,6,12
209,12,29,8,24
210,12,30,6,12
211,12,31,3,5
212,12,32,2,3
213,12,33,6,12
214,12,34,6,12
215,12,35,2,3
216,12,36,6,12
217,12,37,6,12
218,12,38,8,24
219,12,39,6,12
220,12,40,6,12
221,12,41,3,5
222,12,42,3,5
223,12,43,10,36
224,12,44,5,10
225,12,45,6,12
226,12,46,10,36
227,12,47,5,10
228,12,48,6,12
229,12,49,3,5
230,12,50,1,1
231,12,51,1,1
232,12,52,3,5
233,12,53,3,5
234,12,54,3,5
235,12,55,1,1
236,13,12,8,24
237,13,13,10,36
238,13,14,1,1
239,13,15,5,10
240,13,16,6,12
241,13,17,6,12
242,13,18,8,24
243,13,19,6,12
244,13,20,6,12
245,13,21,3,5
246,13,22,2,3
247,13,23,6,12
248,13,24,2,3
249,13,25,10,36
250,13,26,5,10
251,13,27,6,12
252,13,28,6,12
253,13,29,10,36
254,13,30,6,12
255,13,31,3,5
256,13,32,2,3
257,13,33,6,12
258,13,34,6,12
259,13,35,2,3
260,13,36,6,12
261,13,37,6,12
262,13,38,10,36
263,13,39,6,12
264,13,40,6,12
265,13,41,3,5
266,13,42,3,5
267,13,43,8,24
268,13,44,5,10
269,13,45,6,12
270,13,46,8,24
271,13,47,5,10
272,13,48,6,12
273,13,49,3,5
274,13,50,1,1
275,13,51,1,1
276,13,52,3,5
277,13,53,3,5
278,13,54,3,5
279,13,55,1,1
280,14,12,1,1
281,14,13,1,1
282,14,14,1,1
283,14,15,1,1
284,14,16,1,1
285,14,17,1,1
286,14,18,1,1
287,14,19,1,1
288,14,20,1,1
289,14,21,1,1
290,14,22,1,1
291,14,23,1,1
292,14,24,1,1
293,14,25,1,1
294,14,26,1,1
295,14,27,1,1
296,14,28,1,1
297,14,29,1,1
298,14,30,1,1
299,14,31,1,1
300,14,32,1,1
301,14,33,1,1
302,14,34,1,1
303,14,35,1,1
304,14,36,1,1
305,14,37,1,1
306,14,38,1,1
307,14,39,1,1
308,14,40,1,1
309,14,41,1,1
310,14,42,1,1
311,14,43,1,1
312,14,44,1,1
313,14,45,1,1
314,14,46,1,1
315,14,47,1,1
316,14,48,1,1
317,14,49,1,1
318,14,50,1,1
319,14,51,1,1
320,14,52,1,1
321,14,53,1,1
322,14,54,1,1
323,14,55,1,1
324,15,12,5,10
325,15,13,5,10
326,15,14,1,1
327,15,15,5,14
328,15,16,3,4
329,15,17,3,4
330,15,18,5,10
331,15,19,3,4
332,15,20,3,4
333,15,21,3,5
334,15,22,3,5
335,15,23,3,4
336,15,24,3,5
337,15,25,5,10
338,15,26,5,14
339,15,27,3,4
340,15,28,3,4
341,15,29,5,10
342,15,30,3,4
343,15,31,3,5
344,15,32,3,5
345,15,33,3,4
346,15,34,3,4
347,15,35,3,5
348,15,36,3,4
349,15,37,3,4
350,15,38,5,10
351,15,39,3,4
352,15,40,3,4
353,15,41,3,5
354,15,42,3,5
355,15,43,5,10
356,15,44,5,14
357,15,45,3,4
358,15,46,5,10
359,15,47,5,14
360,15,48,3,4
361,15,49,3,5
362,15,50,1,1
363,15,51,1,1
364,15,52,3,5
365,15,53,3,5
366,15,54,3,5
367,15,55,1,1
368,16,12,6,12
369,16,13,6,12
370,16,14,1,1
371,16,15,3,4
372,16,16,4,12
373,16,17,3,4
374,16,18,6,12
375,16,19,3,8
376,16,20,4,6
377,16,21,2,2
378,16,22,2,3
379,16,23,3,8
380,16,24,2,3
381,16,25,6,12
382,16,26,3,4
383,16,27,3,4
384,16,28,4,12
385,16,29,6,12
386,16,30,4,6
387,16,31,2,2
388,16,32,2,3
389,16,33,4,12
390,16,34,3,8
391,16,35,2,3
392,16,36,4,12
393,16,37,3,8
394,16,38,6,12
395,16,39,4,6
396,16,40,4,6
397,16,41,2,2
398,16,42,2,2
399,16,43,6,12
400,16,44,3,4
401,16,45,3,4
402,16,46,6,12
403,16,47,3,4
404,16,48,3,4
405,16,49,2,2
406,16,50,1,1
407,16,51,1,1
408,16,52,2,2
409,16,53,2,2
410,16,54,2,2
411,16,55,1,1
412,17,12,6,12
413,17,13,6,12
414,17,14,1,1
415,17,15,3,4
416,17,16,3,8
417,17,17,4,6
418,17,18,6,12
419,17,19,4,12
420,17,20,3,4
421,17,21,2,2
422,17,22,2,3
423,17,23,4,12
424,17,24,2,3
425,17,25,6,12
426,17,26,3,4
427,17,27,4,6
428,17,28,3,8
429,17,29,6,12
430,17,30,3,4
431,17,31,2,2
432,17,32,2,3
433,17,33,3,8
434,17,34,4,12
435,17,35,2,3
436,17,36,3,8
437,17,37,4,12
438,17,38,6,12
439,17,39,3,4
440,17,40,3,4
441,17,41,2,2
442,17,42,2,2
443,17,43,6,12
444,17,44,3,4
445,17,45,4,6
446,17,46,6,12
447,17,47,3,4
448,17,48,4,6
449,17,49,2,2
450,17,50,1,1
451,17,51,1,1
452,17,52,2,2
453,17,53,2,2
454,17,54,2,2
455,17,55,1,1
456,18,12,10,36
457,18,13,8,24
458,18,14,1,1
459,18,15,5,10
460,18,16,6,12
461,18,17,6,12
462,18,18,10,36
463,18,19,6,12
464,18,20,6,12
465,18,21,3,5
466,18,22,2,3
467,18,23,6,12
468,18,24,2,3
469,18,25,8,24
470,18,26,5,10
471,18,27,6,12
472,18,28,6,12
473,18,29,8,24
474,18,30,6,12
475,18,31,3,5
476,18,32,2,3
477,18,33,6,12
478,18,34,6,12
479,18,35,2,3
480,18,36,6,12
481,18,37,6,12
482,18,38,8,24
483,18,39,6,12
484,18,40,6,12
485,18,41,3,5
486,18,42,3,5
487,18,43,10,36
488,18,44,5,10
489,18,45,6,12
490,18,46,10,36
491,18,47,5,10
492,18,48,6,12
493,18,49,3,5
494,18,50,1,1
495,18,51,1,1
496,18,52,3,5
497,18,53,3,5
498,18,54,3,5
499,18,55,1,1
500,19,12,6,12
501,19,13,6,12
502,19,14,1,1
503,19,15,3,4
504,19,16,3,4
505,19,17,4,12
506,19,18,6,12
507,19,19,4,6
508,19,20,3,8
509,19,21,2,2
510,19,22,2,3
511,19,23,4,6
512,19,24,2,3
513,19,25,6,12
514,19,26,3,4
515,19,27,4,12
516,19,28,3,4
517,19,29,6,12
518,19,30,3,8
519,19,31,2,2
520,19,32,2,3
521,19,33,3,4
522,19,34,4,6
523,19,35,2,3
524,19,36,3,4
525,19,37,4,6
526,19,38,6,12
527,19,39,3,8
528,19,40,3,8
529,19,41,2,2
530,19,42,2,2
531,19,43,6,12
532,19,44,3,4
533,19,45,4,12
534,19,46,6,12
535,19,47,3,4
536,19,48,4,12
537,19,49,2,2
538,19,50,1,1
539,19,51,1,1
540,19,52,2,2
541,19,53,2,2
542,19,54,2,2
543,19,55,1,1
544,20,12,6,12
545,20,13,6,12
546,20,14,1,1
547,20,15,3,4
548,20,16,4,6
549,20,17,3,8
550,20,18,6,12
551,20,19,3,4
552,20,20,4,12
553,20,21,2,2
554,20,22,2,3
555,20,23,3,4
556,20,24,2,3
557,20,25,6,12
558,20,26,3,4
559,20,27,3,8
560,20,28,4,6
561,20,29,6,12
562,20,30,4,12
563,20,31,2,2
564,20,32,2,3
565,20,33,4,6
566,20,34,3,4
567,20,35,2,3
568,20,36,4,6
569,20,37,3,4
570,20,38,6,12
571,20,39,4,12
572,20,40,4,12
573,20,41,2,2
574,20,42,2,2
575,20,43,6,12
576,20,44,3,4
577,20,45,3,8
578,20,46,6,12
579,20,47,3,4
580,20,48,3,8
581,20,49,2,2
582,20,50,1,1
583,20,51,1,1
584,20,52,2,2
585,20,53,2,2
586,20,54,2,2
587,20,55,1,1
588,21,12,3,5
589,21,13,3,5
590,21,14,1,1
591,21,15,3,5
592,21,16,2,2
593,21,17,2,2
594,21,18,3,5
595,21,19,2,2
596,21,20,2,2
597,21,21,2,5
598,21,22,2,2
599,21,23,2,2
600,21,24,2,2
601,21,25,3,5
602,21,26,3,5
603,21,27,2,2
604,21,28,2,2
605,21,29,3,5
606,21,30,2,2
607,21,31,2,2
608,21,32,2,2
609,21,33,2,2
610,21,34,2,2
611,21,35,2,2
612,21,36,2,2
613,21,37,2,2
614,21,38,3,5
615,21,39,2,2
616,21,40,2,2
617,21,41,2,2
618,21,42,2,2
619,21,43,3,5
620,21,44,3,5
621,21,45,2,2
622,21,46,3,5
623,21,47,3,5
624,21,48,2,2
625,21,49,2,5
626,21,50,1,1
627,21,51,1,1
628,21,52,2,5
629,21,53,2,5
630,21,54,2,2
631,21,55,1,1
632,22,12,2,3
633,22,13,2,3
634,22,14,1,1
635,22,15,3,5
636,22,16,2,3
637,22,17,2,3
638,22,18,2,3
639,22,19,2,3
640,22,20,2,3
641,22,21,2,2
642,22,22,2,5
643,22,23,2,3
644,22,24,2,5
645,22,25,2,3
646,22,26,3,5
647,22,27,2,3
648,22,28,2,3
649,22,29,2,3
650,22,30,2,3
651,22,31,2,2
652,22,32,2,5
653,22,33,2,3
654,22,34,2,3
655,22,35,2,5
656,22,36,2,3
657,22,37,2,3
658,22,38,2,3
659,22,39,2,3
660,22,40,2,3
661,22,41,2,2
662,22,42,2,2
663,22,43,2,3
664,22,44,3,5
665,22,45,2,3
666,22,46,2,3
667,22,47,3,5
668,22,48,2,3
669,22,49,2,2
670,22,50,1,1
671,22,51,1,1
672,22,52,2,2
673,22,53,2,2
674,22,54,2,2
675,22,55,1,1
676,23,12,6,12
677,23,13,6,12
678,23,14,1,1
679,23,15,3,4
680,23,16,3,8
681,23,17,4,6
682,23,18,6,12
683,23,19,4,12
684,23,20,3,4
685,23,21,2,2
686,23,22,2,3
687,23,23,4,12
688,23,24,2,3
689,23,25,6,12
690,23,26,3,4
691,23,27,4,6
692,23,28,3,8
693,23,29,6,12
694,23,30,3,4
695,23,31,2,2
696,23,32,2,3
697,23,33,3,8
698,23,34,4,12
699,23,35,2,3
700,23,36,3,8
701,23,37,4,12
702,23,38,6,12
703,23,39,3,4
704,23,40,3,4
705,23,41,2,2
706,23,42,2,2
707,23,43,6,12
708,23,44,3,4
709,23,45,4,6
710,23,46,6,12
711,23,47,3,4
712,23,48,4,6
713,23,49,2,2
714,23,50,1,1
715,23,51,1,1
716,23,52,2,2
717,23,53,2,2
718,23,54,2,2
719,23,55,1,1
720,24,12,2,3
721,24,13,2,3
722,24,14,1,1
723,24,15,3,5
724,24,16,2,3
725,24,17,2,3
726,24,18,2,3
727,24,19,2,3
728,24,20,2,3
729,24,21,2,2
730,24,22,2,5
731,24,23,2,3
732,24,24,2,5
733,24,25,2,3
734,24,26,3,5
735,24,27,2,3
736,24,28,2,3
737,24,29,2,3
738,24,30,2,3
739,24,31,2,2
740,24,32,2,5
741,24,33,2,3
742,24,34,2,3
743,24,35,2,5
744,24,36,2,3
745,24,37,2,3
746,24,38,2,3
747,24,39,2,3
748,24,40,2,3
749,24,41,2,2
750,24,42,2,2
751,24,43,2,3
752,24,44,3,5
753,24,45,2,3
754,24,46,2,3
755,24,47,3,5
756,24,48,2,3
757,24,49,2,2
758,24,50,1,1
759,24,51,1,1
760,24,52,2,2
761,24,53,2,2
762,24,54,2,2
763,24,55,1,1
764,25,12,8,24
765,25,13,10,36
766,25,14,1,1
767,25,15,5,10
768,25,16,6,12
769,25,17,6,12
770,25,18,8,24
771,25,19,6,12
772,25,20,6,12
773,25,21,3,5
774,25,22,2,3
775,25,23,6,12
776,25,24,2,3
777,25,25,10,36
778,25,26,5,10
779,25,27,6,12
780,25,28,6,12
781,25,29,10,36
782,25,30,6,12
783,25,31,3,5
784,25,32,2,3
785,25,33,6,12
786,25,34,6,12
787,25,35,2,3
788,25,36,6,12
789,25,37,6,12
790,25,38,10,36
791,25,39,6,12
792,25,40,6,12
793,25,41,3,5
794,25,42,3,5
795,25,43,8,24
796,25,44,5,10
797,25,45,6,12
798,25,46,8,24
799,25,47,5,10
800,25,48,6,12
801,25,49,3,5
802,25,50,1,1
803,25,51,1,1
804,25,52,3,5
805,25,53,3,5
806,25,54,3,5
807,25,55,1,1
808,26,12,5,10
809,26,13,5,10
810,26,14,1,1
811,26,15,5,14
812,26,16,3,4
813,26,17,3,4
814,26,18,5,10
815,26,19,3,4
816,26,20,3,4
817,26,21,3,5
818,26,22,3,5
819,26,23,3,4
820,26,24,3,5
821,26,25,5,10
822,26,26,5,14
823,26,27,3,4
824,26,28,3,4
825,26,29,5,10
826,26,30,3,4
827,26,31,3,5
828,26,32,3,5
829,26,33,3,4
830,26,34,3,4
831,26,35,3,5
832,26,36,3,4
833,26,37,3,4
834,26,38,5,10
835,26,39,3,4
836,26,40,3,4
837,26,41,3,5
838,26,42,3,5
839,26,43,5,10
840,26,44,5,14
841,26,45,3,4
842,26,46,5,10
843,26,47,5,14
844,26,48,3,4
845,26,49,3,5
846,26,50,1,1
847,26,51,1,1
848,26,52,3,5
849,26,53,3,5
850,26,54,3,5
851,26,55,1,1
852,27,12,6,12
853,27,13,6,12
854,27,14,1,1
855,27,15,3,4
856,27,16,3,4
857,27,17,4,12
858,27,18,6,12
859,27,19,4,6
860,27,20,3,8
861,27,21,2,2
862,27,22,2,3
863,27,23,4,6
864,27,24,2,3
865,27,25,6,12
866,27,26,3,4
867,27,27,4,12
868,27,28,3,4
869,27,29,6,12
870,27,30,3,8
871,27,31,2,2
872,27,32,2,3
873,27,33,3,4
874,27,34,4,6
875,27,35,2,3
876,27,36,3,4
877,27,37,4,6
878,27,38,6,12
879,27,39,3,8
880,27,40,3,8
881,27,41,2,2
882,27,42,2,2
883,27,43,6,12
884,27,44,3,4
885,27,45,4,12
886,27,46,6,12
887,27,47,3,4
888,27,48,4,12
889,27,49,2,2
890,27,50,1,1
891,27,51,1,1
892,27,52,2,2
893,27,53,2,2
894,27,54,2,2
895,27,55,1,1
