opening_id,transcript_id,class_id,word_id,word_length,first_generator_id,second_generator_id,source_matrix_sha256,target_matrix_sha256,residual_tensor_sha256,product_residual_nonzero_count,product_preserved_flag,opening_digest_sha256
0,0,0,0,0,-1,-1,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c,75c4124e7b4e22b53b59f9208d359b0cc16157ae1e4beba52159c5a6b801dd2b,0,1,e3e75ac792ebf0cd4e11376d75235acce0b2d784347bcb1da89b77b462d86d5f
1,0,0,10,2,0,0,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c,75c4124e7b4e22b53b59f9208d359b0cc16157ae1e4beba52159c5a6b801dd2b,0,1,ed4221bec93a1ceb7c0462b2f9e0c90b0f543e432b34fa676c418739f8749cbd
2,0,0,20,2,1,1,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c,75c4124e7b4e22b53b59f9208d359b0cc16157ae1e4beba52159c5a6b801dd2b,0,1,36bc153b4f9016893fa7b05f34861ada173a9346c0df591df83cad689a1a4cb7
3,0,0,30,2,2,2,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c,75c4124e7b4e22b53b59f9208d359b0cc16157ae1e4beba52159c5a6b801dd2b,0,1,0f58424f2b57c04d0d0410e68887a226e4833c2393ca896155c3bb5ff44a8e32
4,0,0,40,2,3,3,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c,75c4124e7b4e22b53b59f9208d359b0cc16157ae1e4beba52159c5a6b801dd2b,0,1,bcb3ec3f110c20b2e319f01f84dc5f7e32456e17389cf41d15471c8b7b4067f3
5,0,0,50,2,4,4,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c,75c4124e7b4e22b53b59f9208d359b0cc16157ae1e4beba52159c5a6b801dd2b,0,1,ee18dbf0b40dc4902d7b29d1aba374e168571cc7dfbf87e8900fb7e2e8cb43fb
6,0,0,60,2,5,5,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c,75c4124e7b4e22b53b59f9208d359b0cc16157ae1e4beba52159c5a6b801dd2b,0,1,fa94262a27218fc79c2486196ab694504a15b8a18bf89930fcc9c743a1bbf740
7,0,0,70,2,6,6,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c,75c4124e7b4e22b53b59f9208d359b0cc16157ae1e4beba52159c5a6b801dd2b,0,1,6fb2f617afd9f3cb69f716527931a24cdbfeb6b10d4938d34cb636eefba2e0a9
8,0,0,80,2,7,7,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c,75c4124e7b4e22b53b59f9208d359b0cc16157ae1e4beba52159c5a6b801dd2b,0,1,e6c46a08650b99e711cd486d34465bb871332dcd295f2aaaab5a7e4e3dac4d9d
9,0,0,90,2,8,8,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c,75c4124e7b4e22b53b59f9208d359b0cc16157ae1e4beba52159c5a6b801dd2b,0,1,27ff5ebc371be00eb5cc43b76d73618c29f236ea48e70478202a892c7cd16a22
10,1,1,1,1,0,-1,003cd15d4d3330d71832684a6ee7fa2f6520c63d2f485d3c99345e6ee00ae043,a4abdfec121ed456d03102d58a3120c018110b6402aeff3709b002730c733280,33d533439e44da87fe4d4bfa2e94c848da11407424244a90bae757241aa89e78,131728,0,0e84210447d9092df400615798535f279068b1c9ad987ca8b9f627b96ebffc84
11,2,2,2,1,1,-1,2766c687a32c5d7fbeb182914a1f4d22a4d557fb71e6c4a028074317d359c69a,d85f760db0e023f638d1586e55e4a5c017a6895c4116c96295e299b3726972cd,de5e747b0bb3ea6ce11fe64c801bca18a688f469345b641d84babd632e95c7c4,133589,0,73ce64e5ce999aa30551c53fad389cc58969759d10c22a8587188aa82dee5b7c
12,3,3,3,1,2,-1,33d9b421763498766841d3c48b408765f608c3f80c59ec0df2cadb87d11e0735,bbf56811dfcdc9787cb309fb52592507ba77db3b86fdc509700bca4a8480c28b,69c3f573c8eb0fb43be076322429f274568bf46e9938e0199c1fb5fe78d44835,118961,0,f55f551e1a1bf1fc2d3afc34d8889bf026c67ef1c0d8dccb20f6a229ac4e6635
13,4,4,4,1,3,-1,81da7856738ac8a4d7629434adfd91ececbeb6721c32ad346b45a82092b54dde,ac947a03ad8219e6c76b497e0fbf75720809079552fc797ecbd3d821bf8393bb,a4e89cf467046fb29a5203e026992de46c42584525e76730ad6f70f2395788ab,134753,0,be8da176b531b656189c25168c1f5d7f35513b0ad816913edcb65c09be1ce020
14,5,5,5,1,4,-1,ea01360984670dcf51f90792d04a80b72f23850f298b61fc12adb9ded0a7a5b3,df0dd802d0a6d5a35182a145f278a8057b0a17c8899f38f4f50af291da302cae,cbcee5ed03cb1061150c530278d38d61e1b49a70699454bc2b541d546efca473,85749,0,d02ee4888938c79dd5298d71523924d52c5f26bfc5daca415ae03865b7138a67
15,6,6,6,1,5,-1,6e912b58b6abf9c924dbfba39946d3bc87ba2a03af7970c06e604dce84a1c7e4,c0d8890c072f3e20b7e5d1b34cd581bc3bd9e2ba9cefa1511bb8cff30302d945,bd06c1c50af8ae94b073f641cc5b3dd054fe14daf6f2b7ac26979484ed39f502,84820,0,a4719baf29325bbf25c07707bb981bacfa79a4a9d721a0c6473a7192164ad25b
16,7,7,7,1,6,-1,b2da99a1bbf3f112a04dbf9eb8089e5d28d7fad58e40510a55fadc0c934ff0ff,b0f96bffe9177fedde850f5d71353d4baea804741a248f54cc6b228c8b497e9e,db3d70aef991cade1e309a533e792679f155c13c2deac127e5f264c8fa6dde38,83676,0,67832465a3a52594e7556ec0db383c3d142bfbb368fcb15404ec2b4906dcec1d
17,8,8,8,1,7,-1,66efa8bba7bafa75135bc3ac641dac56aa6050a4beb474ceb8bb45071d6acadd,1bdc236ee9c39a522ab829a591795d9a6bba2ce78d5886064a65df80b83e2614,9c1cd3186df2c16154e5d91ab48a2d402d364d424cd856c1093a0d1153b4bd29,102819,0,287ee41c94a6ecde12c4b773b0d2eb95eef978c7f19451985b638b21a6fdd820
18,9,9,9,1,8,-1,051ad81f142c82779effc9fd20048049d3eed05f3adcac217985943e466755eb,610b077496276a075455a4d6e6cc0568b171cc923a6d53d5b12a4d68ba4f712f,68c091ebb3f0b02809311f2f59d866b3cdfdb6dd37e80ae063139f3a83e88a51,82435,0,05c23755d2cce88a9bea26464338af7ea0c1dd6ab2b7bdf939a13de9a99dacda
19,10,10,11,2,0,1,3d315bf8fba00f5fe0e0efe55ad4d1be2be0a77251a6bf8aba5a9d51f8e9a35d,783feabe1d2ed3350f58b308aee0e3f9ec314bd04039e4cbce8d16a15975ed6a,211daeaa9c81e7f876b674dcd100800c3dce5a95a05d364a27072fdde9cad304,134207,0,f52200269e138bde242862227fb94eba64e34fa8a557a3f12858c330fcb769c0
20,10,10,19,2,1,0,3d315bf8fba00f5fe0e0efe55ad4d1be2be0a77251a6bf8aba5a9d51f8e9a35d,783feabe1d2ed3350f58b308aee0e3f9ec314bd04039e4cbce8d16a15975ed6a,211daeaa9c81e7f876b674dcd100800c3dce5a95a05d364a27072fdde9cad304,134207,0,a2477a236beecab8553ab209ec5d5774358b63250859a2bae1913b8a20a0135d
21,11,11,12,2,0,2,13c45898acc122c5a722a1e6be383335aca7225fba4fe60d3f1d217fa66d736e,37f2cbda3b3194293bdb5bcd91f613edb7f5216aba57a36d6a7a9c8deb495a93,f00960dc4be7d854b89dfe2f08da7a1c0d8bf4e22c9e247371931d82a8f01cbe,117693,0,568cf46f5d583fc02d31e2a97683c6d5c9d8029cfc9340d0b49820f24ce2602f
22,11,11,28,2,2,0,13c45898acc122c5a722a1e6be383335aca7225fba4fe60d3f1d217fa66d736e,37f2cbda3b3194293bdb5bcd91f613edb7f5216aba57a36d6a7a9c8deb495a93,f00960dc4be7d854b89dfe2f08da7a1c0d8bf4e22c9e247371931d82a8f01cbe,117693,0,70f67827c92a474347e6808d3ec38c3306ed567eaf76b1bde2822d75b3bff25d
23,12,12,13,2,0,3,8c0e9ca09989f035d944d100a0651c9be63f77a30de7d4bd1a613075ded57df6,96dd8a7b0a78e09c5232c214711aedafef02e2266a2a730e8ce5613ceeb49db1,a3cc5954616c8d22758a62c991da2ee3c975c27e11c4cab2e74c4f11e1fefef1,140315,0,e8225aec3233e3274371e8b8180fba1c36898e5265789abb727cb869416fe408
24,12,12,39,2,3,2,8c0e9ca09989f035d944d100a0651c9be63f77a30de7d4bd1a613075ded57df6,96dd8a7b0a78e09c5232c214711aedafef02e2266a2a730e8ce5613ceeb49db1,a3cc5954616c8d22758a62c991da2ee3c975c27e11c4cab2e74c4f11e1fefef1,140315,0,abc11c46f02b5c8bce496f7aa697484522fd6692c9b404351ed879cdab2a30a7
25,13,13,14,2,0,4,5ec6bfc776e4dfc87a609f7f38e9168623b5357f38dbd87c6a65db41c2410b4c,907646bb7a94127208f9858f9d19a921cc7957e909dc8bcc1e5ff9e67e443d50,b7b9584ba0dde797b256f1f7451cf6f7c9fd44b43fca6987e056d6779506ba20,130707,0,f27cc0892f18116b3337a15817186c6a312a3e7dbce3b9a2a3627e8148d4f747
26,13,13,46,2,4,0,5ec6bfc776e4dfc87a609f7f38e9168623b5357f38dbd87c6a65db41c2410b4c,907646bb7a94127208f9858f9d19a921cc7957e909dc8bcc1e5ff9e67e443d50,b7b9584ba0dde797b256f1f7451cf6f7c9fd44b43fca6987e056d6779506ba20,130707,0,f7604c5304bc86fbbe8af536b9aab58f631d4bb502ac23ccc029d31e9a8621ad
27,14,14,15,2,0,5,bfb404c2c1fea3ff830eee50f4f986b46f5af28d09ddd3dcd6a5c9a5cc9c4550,06d9fdd7257a2b268eef384d32027bba38f1c067e530dce77892887e5173178d,104adf90fbfdbfbdd2436891e3a577d10309ea78d3a66eace983c23687bf16de,130800,0,30fa4d521e0b80a6437f5cfbece2e5cc180bb0ea4f4be167f4c1bc12b60e9cea
28,14,14,64,2,6,0,bfb404c2c1fea3ff830eee50f4f986b46f5af28d09ddd3dcd6a5c9a5cc9c4550,06d9fdd7257a2b268eef384d32027bba38f1c067e530dce77892887e5173178d,104adf90fbfdbfbdd2436891e3a577d10309ea78d3a66eace983c23687bf16de,130800,0,8c3432fee9d9b389e67a3a19f9318a8f6c390d78dea21dcb94233b5bca48e0d4
29,15,15,16,2,0,6,0929d013eae2ddc1817b47abb43c2801069b74d38edd51c9f33715138ba72b32,fefdf6ae208605a6f34b2bc7707d4b7570241c4e0b46d09a532a848ffe360776,66e372e88ee40c2a81125a6ab18138111e76d79361926c3721b456aa8608d126,131235,0,513ddebe69909bc8dcceb117ed0d5ad3531638dd55955e787f086b27cd1ef34e
30,15,15,55,2,5,0,0929d013eae2ddc1817b47abb43c2801069b74d38edd51c9f33715138ba72b32,fefdf6ae208605a6f34b2bc7707d4b7570241c4e0b46d09a532a848ffe360776,66e372e88ee40c2a81125a6ab18138111e76d79361926c3721b456aa8608d126,131235,0,8eadc2e0bb06f2f94428d914c3c01c45a3d8f102aad8f649d4c55ebb81bf8a7e
31,16,16,17,2,0,7,8fd5f3e0cf78b023f8b55a447e5a8edc6ef212d32749b02317d2927e64318f72,8c044cd20dbcdb54e51e4db1877ee96c63487ef5dc0b7103e331e59d6683c81b,1dd52b021c67505995b2ac20eff065bafa79f4f155adca7751d18a78c8320620,127102,0,accf46c5d21be497fd695a1c45a6a54dac074f0fa06c2096816b4f9830b975a3
32,16,16,82,2,8,0,8fd5f3e0cf78b023f8b55a447e5a8edc6ef212d32749b02317d2927e64318f72,8c044cd20dbcdb54e51e4db1877ee96c63487ef5dc0b7103e331e59d6683c81b,1dd52b021c67505995b2ac20eff065bafa79f4f155adca7751d18a78c8320620,127102,0,fba656f573d8b8ff30b91f29daba71444d39f068db55fdb0646d941a05c414db
33,17,17,18,2,0,8,c990ab04ced19cbcf46dd4964a519e15341efffc50d2f20db252f92a890dc790,f538dbdb741c8a26878e5b1e91bf667ec3fd3355e6dd14e22c403e4bb0d9f07e,ce0fefa5a00fc27be1aa4db3927071990afdf37a62b14aa8349de6bc5c1c32f8,127083,0,6f4d2d19f8dbf9609b4ebfed2137aa9ec81b358b429ad7879f9e7239090fad74
34,17,17,73,2,7,0,c990ab04ced19cbcf46dd4964a519e15341efffc50d2f20db252f92a890dc790,f538dbdb741c8a26878e5b1e91bf667ec3fd3355e6dd14e22c403e4bb0d9f07e,ce0fefa5a00fc27be1aa4db3927071990afdf37a62b14aa8349de6bc5c1c32f8,127083,0,98a7d8e4b03e78a53853eb1c4df925da3eedce135a6fa20f778148432b11ecb8
35,18,18,21,2,1,2,cfcd7e6e31773405afa90eb6c186d47dda119f4aa1c36dc69fc95e625545b1f3,ff0d41c8cbb969cc5f4c3959081bc5c5b640d0c7619805d89a7e2946c35f8da0,25e58a06cebea2de2335d61d982bf8056410312115cd8e5ad135a4b80572430d,132590,0,34922048b633a08136667a19318f0eb853dc9e7ed12fd15388a64bd20015ce4b
36,19,19,22,2,1,3,53e6588885e735911a47af6c30e40f05db7ab2d07c4e4bc5d15e11378ee92c4c,60623c990a0dce65c56611941575d7c40e981874a848c1179d6c21fea15bb02c,8bed144dd5241e86fffdb4c011eaa0e0252e5d23a01d6faaac30a9b2e136c8fd,142733,0,b756778e130d8a13f5c0731db6222e46442b09584243f5edbca4e0f77cba730e
37,20,20,23,2,1,4,75c3fdaa39a5928b6d70790a594ff062cf37d1cef1b8322e5e99b3e4511aa534,a1278a92200f67c6f49de16b8cc8391fc09576bac1562a5e29929f4624aa7317,2bf11f2a4fcee1deff0485020819142d847b4dd2bb01ef877bc6021bed93d1eb,131370,0,3739b55e08e668f17004c4b72f219175d0ca9612717c4f985598cdc6f7198338
38,20,20,47,2,4,1,75c3fdaa39a5928b6d70790a594ff062cf37d1cef1b8322e5e99b3e4511aa534,a1278a92200f67c6f49de16b8cc8391fc09576bac1562a5e29929f4624aa7317,2bf11f2a4fcee1deff0485020819142d847b4dd2bb01ef877bc6021bed93d1eb,131370,0,568b3f7d397051c169f648c0327ff9710477bc797944f5d01830059f59e8f142
39,21,21,24,2,1,5,ba6388aa47eaf7fc35d459dac7eebec3d7a0fa8ab45cb89a866b9de8b604f2eb,4657d396e58af13ca32523bb2cfd9c59206bbaac0e8a4cb694db88969e81fc1d,5efeaa29e96c452496404dbcc0231085fa1d4d73295963a6063bfe6d81b7dcdc,128897,0,a8e982edb88b926e902fd5bc615dbadb22ccf82d9f5a7add3f207a79d37e3949
40,21,21,74,2,7,1,ba6388aa47eaf7fc35d459dac7eebec3d7a0fa8ab45cb89a866b9de8b604f2eb,4657d396e58af13ca32523bb2cfd9c59206bbaac0e8a4cb694db88969e81fc1d,5efeaa29e96c452496404dbcc0231085fa1d4d73295963a6063bfe6d81b7dcdc,128897,0,f26ca04f2ac30d587f55b4ec3f28549a3d27bafd74113230d2f876dae436e4e8
41,22,22,25,2,1,6,13141560a5440efbe422d42d18675f95cda1a09f5c781ade82cba76ea9871b50,1a38dc3516c9d61f60dd92aea972a970d1807a092244f07f5ff436117ced4446,99d23305f7834d3c70c9ae14646b5d205c9b236da29aa18cef48f82f339497d6,132244,0,d7d6b369f5e92f0fd1adf1e79e93c927855e2f25d79f70653b8b2bcbb0a28d16
42,22,22,83,2,8,1,13141560a5440efbe422d42d18675f95cda1a09f5c781ade82cba76ea9871b50,1a38dc3516c9d61f60dd92aea972a970d1807a092244f07f5ff436117ced4446,99d23305f7834d3c70c9ae14646b5d205c9b236da29aa18cef48f82f339497d6,132244,0,0e9258b80114d414cc839b214da0bd6fb003d303f00515f22a7e61f8425f8876
43,23,23,26,2,1,7,c5aa2bfc7aa7b10fba128d105d655740acb1446d1a84eb58c819ca899dd0a9b5,98a01d3ae4c726a59bb4b58cceee279ce517dba04902e13b7e4ed87ed8ed1889,3c3b2602df10797bc3ae0701ef16837b76d8e115a4e3f0bc21b988e486e273f7,131799,0,3d0e6455b80d085821dbe8b9ec4a0120102bcb3e32aba4d3dda9fe2522bfee9f
44,23,23,56,2,5,1,c5aa2bfc7aa7b10fba128d105d655740acb1446d1a84eb58c819ca899dd0a9b5,98a01d3ae4c726a59bb4b58cceee279ce517dba04902e13b7e4ed87ed8ed1889,3c3b2602df10797bc3ae0701ef16837b76d8e115a4e3f0bc21b988e486e273f7,131799,0,95ca0fbf7de328c0e1df107c97135ac027a992f75dc6019b8aca8a48d253b6fd
45,24,24,27,2,1,8,31a84836f75d1e9e47001eef0837d6f76337c02ad66017ed101dd0029d3f2bd2,eecc146efbd14c495fcae51e2b65a55ea9da1434e5f49ac6b0400b85bb1d74a6,e79c33d8dbb11b527a36024cb362c98e95c2159bc1ebe65a7d0831bd8688625d,132252,0,b6ef287033226f3309c16911ea500cf5cd32f49b863d295bc9ec6fee19a4202f
46,24,24,65,2,6,1,31a84836f75d1e9e47001eef0837d6f76337c02ad66017ed101dd0029d3f2bd2,eecc146efbd14c495fcae51e2b65a55ea9da1434e5f49ac6b0400b85bb1d74a6,e79c33d8dbb11b527a36024cb362c98e95c2159bc1ebe65a7d0831bd8688625d,132252,0,9ba5bcbcd43de02ed84e1e3de9861bd778be9466cf642b364fc653dff4d0377a
47,25,25,29,2,2,1,b3668bd121c4102e897e415de1e367b30600c691042221f702c0c5277f02e4d0,faa52c8ebfc8c7944cb35ff2f3e8c0c8f04ff820ca8e86747b3d69c6c81aded3,52c7f79d8074dd9bf9cd57de50243b7b803e103e9c0fd33fd59f6697fb1f2ebd,131747,0,da1310729cfedcecd75228f596f898bef28e37ee20ba3e1a89e817548423d312
48,26,26,31,2,2,3,e5a7d4d2139cf9654a1a1e6fccb6dec2a3b813833393e3bc078eaae068a877ec,51824427791fdbf0a7909b0bf4888ede399eedda9e17c736d032ead9f09ad7f8,5bb7d2bb1ef0b623d24a9e5e4ab6b64435afc6a8e736df9d76d4bcb6ed0ea7e7,141740,0,e4e200a3f73cfdecf4e0fd2acef8bc592d6776e5e9bd716f098333c646d87508
