decode_id,encoded_transcript_id,public_row_present_flag,opening_count,selector_value_mod,selected_opening_id,selected_word_id,residual_class_code,challenge_selected_opening_id,challenge_residual_class_code,challenge_selector_value_mod,decode_match_flag,verifier_accept_flag
0,0,1,10,5,5,50,27,5,27,5,1,1
1,1,1,1,0,10,1,11,10,11,0,1,1
2,2,1,1,0,11,2,45,11,45,0,1,1
3,3,1,1,0,12,3,26,12,26,0,1,1
4,4,1,1,0,13,4,38,13,38,0,1,1
5,5,1,1,0,14,5,42,14,42,0,1,1
6,6,1,1,0,15,6,41,15,41,0,1,1
7,7,1,1,0,16,7,44,16,44,0,1,1
8,8,1,1,0,17,8,36,17,36,0,1,1
9,9,1,1,0,18,9,25,18,25,0,1,1
10,10,1,2,1,20,19,7,20,7,1,1,1
11,11,1,2,0,21,12,52,21,52,0,1,1
12,12,1,2,0,23,13,37,23,37,0,1,1
13,13,1,2,0,25,14,40,25,40,0,1,1
14,14,1,2,1,28,64,1,28,1,1,1,1
15,15,1,2,1,30,55,23,30,23,1,1,1
16,16,1,2,0,31,17,3,31,3,0,1,1
17,17,1,2,0,33,18,43,33,43,0,1,1
18,18,1,1,0,35,21,8,35,8,0,1,1
19,19,1,1,0,36,22,31,36,31,0,1,1
20,20,1,2,0,37,23,10,37,10,0,1,1
21,21,1,2,1,40,74,18,40,18,1,1,1
22,22,1,2,0,41,25,34,41,34,0,1,1
23,23,1,2,1,44,56,13,44,13,1,1,1
24,24,1,2,0,45,27,50,45,50,0,1,1
25,25,1,1,0,47,29,15,47,15,0,1,1
26,26,1,2,1,49,37,17,49,17,1,1,1
27,27,1,2,0,50,32,21,50,21,0,1,1
28,28,1,1,0,52,33,29,52,29,0,1,1
29,29,1,1,0,53,34,12,53,12,0,1,1
30,30,1,1,0,54,35,2,54,2,0,1,1
31,31,1,1,0,55,36,24,55,24,0,1,1
32,32,1,1,0,56,38,47,56,47,0,1,1
33,33,1,1,0,57,41,54,57,54,0,1,1
34,34,1,2,0,58,42,55,58,55,0,1,1
35,35,1,1,0,60,43,22,60,22,0,1,1
36,36,1,1,0,61,44,51,61,51,0,1,1
37,37,1,1,0,62,45,48,62,48,0,1,1
38,38,1,1,0,63,49,33,63,33,0,1,1
39,39,1,2,1,65,59,32,65,32,1,1,1
40,40,1,2,0,66,52,30,66,30,0,1,1
41,41,1,2,0,68,53,6,68,6,0,1,1
42,42,1,2,0,70,54,9,70,9,0,1,1
43,43,1,1,0,72,57,46,72,46,0,1,1
44,44,1,2,0,73,61,53,73,53,0,1,1
45,45,1,2,1,76,78,4,76,4,1,1,1
46,46,1,2,0,77,63,16,77,16,0,1,1
47,47,1,1,0,79,66,14,79,14,0,1,1
48,48,1,1,0,80,67,35,80,35,0,1,1
49,49,1,2,1,82,79,0,82,0,1,1,1
50,50,1,2,0,83,72,5,83,5,0,1,1
51,51,1,1,0,85,75,19,85,19,0,1,1
52,52,1,1,0,86,76,49,86,49,0,1,1
53,53,1,2,1,88,89,20,88,20,1,1,1
54,54,1,1,0,89,84,28,89,28,0,1,1
55,55,1,1,0,90,85,39,90,39,0,1,1
