candidate_id,fixed_target_row,changed_unit_column,changed_unit_relation,appended_column,appended_relation,appended_target_row,unit_repaired_base_rank,repaired_projection_rank,kernel_dimension,quotient_residual_total,unit_residual_total,product_residual_total,product_residual_min,product_residual_max,product_preserved_generator_count
0,0,8,163,56,151,6,32,33,27,0,0,1009706,79106,147893,0
1,0,8,163,57,152,6,32,33,27,0,0,1009807,79083,148110,0
2,0,8,163,58,153,6,32,33,27,0,0,1009765,79074,148097,0
3,0,8,163,59,154,6,32,33,27,0,0,1010119,79102,147980,0
4,0,14,893,56,151,10,32,33,27,0,0,1014453,75123,152528,0
5,0,14,893,57,152,10,32,33,27,0,0,1013157,75143,152475,0
6,0,14,893,58,153,10,32,33,27,0,0,1013196,75164,152434,0
7,0,14,893,59,154,10,32,33,27,0,0,1014448,75107,152365,0
8,1,8,163,56,151,6,32,33,27,0,0,958973,82435,134774,0
9,1,8,163,57,152,6,32,33,27,0,0,958540,82435,134758,0
10,1,8,163,58,153,6,32,33,27,0,0,958530,82435,134753,0
11,1,8,163,59,154,6,32,33,27,0,0,959055,82435,134866,0
12,1,14,893,56,151,10,32,33,27,0,0,970988,82377,133625,0
13,1,14,893,57,152,10,32,33,27,0,0,970239,82323,133346,0
14,1,14,893,58,153,10,32,33,27,0,0,970327,82344,133441,0
15,1,14,893,59,154,10,32,33,27,0,0,971138,82289,133939,0
16,17,8,163,56,151,6,32,33,27,0,0,1000274,82390,138983,0
17,17,8,163,57,152,6,32,33,27,0,0,999694,82390,138920,0
18,17,8,163,58,153,6,32,33,27,0,0,999672,82390,138906,0
19,17,8,163,59,154,6,32,33,27,0,0,1000251,82390,139001,0
20,17,14,893,56,151,10,32,33,27,0,0,1012621,82925,138763,0
21,17,14,893,57,152,10,32,33,27,0,0,1011906,82871,138446,0
22,17,14,893,58,153,10,32,33,27,0,0,1011989,82892,138467,0
23,17,14,893,59,154,10,32,33,27,0,0,1012847,82837,138671,0
