complement_vector_id,free_support_column,support_mask,support_weight,signed_l1,kernel_residual_nonzero_count
0,1,2,1,1,0
1,3,8,1,1,0
2,4,16,1,1,0
3,5,32,1,1,0
4,6,64,1,1,0
5,7,128,1,1,0
6,8,256,1,1,0
7,9,516,2,2,0
8,10,1025,2,2,0
9,11,2048,1,1,0
10,13,12288,2,2,0
11,14,16384,1,1,0
12,18,266240,2,3,0
13,22,4231168,3,1000003,0
14,24,16781312,2,2,0
15,25,33554432,1,1,0
16,26,67108864,1,1,0
17,27,143724544,5,6,0
18,35,38654742528,4,1000003,0
19,40,1099780718592,4,4,0
20,42,4398048612352,3,3,0
21,43,8796629897216,3,4,0
22,44,17596481048576,4,5,0
23,45,35391604264960,5,6,0
24,46,70643622084608,2,2,0
25,47,140741783359488,4,6,0
26,48,282050502328320,4,4,0
27,49,562956395909120,5,7,0
28,50,1125904201846784,4,1000004,0
29,51,2251804108652544,2,2,0
30,52,4505802945630208,5,7,0
31,54,27021597764255744,3,3,0
32,55,36028797019000832,3,1000003,0
