row_id,source_edge_id,h6_column_id,w24_coordinate,mog_row,f4_value,support_flag,target_octad_flag,pair_family_code,pair_choice_position,compatible_record_id
0,0,0,0,0,0,1,1,0,0,0
1,3,0,6,1,1,1,1,0,0,0
2,4,1,1,0,0,0,0,0,0,0
3,6,4,4,0,0,0,0,0,1,0
4,7,1,7,1,1,0,0,0,0,0
5,8,5,5,0,0,0,0,0,1,0
6,9,1,13,2,2,0,0,0,0,0
7,10,3,3,0,0,0,0,0,1,0
8,12,2,2,0,0,1,1,0,1,0
9,13,2,8,1,1,1,1,0,0,0
10,14,0,12,2,2,1,1,0,0,0
11,15,5,11,1,1,0,0,0,1,0
12,16,0,18,3,3,1,1,0,0,0
13,17,3,9,1,1,0,0,0,0,0
14,18,5,17,2,2,0,0,0,1,0
15,19,4,10,1,1,0,0,0,0,0
16,20,2,14,2,2,1,1,0,1,0
17,23,4,16,2,2,0,0,0,1,0
18,24,2,20,3,3,1,1,0,0,0
19,25,3,15,2,2,0,0,0,0,0
20,26,1,19,3,3,0,0,0,0,0
21,27,3,21,3,3,0,0,0,1,0
22,28,5,23,3,3,0,0,0,1,0
23,29,4,22,3,3,0,0,0,0,0
