candidate_id,pad_component_mask,pad_component_count,quotient_length,active_component_count,quotient_rank,min_nonzero_weight,forbidden_weight_class_count,forbidden_word_count,w24_subcode_possible_flag
0,7,3,24,21,4,2,5,12,0
1,11,3,24,21,4,2,5,12,0
2,19,3,24,21,4,2,5,12,0
3,35,3,24,21,4,2,5,12,0
4,67,3,24,21,4,2,5,12,0
5,131,3,24,21,4,2,5,12,0
6,259,3,24,21,4,2,5,12,0
7,515,3,24,21,4,2,5,12,0
8,4099,3,24,21,4,2,5,12,0
9,32771,3,24,21,4,2,5,12,0
10,1048579,3,24,21,4,2,5,12,0
11,2097155,3,24,21,4,2,5,12,0
12,67108867,3,24,21,4,2,5,12,0
13,268435459,3,24,21,4,2,5,12,0
14,13,3,24,21,4,2,5,12,0
15,21,3,24,21,4,2,5,12,0
16,37,3,24,21,4,2,5,12,0
17,69,3,24,21,4,2,5,12,0
18,133,3,24,21,4,2,5,12,0
19,261,3,24,21,4,2,5,12,0
20,517,3,24,21,4,2,5,12,0
21,4101,3,24,21,4,2,5,12,0
22,32773,3,24,21,4,2,5,12,0
23,1048581,3,24,21,4,2,5,12,0
24,2097157,3,24,21,4,2,5,12,0
25,67108869,3,24,21,4,2,5,12,0
26,268435461,3,24,21,4,2,5,12,0
27,25,3,24,21,4,2,5,12,0
28,41,3,24,21,4,2,5,12,0
29,73,3,24,21,4,2,5,12,0
30,137,3,24,21,4,2,5,12,0
31,265,3,24,21,4,2,5,12,0
32,521,3,24,21,4,2,5,12,0
33,4105,3,24,21,4,2,5,12,0
34,32777,3,24,21,4,2,5,12,0
35,1048585,3,24,21,4,2,5,12,0
36,2097161,3,24,21,4,2,5,12,0
37,67108873,3,24,21,4,2,5,12,0
38,268435465,3,24,21,4,2,5,12,0
39,49,3,24,21,4,2,5,12,0
40,81,3,24,21,4,2,5,12,0
41,145,3,24,21,4,2,5,12,0
42,273,3,24,21,4,2,5,12,0
43,529,3,24,21,4,2,5,12,0
44,4113,3,24,21,4,2,5,12,0
45,32785,3,24,21,4,2,5,12,0
46,1048593,3,24,21,4,2,5,12,0
47,2097169,3,24,21,4,2,5,12,0
48,67108881,3,24,21,4,2,5,12,0
49,268435473,3,24,21,4,2,5,12,0
50,97,3,24,21,4,2,5,12,0
51,161,3,24,21,4,2,5,12,0
52,289,3,24,21,4,2,5,12,0
