class_id,representative_word_id,class_size,word_length_min,word_length_max,product_residual_nonzero_count,product_preserved_flag,product_preserved_member_count,defective_member_count,mixed_product_flag,closing_rewrite_exists_flag,lift_fingerprint_code,target_fingerprint_code,residual_fingerprint_code
0,0,10,0,2,0,1,10,0,0,0,34,5,27
1,1,1,1,1,131728,0,0,1,0,0,0,38,11
2,2,1,1,1,133589,0,0,1,0,0,10,46,45
3,3,1,1,1,118961,0,0,1,0,0,13,43,26
4,4,1,1,1,134753,0,0,1,0,0,28,40,38
5,5,1,1,1,85749,0,0,1,0,0,54,47,42
6,6,1,1,1,84820,0,0,1,0,0,23,44,41
7,7,1,1,1,83676,0,0,1,0,0,39,42,44
8,8,1,1,1,102819,0,0,1,0,0,22,9,36
9,9,1,1,1,82435,0,0,1,0,0,2,24,25
10,11,2,2,2,134207,0,0,2,0,0,15,27,7
11,12,2,2,2,117693,0,0,2,0,0,8,15,52
12,13,2,2,2,140315,0,0,2,0,0,30,34,37
13,14,2,2,2,130707,0,0,2,0,0,20,31,40
14,15,2,2,2,130800,0,0,2,0,0,44,1,1
15,16,2,2,2,131235,0,0,2,0,0,4,54,23
16,17,2,2,2,127102,0,0,2,0,0,32,29,3
17,18,2,2,2,127083,0,0,2,0,0,49,51,43
18,21,1,2,2,132590,0,0,1,0,0,50,55,8
19,22,1,2,2,142733,0,0,1,0,0,19,23,31
20,23,2,2,2,131370,0,0,2,0,0,25,37,10
21,24,2,2,2,128897,0,0,2,0,0,42,18,18
22,25,2,2,2,132244,0,0,2,0,0,7,8,34
23,26,2,2,2,131799,0,0,2,0,0,48,35,13
24,27,2,2,2,132252,0,0,2,0,0,12,50,50
25,29,1,2,2,131747,0,0,1,0,0,40,52,15
26,31,2,2,2,141740,0,0,2,0,0,53,21,17
27,32,2,2,2,131113,0,0,2,0,0,31,48,21
28,33,1,2,2,122597,0,0,1,0,0,3,13,29
29,34,1,2,2,117470,0,0,1,0,0,17,17,12
30,35,1,2,2,113483,0,0,1,0,0,41,16,2
31,36,1,2,2,117846,0,0,1,0,0,55,53,24
32,38,1,2,2,142021,0,0,1,0,0,29,33,47
33,41,1,2,2,135882,0,0,1,0,0,21,25,54
34,42,2,2,2,135828,0,0,2,0,0,11,22,55
35,43,1,2,2,137383,0,0,1,0,0,5,14,22
36,44,1,2,2,141268,0,0,1,0,0,45,12,51
37,45,1,2,2,141602,0,0,1,0,0,16,36,48
38,49,1,2,2,135438,0,0,1,0,0,37,19,33
39,51,2,2,2,68040,0,0,2,0,0,35,6,32
40,52,2,2,2,93349,0,0,2,0,0,46,28,30
41,53,2,2,2,92310,0,0,2,0,0,47,39,6
42,54,2,2,2,96042,0,0,2,0,0,43,45,9
43,57,1,2,2,126900,0,0,1,0,0,27,41,46
44,61,2,2,2,98780,0,0,2,0,0,1,2,53
45,62,2,2,2,96119,0,0,2,0,0,9,20,4
46,63,2,2,2,86656,0,0,2,0,0,38,26,16
47,66,1,2,2,114133,0,0,1,0,0,14,3,14
48,67,1,2,2,137738,0,0,1,0,0,52,4,35
49,71,2,2,2,103158,0,0,2,0,0,36,10,0
50,72,2,2,2,102178,0,0,2,0,0,18,11,5
51,75,1,2,2,122108,0,0,1,0,0,6,49,19
52,76,1,2,2,141465,0,0,1,0,0,33,0,49
53,81,2,2,2,94463,0,0,2,0,0,51,32,20
54,84,1,2,2,117470,0,0,1,0,0,24,30,28
55,85,1,2,2,141210,0,0,1,0,0,26,7,39
