coordinate,canonical_role_code,syzygy_index,mog_row,mog_column,row_f4_value,euler_flag,syzygy_flag
0,0,-1,0,0,0,1,0
1,1,0,0,1,0,0,1
2,1,1,0,2,0,0,1
3,1,2,0,3,0,0,1
4,1,3,0,4,0,0,1
5,1,4,0,5,0,0,1
6,1,5,1,0,1,0,1
7,1,6,1,1,1,0,1
8,1,7,1,2,1,0,1
9,1,8,1,3,1,0,1
10,1,9,1,4,1,0,1
11,1,10,1,5,1,0,1
12,1,11,2,0,2,0,1
13,1,12,2,1,2,0,1
14,1,13,2,2,2,0,1
15,1,14,2,3,2,0,1
16,1,15,2,4,2,0,1
17,1,16,2,5,2,0,1
18,1,17,3,0,3,0,1
19,1,18,3,1,3,0,1
20,1,19,3,2,3,0,1
21,1,20,3,3,3,0,1
22,1,21,3,4,3,0,1
23,1,22,3,5,3,0,1
