k23_basis_row_id,original_target_mask,original_source_mask,extension_source_mask,extension_source_weight,fixed_original_nonzero_flag,added_extension_flag,source_endpoint_member_flag,extension_target_mask,target_w24_member_flag
0,4095,204095,204095,12,1,0,1,4095,1
1,0,0,255,8,0,1,1,8521759,1
2,61833,14945289,14945289,8,1,0,1,61833,1
3,0,0,3945,8,0,1,1,8456617,1
4,0,0,13071,8,0,1,1,4260911,1
5,0,0,21845,8,0,1,1,8652085,1
6,0,0,38451,8,0,1,1,2166035,1
7,0,0,333604,8,0,1,1,102180,1
8,0,0,591182,8,0,1,1,8913710,1
9,0,0,1119352,8,0,1,1,9441048,1
10,0,0,2164253,8,0,1,1,70429,1
11,0,0,4260666,8,0,1,1,76346,1
12,0,0,0,0,0,0,1,0,1
13,0,0,0,0,0,0,1,0,1
14,0,0,0,0,0,0,1,0,1
15,0,0,0,0,0,0,1,0,1
16,0,0,0,0,0,0,1,0,1
17,0,0,0,0,0,0,1,0,1
18,0,0,0,0,0,0,1,0,1
19,0,0,0,0,0,0,1,0,1
20,0,0,0,0,0,0,1,0,1
21,0,0,0,0,0,0,1,0,1
22,0,0,0,0,0,0,1,0,1
