k23_basis_row_id,target_frame_mask,reconstructed_frame_mask,target_euler_value,reconstructed_euler_value,residual_nonzero_count,residual_mod_sum
0,2,2,0,0,0,0
1,4,4,0,0,0,0
2,8,8,0,0,0,0
3,16,16,0,0,0,0
4,32,32,0,0,0,0
5,64,64,0,0,0,0
6,128,128,0,0,0,0
7,256,256,0,0,0,0
8,512,512,0,0,0,0
9,1024,1024,0,0,0,0
10,2048,2048,0,0,0,0
11,4096,4096,0,0,0,0
12,8192,8192,0,0,0,0
13,16384,16384,0,0,0,0
14,32768,32768,0,0,0,0
15,65536,65536,0,0,0,0
16,131072,131072,0,0,0,0
17,262144,262144,0,0,0,0
18,524288,524288,0,0,0,0
19,1048576,1048576,0,0,0,0
20,2097152,2097152,0,0,0,0
21,4194304,4194304,0,0,0,0
22,8388608,8388608,0,0,0,0
