edge_id,component_id,left_basis_id,right_basis_id,source0_boundary_count,source1_boundary_count,boundary_count
0,0,1,5,1,0,1
1,0,1,20,43,0,43
2,0,1,32,0,120,120
3,0,5,14,1,0,1
4,0,5,20,0,8,8
5,0,14,20,0,9,9
6,0,14,21,1,0,1
7,0,19,30,18,0,18
8,0,19,31,2,0,2
9,0,19,32,0,138,138
10,0,20,21,0,1,1
11,0,20,32,0,18,18
12,0,20,33,40,0,40
13,0,20,34,1,0,1
14,0,20,35,2,0,2
15,0,21,36,1,0,1
16,0,30,31,0,1,1
17,0,30,59,18,0,18
18,0,31,32,0,1,1
19,0,31,59,2,0,2
20,0,32,33,0,1,1
21,0,33,34,0,1,1
22,0,33,44,40,0,40
23,0,34,35,0,1,1
24,0,34,44,1,0,1
25,0,35,36,0,1,1
26,0,35,44,2,0,2
27,0,36,44,1,0,1
28,0,44,47,1,0,1
29,0,44,50,43,0,43
30,0,47,50,0,1,1
31,0,47,54,1,0,1
32,0,50,54,0,5,5
33,0,50,60,42,0,42
34,0,50,72,1,0,1
35,0,54,61,1,0,1
36,0,54,72,0,1,1
37,0,59,66,18,0,18
38,0,59,67,2,0,2
39,0,60,70,41,0,41
40,0,60,71,1,0,1
41,0,60,72,0,4,4
42,0,61,72,0,3,3
43,0,61,73,1,0,1
44,2,63,83,733,0,733
45,0,66,67,0,1,1
46,0,70,71,0,1,1
47,0,70,89,41,0,41
48,0,71,72,0,1,1
49,0,71,89,1,0,1
50,0,72,73,0,1,1
51,0,72,89,1,0,1
52,0,73,89,1,0,1
53,2,83,126,733,0,733
54,0,89,103,44,0,44
55,0,103,121,43,0,43
56,0,103,122,1,0,1
57,0,121,122,0,19,19
58,0,121,136,36,0,36
59,0,121,137,7,0,7
60,0,122,138,1,0,1
61,2,126,148,733,0,733
62,0,136,137,0,1,1
63,0,137,138,0,1,1
64,2,146,148,0,163,163
65,2,146,149,1,0,1
66,2,146,158,0,163,163
67,2,146,171,19,0,19
68,2,148,152,728,0,728
69,2,148,170,5,0,5
70,2,148,171,0,3,3
71,2,149,153,1,0,1
72,2,149,158,0,3,3
73,2,149,171,0,3,3
74,2,152,169,727,0,727
75,2,152,170,1,2,3
76,2,153,157,1,0,1
77,2,153,158,0,2,2
78,2,153,171,0,2,2
79,2,157,158,0,1,1
80,2,157,171,0,1,1
81,2,157,172,1,0,1
82,2,158,173,19,0,19
83,2,158,174,1,0,1
84,2,169,170,0,2,2
85,2,169,190,727,0,727
86,2,170,171,0,4,4
87,2,170,190,6,0,6
88,2,171,172,0,1,1
89,2,172,173,0,1,1
90,2,173,174,0,1,1
