owner_rank,basis_id,component_id,weak_class_code,support_occurrence_count,mult_occurrence_count,owner_cell_count,internal_graph_degree,internal_weighted_degree,external_weighted_degree,ambient_graph_degree,ambient_weighted_degree
0,1,0,11,403459488,2043445248,5280,3,164,120,5,284
1,5,0,11,942176,8994816,8,3,10,8,4,18
2,7,1,11,1601231360,9154068480,96023,0,0,864,4,864
3,14,0,11,1166288,11280384,9,3,11,9,5,20
4,19,0,11,622076928,4287725568,2760,3,158,138,6,296
5,20,0,11,552532592,2807820288,774,8,122,0,8,122
6,21,0,11,111360,1290240,1,3,3,1,4,4
7,30,0,11,18489088,126787584,18,3,37,1,4,38
8,31,0,11,2053376,11526144,2,4,6,0,4,6
9,32,0,11,551981056,1911029760,8896,5,278,64,6,342
10,33,0,11,25541104,144285696,40,4,82,0,4,82
11,34,0,11,791184,2875392,1,4,4,0,4,4
12,35,0,11,1392512,7741440,2,4,6,0,4,6
13,36,0,11,71424,2285568,1,3,3,1,4,4
14,44,0,11,13442304,283115520,2860,6,88,130,9,218
15,47,0,11,2352,147456,1,3,3,1,4,4
16,50,0,11,10138448,205996032,258,5,92,6,6,98
17,54,0,11,132352,1769472,6,4,8,6,5,14
18,59,0,11,38928000,585105408,1500,4,40,150,8,190
19,60,0,11,3519488,91422720,168,4,88,4,6,92
20,61,0,11,10752,442368,3,3,5,3,4,8
21,63,2,11,1037805440,11871977472,55708,1,733,809,5,1542
22,66,0,11,1067808,17301504,18,2,19,19,4,38
23,67,0,11,117600,1572864,2,2,3,3,4,6
24,70,0,11,396704,17842176,41,3,83,1,4,84
25,71,0,11,8624,442368,1,4,4,0,4,4
26,72,0,11,59136,2654208,5,7,12,0,7,12
27,73,0,11,2352,147456,1,3,3,1,4,4
28,83,2,11,2030531328,12697731072,55708,2,1466,76,3,1542
29,89,0,11,404059648,1358954496,3344,5,88,152,8,240
30,103,0,11,391123456,1019215872,9680,3,88,440,8,528
31,121,0,11,126620000,323039232,817,4,105,19,6,124
32,122,0,11,405344,2543616,19,3,21,19,4,40
33,126,2,11,4271578880,15373172736,175920,2,1466,240,5,1706
34,136,0,11,4011984,11722752,36,2,37,37,4,74
35,137,0,11,754128,2322432,7,3,9,7,4,16
36,138,0,11,15264,110592,1,2,2,2,4,4
37,146,2,11,23307296,385744896,3260,4,346,20,8,366
38,148,2,11,890378544,8953528320,121678,5,1632,0,5,1632
39,149,2,11,20384,995328,3,4,8,0,4,8
40,152,2,11,2517600,35831808,1456,3,1458,0,3,1458
41,153,2,11,29792,663552,2,4,6,0,4,6
42,157,2,11,3136,331776,1,4,4,0,4,4
43,158,2,11,74121408,898891776,3380,6,189,189,11,378
44,169,2,11,1372136,23003136,1454,3,1456,0,3,1456
45,170,2,11,839496,11943936,22,5,20,0,5,20
46,171,2,11,4349552,65138688,133,7,33,19,8,52
47,172,2,11,2352,110592,1,3,3,1,4,4
48,173,2,11,868584,6782976,19,3,21,19,4,40
49,174,2,11,33624,294912,1,2,2,2,4,4
50,190,2,12,3146764032,13381926912,197910,2,733,1003,5,1736
