fiber_id,sample_count,sum_value,count_component0,count_component1,count_component2,weight_digits,weight_mod_1000000007,weight_mod_1000000009,base_witness_match_flag,lift_extension_flag
0,1,0,1,0,0,2,12,12,1,0
1,1,1,0,1,0,2,18,18,1,0
2,1,2,0,0,1,2,48,48,1,0
3,2,0,2,0,0,3,144,144,1,0
4,2,1,1,1,0,3,216,216,1,0
5,2,2,0,2,0,3,324,324,1,0
6,2,3,0,1,1,3,864,864,1,0
7,2,4,0,0,2,4,2304,2304,1,0
8,3,0,3,0,0,4,1728,1728,1,0
9,3,1,2,1,0,4,2592,2592,1,0
10,3,2,1,2,0,4,3888,3888,1,0
11,3,3,0,3,0,4,5832,5832,1,0
12,3,4,0,2,1,5,15552,15552,1,0
13,3,5,0,1,2,5,41472,41472,1,0
14,3,6,0,0,3,6,110592,110592,1,0
15,4,0,4,0,0,5,20736,20736,1,0
16,4,1,3,1,0,5,31104,31104,1,0
17,4,2,2,2,0,5,46656,46656,1,0
18,4,3,1,3,0,5,69984,69984,1,0
19,4,4,0,4,0,6,104976,104976,1,0
20,4,5,0,3,1,6,279936,279936,1,0
21,4,6,0,2,2,6,746496,746496,1,0
22,4,7,0,1,3,7,1990656,1990656,1,0
23,4,8,0,0,4,7,5308416,5308416,1,0
24,5,0,5,0,0,6,248832,248832,1,0
25,5,1,4,1,0,6,373248,373248,1,0
26,5,2,3,2,0,6,559872,559872,1,0
27,5,3,2,3,0,6,839808,839808,1,0
28,5,4,1,4,0,7,1259712,1259712,1,0
29,5,5,0,5,0,7,1889568,1889568,1,0
30,5,6,0,4,1,7,5038848,5038848,1,0
31,5,7,0,3,2,8,13436928,13436928,1,0
32,5,8,0,2,3,8,35831808,35831808,1,0
33,5,9,0,1,4,8,95551488,95551488,1,0
34,5,10,0,0,5,9,254803968,254803968,1,0
35,6,0,6,0,0,7,2985984,2985984,1,0
36,6,1,5,1,0,7,4478976,4478976,1,0
37,6,2,4,2,0,7,6718464,6718464,1,0
38,6,3,3,3,0,8,10077696,10077696,1,0
39,6,4,2,4,0,8,15116544,15116544,1,0
40,6,5,1,5,0,8,22674816,22674816,1,0
41,6,6,0,6,0,8,34012224,34012224,1,0
42,6,7,0,5,1,8,90699264,90699264,1,0
43,6,8,0,4,2,9,241864704,241864704,1,0
44,6,9,0,3,3,9,644972544,644972544,1,0
45,6,10,0,2,4,10,719926777,719926775,1,0
46,6,11,0,1,5,10,586471396,586471388,1,0
47,6,12,0,0,6,11,230590380,230590356,1,0
48,7,0,7,0,0,8,35831808,35831808,1,0
49,7,1,6,1,0,8,53747712,53747712,1,0
50,7,2,5,2,0,8,80621568,80621568,1,0
51,7,3,4,3,0,9,120932352,120932352,1,0
52,7,4,3,4,0,9,181398528,181398528,1,0
53,7,5,2,5,0,9,272097792,272097792,1,0
54,7,6,1,6,0,9,408146688,408146688,1,0
55,7,7,0,7,0,9,612220032,612220032,1,0
56,7,8,0,6,1,10,632586745,632586743,1,0
57,7,9,0,5,2,10,353564644,353564636,1,0
58,7,10,0,4,3,11,609505715,609505693,1,0
59,7,11,0,3,4,11,958681902,958681842,1,0
60,7,12,0,2,5,11,556485058,556484894,1,0
61,7,13,0,1,6,12,150626812,150626372,1,0
62,7,14,0,0,7,12,68338163,68336989,1,0
63,8,0,8,0,0,9,429981696,429981696,1,0
64,8,1,7,1,0,9,644972544,644972544,1,0
65,8,2,6,2,0,9,967458816,967458816,1,0
66,8,3,5,3,0,10,451188217,451188215,1,0
67,8,4,4,4,0,10,176782322,176782318,1,0
68,8,5,3,5,0,10,265173483,265173477,1,0
69,8,6,2,6,0,10,897760228,897760220,1,0
70,8,7,1,7,0,10,346640335,346640321,1,0
71,8,8,0,8,0,11,19960499,19960477,1,0
72,8,9,0,7,1,11,386561333,386561275,1,0
73,8,10,0,6,2,11,364163550,364163394,1,0
74,8,11,0,5,3,12,971102800,971102384,1,0
75,8,12,0,4,4,12,256274117,256273003,1,0
76,8,13,0,3,5,13,16730974,16728002,1,0
77,8,14,0,2,6,13,711282602,711274678,1,0
78,8,15,0,1,7,14,230086927,230065793,1,0
79,8,16,0,0,8,14,280231803,280175445,1,0
80,9,0,9,0,0,10,159780317,159780307,1,0
81,9,1,8,1,0,10,739670479,739670465,1,0
82,9,2,7,2,0,11,609505715,609505693,1,0
83,9,3,6,3,0,11,414258569,414258535,1,0
84,9,4,5,4,0,11,121387850,121387798,1,0
85,9,5,4,5,0,11,182081775,182081697,1,0
86,9,6,3,6,0,11,773122666,773122550,1,0
87,9,7,2,7,0,11,159683992,159683816,1,0
88,9,8,1,8,0,12,239525988,239525724,1,0
89,9,9,0,9,0,12,359288982,359288586,1,0
90,9,10,0,8,1,12,958103952,958102896,1,0
91,9,11,0,7,2,13,554943858,554941038,1,0
92,9,12,0,6,3,13,479850281,479842759,1,0
93,9,13,0,5,4,14,612934078,612914018,1,0
94,9,14,0,4,5,14,301157532,301104036,1,0
95,9,15,0,3,6,14,803086752,802944096,1,0
96,9,16,0,2,7,15,141564658,141184238,1,0
97,9,17,0,1,8,15,44172419,43157965,1,0
98,9,18,0,0,9,16,451126453,448421243,1,0
99,10,0,10,0,0,11,917363797,917363675,1,0
100,10,1,9,1,0,11,876045692,876045508,1,0
101,10,2,8,2,0,12,314068531,314068253,1,0
102,10,3,7,3,0,12,971102800,971102384,1,0
103,10,4,6,4,0,12,456654193,456653567,1,0
104,10,5,5,5,0,12,184981286,184980346,1,0
105,10,6,4,6,0,12,277471929,277470519,1,0
106,10,7,3,7,0,13,916207897,916205783,1,0
107,10,8,2,8,0,13,874311842,874308670,1,0
108,10,9,1,9,0,13,311467756,311462996,1,0
109,10,10,0,10,0,13,467201634,467194494,1,0
110,10,11,0,9,1,13,245871017,245851975,1,0
111,10,12,0,8,2,14,988989381,988938603,1,0
112,10,13,0,7,3,14,637305002,637169590,1,0
113,10,14,0,6,4,15,32813327,32452225,1,0
114,10,15,0,5,5,15,420835541,419872603,1,0
115,10,16,0,4,6,16,455561438,452993602,1,0
116,10,17,0,3,7,16,548163830,541316266,1,0
117,10,18,0,2,8,16,795103542,776843370,1,0
118,10,19,0,1,9,17,120276098,71582302,1,0
119,10,20,0,0,10,17,654069597,524219475,1,0
