sample_count,state_count,drift_positive_count,drift_negative_count,drift_zero_count,rowwise_nonnegative_flag,eventual_cone_flag,base_level_flag,lift_extension_flag,variance_shrink_flag,negative_mass_num_digits,negative_mass_den_digits,negative_mass_num_mod_1000000007,negative_mass_den_mod_1000000007,negative_mass_num_mod_1000000009,negative_mass_den_mod_1000000009,mean_drift_num_digits,mean_drift_den_digits,mean_drift_num_mod_1000000007,mean_drift_den_mod_1000000007,mean_drift_num_mod_1000000009,mean_drift_den_mod_1000000009,variance_num_digits,variance_den_digits,variance_num_mod_1000000007,variance_den_mod_1000000007,variance_num_mod_1000000009,variance_den_mod_1000000009,variance_shrink_gap_num_digits,variance_shrink_gap_den_digits,variance_shrink_gap_num_mod_1000000007,variance_shrink_gap_den_mod_1000000007,variance_shrink_gap_num_mod_1000000009,variance_shrink_gap_den_mod_1000000009,min_drift_num_digits,min_drift_den_digits,min_drift_num_mod_1000000007,min_drift_den_mod_1000000007,min_drift_num_mod_1000000009,min_drift_den_mod_1000000009,max_drift_num_digits,max_drift_den_digits,max_drift_num_mod_1000000007,max_drift_den_mod_1000000007,max_drift_num_mod_1000000009,max_drift_den_mod_1000000009
1,3,2,1,0,0,0,1,0,1,1,2,8,13,8,13,3,4,255,1391,255,1391,2,3,94,169,94,169,7,7,1031097,3869762,1031097,3869762,1,3,1000000004,214,1000000006,214,3,3,123,214,123,214
2,5,4,0,1,1,1,1,0,1,1,1,0,1,0,1,5,5,10665,89987,10665,89987,4,5,6635,22898,6635,22898,10,11,534682163,585960678,534682151,585960582,1,1,0,1,0,1,4,4,1387,2523,1387,2523
3,7,6,0,1,1,1,1,0,1,1,1,0,1,0,1,6,8,772869,11160070,772869,11160070,6,7,329450,2121843,329450,2121843,14,15,371748134,969198426,371642112,967703862,1,1,0,1,0,1,5,5,25991,53080,25991,53080
4,9,8,0,1,1,1,1,0,1,1,1,0,1,0,1,8,9,28013451,699395350,28013451,699395350,8,9,29698823,352185800,29698823,352185800,17,18,278476832,355091072,208781182,398475682,1,1,0,1,0,1,5,6,67528,158115,67528,158115
5,11,10,0,1,1,1,1,0,1,1,1,0,1,0,1,10,12,703219559,765617805,703219555,765617585,10,11,382452553,445425142,382452547,445425004,22,23,177422462,378942145,430714431,114198167,1,1,0,1,0,1,9,9,172505921,453948840,172505921,453948840
6,13,12,0,1,1,1,1,0,1,1,1,0,1,0,1,12,13,816587915,844991829,816587599,844972069,11,13,574109421,28538554,574109357,28536434,25,27,855613853,472121634,988136120,786043861,1,1,0,1,0,1,9,10,907687295,538836230,907687295,538836226
7,15,14,0,1,1,1,1,0,1,1,1,0,1,0,1,14,16,757368628,235252288,757311002,230202408,14,15,386196830,977085758,386173470,975980532,29,32,943722655,243658949,234160295,344120264,1,1,0,1,0,1,9,10,544084579,674249689,544084579,674249687
8,17,16,0,1,1,1,1,0,1,1,1,0,1,0,1,15,17,34502036,118304662,34105274,72167202,15,17,7308571,125653421,6589779,79506755,33,35,613463101,459963843,304135072,872336395,1,1,0,1,0,1,11,12,978145854,761198428,978145732,761198012
9,19,18,0,1,1,1,1,0,1,1,1,0,1,0,1,16,18,577104660,144784051,572110610,406788508,17,19,847782780,578496052,817730680,87570244,35,38,309817202,853086062,163686759,924997622,1,1,0,1,0,1,12,13,151062999,512929135,151061987,512925425
10,21,20,0,1,1,1,1,0,1,1,1,0,1,0,1,19,21,823963379,191394293,970838974,697493413,18,20,138334132,32241857,566982779,997121439,40,42,931116352,365474233,252184407,999150587,1,1,0,1,0,1,14,14,167538651,186615100,167497499,186451820
11,23,22,0,1,1,1,1,0,1,1,1,0,1,0,1,21,23,335579222,960584875,165175051,416586021,21,23,672275027,375841238,672200101,246505038,43,46,36059927,718215339,489718395,984303443,1,1,0,1,0,1,16,16,190556252,766536150,188348742,757131306
12,25,24,0,1,1,1,1,0,1,1,1,0,1,0,1,22,25,590396442,517707470,386885665,864076280,22,24,234742170,893579842,532140235,742557106,47,50,700201575,705922455,518179069,633928615,1,1,0,1,0,1,15,16,882300310,843707007,881486784,840002085
13,27,26,0,1,1,1,1,0,1,1,1,0,1,0,1,25,27,316243552,26161752,231608437,932788061,24,27,23575137,530166061,122123488,942213616,50,53,28457473,255629326,368928905,78093784,1,1,0,1,0,1,17,18,545601570,688892440,374487724,858990849
14,29,28,0,1,1,1,1,0,1,1,1,0,1,0,1,25,28,301458609,692384507,70843085,227457958,24,26,597533369,340561899,701193659,108425715,51,54,82566006,266676606,808817937,819415803,1,1,0,1,0,1,17,18,942071933,862683293,793247693,96620731
