state_id,sample_count,sum_value,outgoing_edge_count,current_average_num,current_average_den,expected_next_average_num_digits,expected_next_average_den_digits,expected_next_average_num_mod_1000000007,expected_next_average_den_mod_1000000007,expected_next_average_num_mod_1000000009,expected_next_average_den_mod_1000000009,drift_num_digits,drift_den_digits,drift_num_mod_1000000007,drift_den_mod_1000000007,drift_num_mod_1000000009,drift_den_mod_1000000009,abs_drift_num_digits,abs_drift_den_digits,abs_drift_num_mod_1000000007,abs_drift_den_mod_1000000007,abs_drift_num_mod_1000000009,abs_drift_den_mod_1000000009,source_probability_num_digits,source_probability_den_digits,source_probability_num_mod_1000000007,source_probability_den_mod_1000000007,source_probability_num_mod_1000000009,source_probability_den_mod_1000000009,drift_sign,base_level_flag,lift_extension_flag,eventual_cone_flag,boundary_defect_flag
0,1,0,3,0,1,3,3,123,214,123,214,3,3,123,214,123,214,3,3,123,214,123,214,1,2,2,13,2,13,1,1,0,0,0
1,1,1,2,1,1,3,3,155,107,155,107,2,3,48,107,48,107,2,3,48,107,48,107,1,2,3,13,3,13,1,1,0,0,0
2,1,2,2,2,1,3,3,425,214,425,214,1,3,1000000004,214,1000000006,214,1,3,3,214,3,214,1,2,8,13,8,13,-1,1,0,0,1
3,2,0,3,0,1,3,3,311,841,311,841,3,3,311,841,311,841,3,3,311,841,311,841,1,3,4,107,4,107,1,1,0,1,0
4,2,1,3,1,2,4,4,5297,5046,5297,5046,4,4,1387,2523,1387,2523,4,4,1387,2523,1387,2523,1,3,6,107,6,107,1,1,0,1,0
5,2,2,2,1,1,5,4,10532,7569,10532,7569,4,4,2963,7569,2963,7569,4,4,2963,7569,2963,7569,1,3,9,107,9,107,1,1,0,1,0
6,2,3,2,3,2,4,3,1415,841,1415,841,3,4,307,1682,307,1682,3,4,307,1682,307,1682,2,3,24,107,24,107,1,1,0,1,0
7,2,4,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,2,3,64,107,64,107,0,1,0,1,0
8,3,0,3,0,1,4,5,7383,26540,7383,26540,4,5,7383,26540,7383,26540,4,5,7383,26540,7383,26540,1,3,8,841,8,841,1,1,0,1,0
9,3,1,3,1,3,5,5,41899,53080,41899,53080,5,6,72617,159240,72617,159240,5,6,72617,159240,72617,159240,2,3,12,841,12,841,1,1,0,1,0
10,3,2,2,2,3,6,6,184133,159240,184133,159240,5,5,25991,53080,25991,53080,5,5,25991,53080,25991,53080,2,3,18,841,18,841,1,1,0,1,0
11,3,3,2,1,1,6,6,322631,238860,322631,238860,5,6,83771,238860,83771,238860,5,6,83771,238860,83771,238860,2,3,27,841,27,841,1,1,0,1,0
12,3,4,2,4,3,5,5,61079,39810,61079,39810,4,5,7999,39810,7999,39810,4,5,7999,39810,7999,39810,2,3,72,841,72,841,1,1,0,1,0
13,3,5,2,5,3,5,5,46693,26540,46693,26540,4,5,7379,79620,7379,79620,4,5,7379,79620,7379,79620,3,3,192,841,192,841,1,1,0,1,0
14,3,6,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,3,3,512,841,512,841,0,1,0,1,0
15,4,0,3,0,1,5,5,11793,52705,11793,52705,5,5,11793,52705,11793,52705,5,5,11793,52705,11793,52705,2,4,16,6635,16,6635,1,1,0,1,0
16,4,1,3,1,4,5,6,66877,105410,66877,105410,5,6,81049,210820,81049,210820,5,6,81049,210820,81049,210820,2,4,24,6635,24,6635,1,1,0,1,0
17,4,2,2,1,2,6,6,293171,316230,293171,316230,5,6,67528,158115,67528,158115,5,6,67528,158115,67528,158115,2,4,36,6635,36,6635,1,1,0,1,0
18,4,3,2,3,4,6,6,222263,189738,222263,189738,6,6,159919,379476,159919,379476,6,6,159919,379476,159919,379476,2,4,54,6635,54,6635,1,1,0,1,0
19,4,4,2,1,1,7,7,1868242,1423035,1868242,1423035,6,7,445207,1423035,445207,1423035,6,7,445207,1423035,445207,1423035,2,4,81,6635,81,6635,1,1,0,1,0
20,4,5,2,5,4,6,6,683483,474345,683483,474345,6,7,362207,1897380,362207,1897380,6,7,362207,1897380,362207,1897380,3,4,216,6635,216,6635,1,1,0,1,0
21,4,6,2,3,2,6,6,255184,158115,255184,158115,5,6,36023,316230,36023,316230,5,6,36023,316230,36023,316230,3,4,576,6635,576,6635,1,1,0,1,0
22,4,7,2,7,4,5,5,95069,52705,95069,52705,5,6,11341,210820,11341,210820,5,6,11341,210820,11341,210820,4,4,1536,6635,1536,6635,1,1,0,1,0
23,4,8,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,4,4,4096,6635,4096,6635,0,1,0,1,0
24,5,0,3,0,1,6,6,157237,840646,157237,840646,6,6,157237,840646,157237,840646,6,6,157237,840646,157237,840646,2,5,32,52705,32,52705,1,1,0,1,0
25,5,1,3,1,5,7,7,2673907,5043876,2673907,5043876,7,8,8325659,25219380,8325659,25219380,7,8,8325659,25219380,8325659,25219380,2,5,48,52705,48,52705,1,1,0,1,0
26,5,2,2,2,5,8,8,11704925,15131628,11704925,15131628,8,8,28261369,75658140,28261369,75658140,8,8,28261369,75658140,28261369,75658140,2,5,72,52705,72,52705,1,1,0,1,0
27,5,3,3,3,5,8,8,88975045,90789768,88975045,90789768,9,9,172505921,453948840,172505921,453948840,9,9,172505921,453948840,172505921,453948840,3,5,108,52705,108,52705,1,1,0,1,0
28,5,4,1,4,5,1,1,7,6,7,6,2,2,11,30,11,30,2,2,11,30,11,30,3,5,162,52705,162,52705,1,1,0,1,0
29,5,5,2,1,1,9,9,261168701,204276978,261168701,204276978,8,9,56891723,204276978,56891723,204276978,8,9,56891723,204276978,56891723,204276978,3,5,243,52705,243,52705,1,1,0,1,0
30,5,6,2,6,5,8,8,46804952,34046163,46804952,34046163,8,9,29747782,170230815,29747782,170230815,8,9,29747782,170230815,29747782,170230815,3,5,648,52705,648,52705,1,1,0,1,0
31,5,7,2,7,5,8,8,34386827,22697442,34386827,22697442,8,9,13052041,113487210,13052041,113487210,8,9,13052041,113487210,13052041,113487210,4,5,1728,52705,1728,52705,1,1,0,1,0
32,5,8,2,8,5,7,7,6324161,3782907,6324161,3782907,7,8,1357549,18914535,1357549,18914535,7,8,1357549,18914535,1357549,18914535,4,5,4608,52705,4608,52705,1,1,0,1,0
33,5,9,2,9,5,7,6,1542355,840646,1542355,840646,6,7,145961,4203230,145961,4203230,6,7,145961,4203230,145961,4203230,5,5,12288,52705,12288,52705,1,1,0,1,0
34,5,10,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,5,5,32768,52705,32768,52705,0,1,0,1,0
35,6,0,3,0,1,7,8,3774237,23507743,3774237,23507743,7,8,3774237,23507743,3774237,23507743,7,8,3774237,23507743,3774237,23507743,2,6,64,420323,64,420323,1,1,0,1,0
36,6,1,3,1,6,8,8,21390233,47015486,21390233,47015486,8,8,20331478,70523229,20331478,70523229,8,8,20331478,70523229,20331478,70523229,2,6,96,420323,96,420323,1,1,0,1,0
37,6,2,2,1,3,8,9,93573079,141046458,93573079,141046458,8,9,46557593,141046458,46557593,141046458,8,9,46557593,141046458,46557593,141046458,3,6,144,420323,144,420323,1,1,0,1,0
38,6,3,3,1,2,9,9,711756431,846278748,711756431,846278748,9,9,288617057,846278748,288617057,846278748,9,9,288617057,846278748,288617057,846278748,3,6,216,420323,216,420323,1,1,0,1,0
39,6,4,2,2,3,10,10,600244777,538836230,600244773,538836226,9,10,907687295,538836230,907687295,538836226,9,10,907687295,538836230,907687295,538836226,3,6,324,420323,324,420323,1,1,0,1,0
40,6,5,1,5,6,1,1,8,7,8,7,2,2,13,42,13,42,2,2,13,42,13,42,3,6,486,420323,486,420323,1,1,0,1,0
41,6,6,2,1,1,10,10,132827487,712381514,132827473,712381504,10,10,420445980,712381514,420445978,712381504,10,10,420445980,712381514,420445978,712381504,3,6,729,420323,729,420323,1,1,0,1,0
42,6,7,2,7,6,10,10,523361307,904127176,523361303,904127174,9,10,603759215,808254345,603759215,808254339,9,10,603759215,808254345,603759215,808254339,4,6,1944,420323,1944,420323,1,1,0,1,0
43,6,8,2,4,3,9,9,916009910,634709061,916009910,634709061,8,9,69731162,634709061,69731162,634709061,8,9,69731162,634709061,69731162,634709061,4,6,5184,420323,5184,420323,1,1,0,1,0
44,6,9,2,3,2,9,9,333587971,211569687,333587971,211569687,8,9,32466881,423139374,32466881,423139374,8,9,32466881,423139374,32466881,423139374,5,6,13824,420323,13824,420323,1,1,0,1,0
45,6,10,2,5,3,9,8,121024124,70523229,121024124,70523229,7,8,1161803,23507743,1161803,23507743,7,8,1161803,23507743,1161803,23507743,5,6,36864,420323,36864,420323,1,1,0,1,0
46,6,11,2,11,6,8,8,43668797,23507743,43668797,23507743,7,9,3427609,141046458,3427609,141046458,7,9,3427609,141046458,3427609,141046458,5,6,98304,420323,98304,420323,1,1,0,1,0
47,6,12,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,6,6,262144,420323,262144,420323,0,1,0,1,0
48,7,0,3,0,1,8,9,30196695,214817752,30196695,214817752,8,9,30196695,214817752,30196695,214817752,8,9,30196695,214817752,30196695,214817752,3,7,128,3358249,128,3358249,1,1,0,1,0
49,7,1,3,1,7,9,9,171123787,429635504,171123787,429635504,9,10,768231005,7448507,768231005,7448501,9,10,768231005,7448507,768231005,7448501,3,7,192,3358249,192,3358249,1,1,0,1,0
50,7,2,2,2,7,9,10,748384517,288906505,748384517,288906503,10,10,660878581,22345521,660878577,22345503,10,10,660878581,22345521,660878577,22345503,3,7,288,3358249,288,3358249,1,1,0,1,0
51,7,3,3,3,7,10,10,694082058,733439023,694082048,733439009,11,11,658257323,134073126,658257291,134073018,11,11,658257323,134073126,658257291,134073018,3,7,432,3358249,432,3358249,1,1,0,1,0
