power,row_component_id,col_component_id,prob_num_digits,prob_den_digits,prob_num_mod_1000000007,prob_den_mod_1000000007,prob_num_mod_1000000009,prob_den_mod_1000000009
0,0,0,1,1,1,1,1,1
0,0,1,1,1,0,1,0,1
0,0,2,1,1,0,1,0,1
0,1,0,1,1,0,1,0,1
0,1,1,1,1,1,1,1,1
0,1,2,1,1,0,1,0,1
0,2,0,1,1,0,1,0,1
0,2,1,1,1,0,1,0,1
0,2,2,1,1,1,1,1,1
1,0,0,258,258,618582603,683696920,518772888,502409092
1,0,1,255,257,844593645,847577025,240707565,927133531
1,0,2,258,258,524619644,683696920,429673192,502409092
1,1,0,255,256,922296826,675225990,620353787,326767277
1,1,1,257,257,500341420,700903946,752850196,307069099
1,1,2,256,257,511375250,700903946,72803782,307069099
1,2,0,258,259,524619644,409710334,429673192,894730865
1,2,1,256,257,511375250,933737937,72803782,328947122
1,2,2,259,259,612084781,409710334,717766923,894730865
2,0,0,519,519,556649921,906948980,933462096,294004648
2,0,1,518,519,473192073,453474490,37566684,147002324
2,0,2,519,519,403914920,906948980,285409193,294004648
2,1,0,518,519,473192073,917885220,37566684,580484362
2,1,1,519,519,766842207,835770433,264452883,160968715
2,1,2,519,519,122544087,835770433,821382473,160968715
2,2,0,519,520,403914920,663729259,285409193,260166207
2,2,1,519,520,122544087,663729259,821382473,260166207
2,2,2,519,519,68635126,831864633,76687275,630083108
3,0,0,781,781,113619676,819522433,337889771,401254672
3,0,1,780,781,154232057,639044859,631343334,802509344
3,0,2,781,781,257573450,639044859,495386477,802509344
3,1,0,780,781,154232057,65674184,631343334,285669203
3,1,1,781,781,843927936,131348368,166118605,571338406
3,1,2,781,781,978956332,131348368,142533142,571338406
3,2,0,781,782,257573450,421496772,495386477,399677502
3,2,1,781,782,978956332,842993544,142533142,799355004
3,2,2,782,782,348890319,842993544,666048917,799355004
4,0,0,1043,1043,368316219,434930539,149476026,154128862
4,0,1,1043,1044,586369160,869861078,426865281,308257724
4,0,2,1043,1044,546859487,869861078,582440400,308257724
4,1,0,1043,1043,586369160,118897144,426865281,812469956
4,1,1,1043,1044,894473838,237794288,828166174,624939903
4,1,2,1044,1044,170582144,237794288,943043185,624939903
4,2,0,1043,1044,546859487,530946076,582440400,412099006
4,2,1,1044,1044,170582144,61892145,943043185,824198012
4,2,2,1044,1044,797591041,61892145,716274045,824198012
5,0,0,1305,1306,651799671,398818975,63835079,743989325
5,0,1,1305,1306,599488372,797637950,748327778,487978641
5,0,2,1306,1306,894550250,797637950,611980714,487978641
5,1,0,1305,1306,599488372,342145445,748327778,95092059
5,1,1,1305,1306,674472319,684290890,45278349,190184118
5,1,2,1306,1306,810841841,684290890,648250231,190184118
5,2,0,1306,1306,894550250,203266046,611980714,4778836
5,2,1,1306,1307,810841841,406532092,648250231,9557672
5,2,2,1306,1307,806589772,406532092,137346031,9557672
6,0,0,1568,1568,378501221,931335899,208200826,535990686
6,0,1,1567,1568,790776817,862671791,379376872,71981363
6,0,2,1568,1568,314892539,862671791,276202848,71981363
6,1,0,1567,1568,790776817,348247709,379376872,739338231
6,1,1,1568,1568,389893861,696495418,641880963,478676453
6,1,2,1568,1568,725047937,696495418,78041755,478676453
6,2,0,1568,1569,314892539,831172513,276202848,194613772
6,2,1,1568,1569,725047937,662345019,78041755,389227544
6,2,2,1569,1569,307512011,662345019,758780102,389227544
7,0,0,1830,1830,222810005,22173488,548533484,848959089
7,0,1,1830,1831,963638044,44346976,721183919,697918169
7,0,2,1830,1831,635088936,44346976,879667300,697918169
7,1,0,1830,1830,963638044,608283005,721183919,191506181
7,1,1,1830,1831,254723975,216566003,787914411,383012362
7,1,2,1830,1831,34565954,216566003,152730131,383012362
7,2,0,1830,1831,635088936,102427056,879667300,598844559
7,2,1,1830,1831,34565954,204854112,152730131,197689109
7,2,2,1831,1831,900110300,204854112,285624396,197689109
8,0,0,2092,2093,498012291,629405988,200159439,988642661
8,0,1,2092,2093,194074723,258811969,427449830,977285313
8,0,2,2093,2093,68712671,258811969,149516605,977285313
8,1,0,2092,2093,194074723,659920675,427449830,372857308
8,1,1,2092,2093,115216471,319841343,928714261,745714616
8,1,2,2093,2093,816475433,319841343,962100713,745714616
8,2,0,2093,2093,68712671,54735364,149516605,739183653
8,2,1,2093,2093,816475433,109470728,962100713,478367297
8,2,2,2093,2093,155569960,109470728,217233383,478367297
