edge_id,from_sample_count,from_sum_value,to_sample_count,to_sum_value,transport_mass_digits,transport_mass_mod_1000000007,transport_mass_mod_1000000009,row_prob_num_digits,row_prob_den_digits,row_prob_num_mod_1000000007,row_prob_den_mod_1000000007,row_prob_num_mod_1000000009,row_prob_den_mod_1000000009
0,1,0,2,0,5,11232,11232,2,3,26,107,26,107
1,1,0,2,1,5,16848,16848,2,3,39,107,39,107
2,1,0,2,2,5,18144,18144,2,3,42,107,42,107
3,1,1,2,2,4,7128,7128,2,3,11,107,11,107
4,1,1,2,3,5,62208,62208,2,3,96,107,96,107
5,1,2,2,3,4,5184,5184,1,3,3,107,3,107
6,1,2,2,4,6,179712,179712,3,3,104,107,104,107
7,2,0,3,0,7,6656256,6656256,3,3,214,841,214,841
8,2,0,3,1,7,9984384,9984384,3,3,321,841,321,841
9,2,0,3,2,7,9517824,9517824,3,3,306,841,306,841
10,2,1,3,2,7,5458752,5458752,3,3,117,841,117,841
11,2,1,3,3,8,22464864,22464864,3,4,963,1682,963,1682
12,2,1,3,4,8,11314080,11314080,3,4,485,1682,485,1682
13,2,2,3,4,8,48592224,48592224,4,4,2083,2523,2083,2523
14,2,2,3,5,8,10264320,10264320,3,4,440,2523,440,2523
15,2,3,3,5,9,149485824,149485824,3,3,801,841,801,841
16,2,3,3,6,7,7464960,7464960,2,3,40,841,40,841
17,2,4,3,6,9,418535424,418535424,1,1,1,1,1,1
18,3,0,4,0,10,766818795,766818789,4,4,1682,6635,1682,6635
19,3,0,4,1,10,650228189,650228179,4,4,2523,6635,2523,6635
20,3,0,4,2,10,441955805,441955795,3,4,486,1327,486,1327
21,3,1,4,2,10,33386475,33386469,3,4,903,6635,903,6635
22,3,1,4,3,11,713013420,713013396,4,5,7569,13270,7569,13270
23,3,1,4,4,10,542104278,542104266,3,4,779,2654,779,2654
24,3,2,4,4,11,527415852,527415828,5,5,14917,39810,14917,39810
25,3,2,4,5,11,905340404,905340364,5,5,24893,39810,24893,39810
26,3,3,4,5,11,946713269,946713211,5,5,35659,59715,35659,59715
27,3,3,4,6,11,202421108,202421068,5,5,24056,59715,24056,59715
28,3,4,4,6,12,403055323,403055093,5,5,17177,19905,17177,19905
29,3,4,4,7,11,327969666,327969630,4,5,2728,19905,2728,19905
30,3,5,4,7,12,286634143,286633457,4,4,6387,6635,6387,6635
31,3,5,4,8,11,329432485,329432459,3,4,248,6635,248,6635
32,3,6,4,8,12,976177670,976175770,1,1,1,1,1,1
33,4,0,5,0,13,696399747,696395469,4,5,2654,10541,2654,10541
34,4,0,5,1,13,544599617,544593199,4,5,3981,10541,3981,10541
35,4,0,5,2,13,78424037,78417739,4,5,3906,10541,3906,10541
36,4,1,5,2,13,238475385,238472055,4,5,1377,10541,1377,10541
37,4,1,5,3,13,475349133,475334691,5,5,11943,21082,11943,21082
38,4,1,5,4,13,765310580,765302860,4,5,6385,21082,6385,21082
39,4,2,5,4,13,447713123,447699181,5,5,23059,63246,23059,63246
40,4,2,5,5,14,770989517,770965219,5,5,40187,63246,40187,63246
41,4,3,5,5,13,548546034,548537838,5,6,27113,189738,27113,189738
42,4,3,5,6,14,279507919,279458753,6,6,162625,189738,162625,189738
43,4,4,5,6,14,572586865,572549375,6,6,124007,284607,124007,284607
