sample_count,source_row_count,target_row_count,edge_count,transport_mass_digits,transport_mass_mod_1000000007,transport_mass_mod_1000000009,row_marginal_flag_count,col_marginal_flag_count,drift_positive_count,drift_negative_count,drift_zero_count,max_outgoing_edge_count,source_variance_num_digits,source_variance_den_digits,source_variance_num_mod_1000000007,source_variance_den_mod_1000000007,source_variance_num_mod_1000000009,source_variance_den_mod_1000000009,target_variance_num_digits,target_variance_den_digits,target_variance_num_mod_1000000007,target_variance_den_mod_1000000007,target_variance_num_mod_1000000009,target_variance_den_mod_1000000009,variance_shrink_gap_num_digits,variance_shrink_gap_den_digits,variance_shrink_gap_num_mod_1000000007,variance_shrink_gap_den_mod_1000000007,variance_shrink_gap_num_mod_1000000009,variance_shrink_gap_den_mod_1000000009,conditional_noise_num_digits,conditional_noise_den_digits,conditional_noise_num_mod_1000000007,conditional_noise_den_mod_1000000007,conditional_noise_num_mod_1000000009,conditional_noise_den_mod_1000000009,predicted_variance_num_digits,predicted_variance_den_digits,predicted_variance_num_mod_1000000007,predicted_variance_den_mod_1000000007,predicted_variance_num_mod_1000000009,predicted_variance_den_mod_1000000009,variance_decomp_gap_num_digits,variance_decomp_gap_den_digits,variance_decomp_gap_num_mod_1000000007,variance_decomp_gap_den_mod_1000000007,variance_decomp_gap_num_mod_1000000009,variance_decomp_gap_den_mod_1000000009,variance_shrink_flag,variance_decomp_flag
1,3,5,7,6,300456,300456,3,5,2,1,0,3,2,3,94,169,94,169,4,5,6635,22898,6635,22898,7,7,1031097,3869762,1031097,3869762,4,6,4926,148837,4926,148837,5,6,76403,297674,76403,297674,1,1,0,1,0,1,1,1
2,5,7,11,9,699738912,699738912,5,7,4,0,1,3,4,5,6635,22898,6635,22898,6,7,329450,2121843,329450,2121843,10,11,534682163,585960678,534682151,585960582,8,10,10240879,362223199,10240879,362223197,9,10,201266021,362223199,201266021,362223197,1,1,0,1,0,1,1,1
3,7,9,15,13,52666826,52663702,7,9,6,0,1,3,6,7,329450,2121843,329450,2121843,8,9,29698823,352185800,29698823,352185800,14,15,371748134,969198426,371642112,967703862,10,13,469501678,259068722,469501660,259061614,11,12,610040722,170362750,610040700,170362466,1,1,0,1,0,1,1,1
4,9,11,19,16,835887778,828839486,9,11,8,0,1,3,8,9,29698823,352185800,29698823,352185800,10,11,382452553,445425142,382452547,445425004,17,18,278476832,355091072,208781182,398475682,12,15,614632223,684973472,614631603,684309964,14,16,188455919,424867339,188297439,421549793,1,1,0,1,0,1,1,1
5,11,13,23,19,746166984,671991112,11,13,10,0,1,3,10,11,382452553,445425142,382452547,445425004,11,13,574109421,28538554,574109357,28536434,22,23,177422462,378942145,430714431,114198167,16,19,660407526,532354134,655634744,51160232,18,19,751723158,532354134,311496604,51160232,1,1,0,1,0,1,1,1
6,13,15,27,23,47991105,421735031,13,15,12,0,1,3,11,13,574109421,28538554,574109357,28536434,14,15,386196830,977085758,386173470,975980532,25,27,855613853,472121634,988136120,786043861,19,23,769088479,995937642,625093005,912972761,22,23,759806128,995937642,525171353,912972761,1,1,0,1,0,1,1,1
7,15,17,31,26,230859340,739236681,15,17,14,0,1,3,14,15,386196830,977085758,386173470,975980532,15,17,7308571,125653421,6589779,79506755,29,32,943722655,243658949,234160295,344120264,22,27,580927101,473905350,845137073,366065431,25,27,519314116,473905350,592346010,366065431,1,1,0,1,0,1,1,1
8,17,19,35,29,270296643,880996412,17,19,16,0,1,3,15,17,7308571,125653421,6589779,79506755,17,19,847782780,578496052,817730680,87570244,33,35,613463101,459963843,304135072,872336395,25,30,445052779,127708436,490210861,625739627,28,30,432868759,127708436,932528708,625739627,1,1,0,1,0,1,1,1
9,19,21,39,33,395997167,736991060,19,21,18,0,1,3,17,19,847782780,578496052,817730680,87570244,18,20,138334132,32241857,566982779,997121439,35,38,309817202,853086062,163686759,924997622,27,32,976802204,692653113,373228813,729943423,31,33,556824838,463265544,51534243,649717088,1,1,0,1,0,1,1,1
10,21,23,43,36,736270045,43064228,21,23,20,0,1,3,18,20,138334132,32241857,566982779,997121439,21,23,672275027,375841238,672200101,246505038,40,42,931116352,365474233,252184407,999150587,31,37,377492592,51595509,142681062,901081210,34,37,840461682,51595509,470440331,901081210,1,1,0,1,0,1,1,1
