observable_id,observable_code,value
0,0,31
1,1,31
2,2,29
3,3,29
4,4,22
5,5,0
6,6,1
7,7,985
8,8,39
9,9,38415
10,10,420
11,11,0
12,12,131586
13,13,131586
14,14,3128
15,15,128
16,16,0
17,17,3
18,18,1
19,19,0
20,20,9
21,21,8
22,22,0
23,23,208
24,24,0
25,25,1
26,26,208
27,27,8
28,28,0
29,29,64560240
30,30,64570080
31,31,0
32,32,0
33,33,51
34,34,749239
35,35,0
36,36,0
37,37,1414965
38,38,2537360
39,39,0
40,40,288
41,41,288
42,42,208
43,43,1
44,44,0
45,45,0
46,46,64570080
47,47,64560240
48,48,288
49,49,1
50,50,0
51,51,0
52,52,1
53,53,0
54,54,1
55,55,32
56,56,2
57,57,477589
58,58,937376
59,59,12
60,60,288
61,61,16
62,62,2840
63,63,288
64,64,16
65,65,1
66,66,0
67,67,1
68,68,1
69,69,48
70,70,48
71,71,1
72,72,1
73,73,0
74,74,14
75,75,1
76,76,1
77,77,0
78,78,14
79,79,0
80,80,1
81,81,18
82,82,0
83,83,1
84,84,37
85,85,0
86,86,1
