observable_id,observable_code,value
0,0,985
1,1,131765
2,2,11349
3,3,79785
4,4,40631
5,5,51980
6,6,120416
7,7,1414965
8,8,477589
9,9,937376
10,10,-459787
11,11,2537360
12,12,915271
13,13,1622089
14,14,-706818
15,15,8119976
16,16,3655871
17,17,4464105
18,18,-808234
19,19,131765
20,20,131765
21,21,131765
22,22,985
23,23,985
24,24,2
25,25,85108
26,26,482
27,27,378338
28,28,453822
29,29,-353258
30,30,-480
31,31,985
32,32,984
33,33,984
34,34,84076
35,35,376869
36,36,451244
37,37,-353264
38,38,-480
39,39,984
40,40,12
41,41,12
42,42,1
43,43,1
44,44,1
