addr,positive_section_count,reverse_section_count,total_section_count,signed_section_count,positive_coeff_sum,reverse_coeff_sum,total_coeff_sum,signed_coeff_sum,positive_coeff_square_sum,reverse_coeff_square_sum,total_coeff_square_sum,signed_coeff_square_sum,projection_count_flag,projection_coeff_flag,projection_coeff_square_flag
0,585,1159,1744,-574,2576,1646,4222,930,13848,2956,16804,10892,1,1,1
1,918,1833,2751,-915,5130,2457,7587,2673,35996,4075,40071,31921,1,1,1
2,1485,2970,4455,-1485,7678,4047,11725,3631,49796,6843,56639,42953,1,1,1
3,2033,4073,6106,-2040,10208,5627,15835,4581,63320,9757,73077,53563,1,1,1
4,2354,4724,7078,-2370,12736,6396,19132,6340,85402,10792,96194,74610,1,1,1
5,2903,5821,8724,-2918,15274,7948,23222,7326,98960,13570,112530,85390,1,1,1
6,3029,6068,9097,-3039,17810,8184,25994,9626,154146,13784,167930,140362,1,1,1
7,4662,9291,13953,-4629,20323,14335,34658,5988,159047,31091,190138,127956,1,1,1
8,6187,12407,18594,-6220,22437,20307,42744,2130,161121,47411,208532,113710,1,1,1
9,7099,14331,21430,-7232,24547,23200,47747,1347,166791,53234,220025,113557,1,1,1
10,8599,17364,25963,-8765,26792,28962,55754,-2170,170708,68906,239614,101802,1,1,1
11,10009,20275,30284,-10266,28846,34585,63431,-5739,173692,84517,258209,89175,1,1,1
12,11399,23132,34531,-11733,30849,40041,70890,-9192,176087,98975,275062,77112,1,1,1
13,12219,24865,37084,-12646,32877,42638,75515,-9761,182061,104192,286253,77869,1,1,1
14,13074,26624,39698,-13550,35047,45147,80194,-10100,188697,108811,297508,79886,1,1,1
15,14440,29392,43832,-14952,37186,50325,87511,-13139,192824,121969,314793,70855,1,1,1
16,15204,30990,46194,-15786,39164,52736,91900,-13572,198524,126634,325158,71890,1,1,1
17,16190,32994,49184,-16804,41283,57824,99107,-16541,204211,144476,348687,59735,1,1,1
18,16542,33743,50285,-17201,43061,58838,101899,-15777,212757,146208,358965,66549,1,1,1
19,16962,34602,51564,-17640,45185,59828,105013,-14643,224735,147180,371915,77555,1,1,1
20,17971,36630,54601,-18659,47289,64654,111943,-17365,230289,162102,392391,68187,1,1,1
21,18320,37356,55676,-19036,49089,65584,114673,-16495,240113,163472,403585,76641,1,1,1
22,18738,38201,56939,-19463,51196,66504,117700,-15308,252170,164052,416222,88118,1,1,1
23,19150,39024,58174,-19874,53317,67406,120723,-14089,264145,164630,428775,99515,1,1,1
24,19564,39845,59409,-20281,55426,68298,123724,-12872,276040,165254,441294,110786,1,1,1
25,19991,40682,60673,-20691,57553,69190,126743,-11637,288179,165798,453977,122381,1,1,1
26,20418,41514,61932,-21096,59687,70080,129767,-10393,300331,166274,466605,134057,1,1,1
27,20487,41624,62111,-21137,61889,69920,131809,-8031,349961,164908,514869,185053,1,1,1
28,21368,43355,64723,-21987,64112,72190,136302,-8078,356648,164036,520684,192612,1,1,1
29,22661,45838,68499,-23177,66156,76970,143126,-10814,360640,177676,538316,182964,1,1,1
30,23501,47351,70852,-23850,68100,79160,147260,-11060,364928,181760,546688,183168,1,1,1
31,24360,48943,73303,-24583,70184,81324,151508,-11140,370752,185320,556072,185432,1,1,1
32,24729,49534,74263,-24805,72346,81790,154136,-9444,384212,185220,569432,198992,1,1,1
33,25412,50817,76229,-25405,74528,84204,158732,-9676,392760,192852,585612,199908,1,1,1
34,25947,52038,77985,-26091,76300,86604,162904,-10304,399660,201272,600932,198388,1,1,1
35,26770,53844,80614,-27074,78048,91752,169800,-13704,404184,227912,632096,176272,1,1,1
36,27512,55574,83086,-28062,79328,96864,176192,-17536,404904,254740,659644,150164,1,1,1
37,28236,57286,85522,-29050,80560,101928,182488,-21368,405416,281360,686776,124056,1,1,1
38,28942,58980,87922,-30038,81744,106944,188688,-25200,405720,307772,713492,97948,1,1,1
39,29339,60068,89407,-30729,82880,109188,192068,-26308,408096,315996,724092,92100,1,1,1
40,29796,61211,91007,-31415,84460,111396,195856,-26936,414308,323728,738036,90580,1,1,1
41,30252,62368,92620,-32116,86016,113580,199596,-27564,420392,330768,751160,89624,1,1,1
42,30680,63498,94178,-32818,87548,115740,203288,-28192,426500,337900,764400,88600,1,1,1
43,31100,64620,95720,-33520,89056,117876,206932,-28820,432528,344952,777480,87576,1,1,1
44,31512,65734,97246,-34222,90540,119988,210528,-29448,438476,351924,790400,86552,1,1,1
45,32022,67022,99044,-35000,92000,122716,214716,-30716,443464,366010,809474,77454,1,1,1
46,32954,69114,102068,-36160,93436,128700,222136,-35264,446310,412752,859062,33558,1,1,1
47,33461,70399,103860,-36938,94272,131380,225652,-37108,444986,426192,871178,18794,1,1,1
48,34365,72463,106828,-38098,95648,137280,232928,-41632,447636,472570,920206,-24934,1,1,1
49,35276,74576,109852,-39300,96400,143144,239544,-46744,443564,527102,970666,-83538,1,1,1
50,36226,76728,112954,-40502,97104,148960,246064,-51856,435732,580466,1016198,-144734,1,1,1
51,36738,78018,114756,-41280,97760,151508,249268,-53748,429708,592398,1022106,-162690,1,1,1
52,37229,79285,116514,-42056,99004,154020,253024,-55016,433204,604642,1037846,-171438,1,1,1
53,38552,82325,120877,-43773,100224,158808,259032,-58584,433184,616310,1049494,-183126,1,1,1
54,39439,84767,124206,-45328,100760,163560,264320,-62800,430374,631658,1062032,-201284,1,1,1
55,40351,87233,127584,-46882,101248,168264,269512,-67016,427242,646830,1074072,-219588,1,1,1
56,41384,89991,131375,-48607,101688,172920,274608,-71232,423708,660306,1084014,-236598,1,1,1
57,42128,92218,134346,-50090,102080,177528,279608,-75448,420704,675388,1096092,-254684,1,1,1
58,43192,95024,138216,-51832,102424,182088,284512,-79664,415448,688792,1104240,-273344,1,1,1
59,44146,97707,141853,-53561,102720,186600,289320,-83880,410636,701834,1112470,-291198,1,1,1
60,44998,100285,145283,-55287,102968,191064,294032,-88096,407016,715078,1122094,-308062,1,1,1
61,45820,102833,148653,-57013,103168,195480,298648,-92312,403312,728238,1131550,-324926,1,1,1
62,46612,105351,151963,-58739,103320,199848,303168,-96528,399524,741314,1140838,-341790,1,1,1
63,47222,107516,154738,-60294,103424,204168,307592,-100744,395972,755920,1151892,-359948,1,1,1
64,47858,109706,157564,-61848,103480,208440,311920,-104960,392096,770348,1162444,-378252,1,1,1
65,48404,111734,160138,-63330,103488,212664,316152,-109176,388208,784692,1172900,-396484,1,1,1
66,49266,114434,163700,-65168,103448,216840,320288,-113392,382204,795676,1177880,-413472,1,1,1
67,49904,116850,166754,-66946,103360,220968,324328,-117608,377980,807444,1185424,-429464,1,1,1
68,50574,119362,169936,-68788,103224,225048,328272,-121824,373092,818516,1191608,-445424,1,1,1
69,51124,121690,172814,-70566,103040,229080,332120,-126040,368756,830172,1198928,-461416,1,1,1
70,51668,123980,175648,-72312,102808,233064,335872,-130256,363832,842880,1206712,-479048,1,1,1
71,52222,126263,178485,-74041,102528,237000,339528,-134472,358092,854994,1213086,-496902,1,1,1
72,52666,128433,181099,-75767,102200,240888,343088,-138688,353560,867326,1220886,-513766,1,1,1
73,53036,130538,183574,-77502,101824,244728,346552,-142904,349000,879256,1228256,-530256,1,1,1
74,53388,132630,186018,-79242,101400,248520,349920,-147120,342848,890772,1233620,-547924,1,1,1
75,53704,134686,188390,-80982,100928,252264,353192,-151336,336624,902216,1238840,-565592,1,1,1
76,53984,136706,190690,-82722,100408,255960,356368,-155552,330328,913588,1243916,-583260,1,1,1
77,53742,137418,191160,-83676,99840,256680,356520,-156840,325304,914276,1239580,-588972,1,1,1
78,54216,139368,193584,-85152,100172,259344,359516,-159172,324716,919608,1244324,-594892,1,1,1
79,54068,140202,194270,-86134,99520,260004,359524,-160484,320196,919976,1240172,-599780,1,1,1
80,54497,142226,196723,-87729,99792,262584,362376,-162792,319378,924264,1243642,-604886,1,1,1
