sample_count,path_count,sum_value_min,sum_value_max,weight_total_digits,weight_total_mod_1000000007,weight_total_mod_1000000009,mean_sum_num_digits,mean_sum_den_digits,mean_sum_num_mod_1000000007,mean_sum_den_mod_1000000007,mean_sum_num_mod_1000000009,mean_sum_den_mod_1000000009,variance_sum_num_digits,variance_sum_den_digits,variance_sum_num_mod_1000000007,variance_sum_den_mod_1000000007,variance_sum_num_mod_1000000009,variance_sum_den_mod_1000000009,mean_average_num_digits,mean_average_den_digits,mean_average_num_mod_1000000007,mean_average_den_mod_1000000007,mean_average_num_mod_1000000009,mean_average_den_mod_1000000009,variance_average_num_digits,variance_average_den_digits,variance_average_num_mod_1000000007,variance_average_den_mod_1000000007,variance_average_num_mod_1000000009,variance_average_den_mod_1000000009,variance_shrink_gap_num_digits,variance_shrink_gap_den_digits,variance_shrink_gap_num_mod_1000000007,variance_shrink_gap_den_mod_1000000007,variance_shrink_gap_num_mod_1000000009,variance_shrink_gap_den_mod_1000000009,variance_shrink_from_prev_flag
1,3,0,2,2,78,78,2,2,19,13,19,13,2,3,94,169,94,169,2,2,19,13,19,13,2,3,94,169,94,169,1,1,0,1,0,1,1
2,5,0,4,4,3852,3852,3,3,352,107,352,107,5,5,13270,11449,13270,11449,3,3,176,107,176,107,4,5,6635,22898,6635,22898,7,7,1031097,3869762,1031097,3869762,1
3,7,0,6,6,181656,181656,4,3,4449,841,4449,841,6,6,988350,707281,988350,707281,4,3,1483,841,1483,841,6,7,329450,2121843,329450,2121843,10,11,534682163,585960678,534682151,585960582,1
4,9,0,8,7,8598960,8598960,5,4,48638,6635,48638,6635,8,8,59397646,44023225,59397646,44023225,5,5,24319,13270,24319,13270,8,9,29698823,352185800,29698823,352185800,14,15,371748134,969198426,371642112,967703862,1
5,11,0,10,9,409834080,409834080,6,5,493499,52705,493499,52705,10,10,382452553,777817011,382452547,777817007,6,6,493499,263525,493499,263525,10,11,382452553,445425142,382452547,445425004,17,18,278476832,355091072,208781182,398475682,1
6,13,0,12,11,610589755,610589717,7,6,4784340,420323,4784340,420323,12,12,444656505,671423097,444656115,671422745,6,6,797390,420323,797390,420323,11,13,574109421,28538554,574109357,28536434,22,23,177422462,378942145,430714431,114198167,1
7,15,0,14,12,94785484,94783604,8,7,44974117,3358249,44974117,3358249,14,14,386196830,836267062,386173470,836244508,8,8,44974117,23507743,44974117,23507743,14,15,386196830,977085758,386173470,975980532,25,27,855613853,472121634,988136120,786043861,1
8,17,0,16,14,416352197,416261995,9,8,413432554,26852219,413432554,26852219,15,15,14617142,660176674,13179558,658734592,9,9,206716277,107408876,206716277,107408876,15,17,7308571,125653421,6589779,79506755,29,32,943722655,243658949,234160295,344120264,1
9,19,0,18,16,105246260,100917388,10,9,736773402,214774897,736773396,214774897,17,17,543348326,58462817,453192022,966206314,9,9,415197047,214774897,415197047,214774897,17,19,847782780,578496052,817730680,87570244,33,35,613463101,459963843,304135072,872336395,1
10,21,0,20,18,465866053,258096107,11,10,329481209,718067532,329481143,718067530,19,19,383341313,903224192,669827745,999712152,10,10,332948123,718067532,332948117,718067530,18,20,138334132,32241857,566982779,997121439,35,38,309817202,853086062,163686759,924997622,1
11,23,0,22,19,789294824,816628466,12,11,121205903,744139166,121205315,744139140,21,21,672275027,498973898,672200101,696252114,12,12,121205903,185530770,121205315,185530468,21,23,672275027,375841238,672200101,246505038,40,42,931116352,365474233,252184407,999150587,1
12,25,0,24,21,284033517,601339802,13,12,863465314,951897840,863460170,951897622,23,23,408453013,453899163,192841383,614273218,12,12,810577557,903795673,810576701,903795235,22,24,234742170,893579842,532140235,742557106,43,46,36059927,718215339,489718395,984303443,1
13,27,0,26,23,181598471,508189906,14,12,97150457,611511736,97105773,611509978,24,24,23575137,648107496,122123488,828060443,14,14,97150457,949652519,97105773,949629651,24,27,23575137,530166061,122123488,942213616,47,50,700201575,705922455,518179069,633928615,1
14,29,0,28,24,213857729,623968454,15,13,427435462,881031903,427049842,881017831,26,26,558269756,670280953,716977970,554212862,14,14,213717731,167223279,213524921,167124763,24,26,597533369,340561899,701193659,108425715,50,53,28457473,255629326,368928905,78093784,1
15,31,0,30,26,813320522,798073243,16,14,80678310,14971000,77368164,14858410,28,28,113301716,839431090,10046758,345741152,15,15,26892770,74855000,25789388,74292050,28,30,704433910,957331316,670015592,930586175,51,54,82566006,266676606,808817937,819415803,1
16,33,0,32,28,103537676,870859865,17,15,478638529,19718867,450355923,18818147,30,30,846590753,713041858,406028251,653326511,16,16,739319268,157750936,725177966,150545176,29,32,923295380,269357187,703014130,625792661,58,61,91977770,499719616,135837054,501875738,1
