basis_id,component_id,prob_num,prob_den,prob_num_digits,prob_den_digits,prob_num_mod_1000000007,prob_den_mod_1000000007,prob_num_mod_1000000009,prob_den_mod_1000000009,prob_sha256,active_owner_flag,dominant_component_flag,positive_flag
0,0,28701543219775466004015369031379260894462451244557296426973601145021490728534626765532733575523803838875342414451753343864818468043543618431646143947664749873934166016726773376706910624097397620087526329065515077743509315796225543510333911174788694555131,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,238888459,253126048,431128513,867253560,d9deda264d4e7658e2838960fa94422d59dea5e4e2be570cf4785cef8aac5e00,0,1,1
0,1,33151958140816341766225201079993634301211356321091670668932123829540895619061530339294651938969999858956380357056141901075051866939723729032367606597894304819619728727244905435164090043475747479485526782025579317470307862450436690062269992326400,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,245,254,523549786,253126048,651360151,867253560,8bb5aa114d65137c134ed5988e9214fef7a338bd8e8e8777226460590cadc619,0,0,1
0,2,8111492811097488455640729156645005718870848859341367836022190274176116756066964576050581279574983993474595105400677797528240536889975331374923384498319425368506246603341253055882511676833520638960278022826068363668915495731008787825884467724287072600,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,250,254,490687810,253126048,784764905,867253560,c1fbd88e9afa39a0d6b775900f1413725e99e5380fe39052b948fae91dd06bbe,0,0,1
1,0,1,1,1,1,1,1,1,1,253d950f11ebdbeb4c2d54c57803deb69869b832a2e03010620d462a85d15290,1,1,1
1,1,0,1,1,1,0,1,0,1,a93875fe509ac2fae0e0939d3ec71c4d978244c7398dd7185ca68c393426a5a6,1,0,0
1,2,0,1,1,1,0,1,0,1,a93875fe509ac2fae0e0939d3ec71c4d978244c7398dd7185ca68c393426a5a6,1,0,0
2,0,28692293268595888882206183284418983129474926277654317124823071544109479347498967409867249268330935534243152216448933980353156543230443650550721717929459506279547398983304324146729888540049725311653326901841244946838607019765414158548510559371810881038231,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,809279172,253126048,750903454,867253560,63b9070fde6a08424fae3d709b26949a78401dba879c2af430ba4899b390f0f2,0,1,1
2,1,70956681408251741500564026509351169355700695492994591522452779539141520789726453345936959007261885916127131548824022193490697439568301007468696495202390906401657030995323751207859911706173994702988790675399624677907169745278812094118277762906240,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,245,254,240067262,253126048,971470120,867253560,2cbd16520dd39a9b4135bb7e4a4a8f2e57a3cc9e0d4649854672e64e998fca17,0,0,1
2,2,17361406185951342829426741778097341348860761272981498083630937665531788191101149576611881830136220333778735937468849541309872934344370583722070966374674415258671697988488214954058823028684166374912481743832305894525851089680510921273832214694330009660,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,251,254,203779621,253126048,144879995,867253560,f423bc11c80ce03343cc116c27cad9dc6351093c5bced64165ab2497e52f64e6,0,0,1
3,0,28689016601668289666995584017848186488389409977151139566082699793408969365868992946205487668056235383337472775390204637979249871971761079906122386215759643327496653578693716408546419606937741259159844189671349364627906084011172517224892777812184238314831,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,794372356,253126048,595429762,867253560,60ddd70c17d070e46659a8af813b76c066ccc49be6a8e51bdebdd0bbf339ffe6,0,1,1
