fiber_row_id,sample_count,sum_value,component_fiber_path_count,raw_support_fiber_lift_digits,raw_support_fiber_lift_mod_1000000007,raw_support_fiber_lift_mod_1000000009,raw_coeff_fiber_lift_digits,raw_coeff_fiber_lift_mod_1000000007,raw_coeff_fiber_lift_mod_1000000009,long_tens_gap_flag,existing_prof_flag,raw_support_lift_positive_flag,raw_coeff_lift_positive_flag,compressed_raw_quotient_flag
0,1,0,1,5,64320,64320,5,90624,90624,0,1,1,1,0
1,1,1,1,6,146050,146050,6,270320,270320,0,1,1,1,0
2,1,2,1,6,886221,886221,7,1624896,1624896,0,1,1,1,0
3,2,0,1,10,137062372,137062364,10,212709320,212709304,0,1,1,1,0
4,2,1,2,11,787871874,787871838,11,994959024,994958928,0,1,1,1,0
5,2,2,3,12,334070995,334070725,12,582050039,582049305,0,1,1,1,0
6,2,3,2,12,865152294,865151778,12,483767294,483765538,0,1,1,1,0
7,2,4,1,12,387655346,387653776,13,286992336,286987056,0,1,1,1,0
8,3,0,1,15,851705335,851173145,15,569280748,567792212,0,1,1,1,0
9,3,1,3,16,877871429,874246123,16,748939714,735619358,0,1,1,1,0
10,3,2,6,17,684166151,653936137,17,544661391,424859649,0,1,1,1,0
11,3,3,7,17,258799322,152667414,18,619330245,102153835,0,1,1,1,0
12,3,4,6,18,212521865,796003304,19,140824831,992769452,0,1,1,1,0
13,3,5,3,18,188660943,500425750,19,303173387,20839145,0,1,1,1,0
14,3,6,1,18,305982630,913928582,19,695532732,115149260,0,1,1,1,0
15,4,0,1,20,686763733,456193677,20,498145622,600957193,0,1,1,1,0
16,4,1,4,21,253224038,346833705,21,882888583,357465882,0,1,1,1,0
17,4,2,10,22,836237686,326014387,22,779450834,389355866,0,1,1,1,0
18,4,3,16,22,528162507,206327595,23,186915588,589922798,0,1,1,1,0
19,4,4,19,23,453235748,939719014,24,569446901,700445337,0,1,1,1,0
20,4,5,16,23,882271490,732538034,24,783615705,318891093,0,1,1,1,0
21,4,6,10,24,71559883,903720179,25,490254507,621028697,0,1,1,1,0
22,4,7,4,24,51194715,72799147,25,627192505,590732228,0,1,1,1,0
23,4,8,1,24,230443054,694579144,25,346184696,570293015,0,1,1,1,0
24,5,0,1,25,642997356,377040562,25,948532127,144168283,0,1,1,1,0
25,5,1,5,26,212512687,429631035,26,617982149,734748523,0,1,1,1,0
26,5,2,15,27,616040655,720328499,28,214911150,92323880,0,1,1,1,0
27,5,3,30,27,384007326,701696251,28,303020466,716485340,0,1,1,1,0
28,5,4,45,28,649851649,664876284,29,110487035,870515121,0,1,1,1,0
29,5,5,51,29,484211170,652605149,30,663506433,754097626,0,1,1,1,0
30,5,6,45,29,516871493,177103857,30,805194435,559680943,0,1,1,1,0
31,5,7,30,30,681550823,355234755,31,306258434,849598465,0,1,1,1,0
32,5,8,15,30,955831161,439009162,31,900265487,4720548,0,1,1,1,0
33,5,9,5,30,39005533,415341056,31,231838279,32136728,0,1,1,1,0
34,5,10,1,30,472329373,618034874,32,123854018,830561446,0,1,1,1,0
35,6,0,1,29,589648421,248729581,30,774875535,106361007,0,1,1,1,0
36,6,1,6,30,579118594,641507000,31,216654739,419458899,0,1,1,1,0
37,6,2,21,32,968214140,401624652,33,89514507,442440870,0,1,1,1,0
38,6,3,50,32,292735862,120832240,34,423132304,683168375,0,1,1,1,0
39,6,4,90,33,888833925,815705156,34,534331429,578947510,0,1,1,1,0
40,6,5,126,34,648981306,690870909,35,201330317,140581145,0,1,1,1,0
41,6,6,141,35,389277557,621113075,36,937646354,719069592,0,1,1,1,0
42,6,7,126,35,533937472,99864776,36,463683183,166818263,0,1,1,1,0
43,6,8,90,36,925039056,260388339,37,645717418,567302054,0,1,1,1,0
44,6,9,50,36,623633709,520992043,37,977680751,552295999,0,1,1,1,0
45,6,10,21,36,624516513,698476043,38,448113740,399533638,0,1,1,1,0
46,6,11,6,36,226662586,955211953,38,307468393,208372384,0,1,1,1,0
47,6,12,1,36,206339317,479141719,38,897023385,959213441,0,1,1,1,0
48,7,0,1,34,186173238,286505938,35,319992286,859811626,0,1,1,1,0
49,7,1,7,35,58989561,684846758,37,472084650,550074340,0,1,1,1,0
50,7,2,28,36,612759643,969910464,38,419767818,462874051,0,1,1,1,0
51,7,3,77,37,500569873,179433886,39,919329992,146176103,0,1,1,1,0
52,7,4,161,38,567360215,901171643,40,138047456,5571211,0,1,1,1,0
53,7,5,266,39,337688777,621029834,40,812823855,664937818,0,1,1,1,0
54,7,6,357,40,335702290,720525212,41,869079317,341635704,0,1,1,1,0
55,7,7,393,40,702719157,168456350,42,209603122,366620138,0,1,1,1,0
56,7,8,357,41,22332355,873702871,42,131394510,786574026,0,1,1,1,0
57,7,9,266,41,670126192,185327828,43,615020236,687856110,0,1,1,1,0
58,7,10,161,42,635905713,477976827,43,160343768,819230386,0,1,1,1,0
59,7,11,77,42,858869597,742610128,44,651257539,22324099,0,1,1,1,0
