edge_id,left_basis_id,right_basis_id,source0_boundary_count,source1_boundary_count,boundary_count,left_weak_class_code,right_weak_class_code,edge_lln_var_num,edge_lln_var_den
0,0,1,0,119,119,11,11,2141762,328225689
1,0,2,103,0,103,11,11,1855442,328225689
2,0,3,1,0,1,11,11,18116,328225689
3,1,2,0,1,1,11,11,18116,328225689
4,1,5,1,0,1,11,11,18116,328225689
5,1,20,43,0,43,11,11,777182,328225689
6,1,32,0,120,120,11,11,2159640,328225689
7,2,3,1,1,2,11,11,36230,328225689
8,2,8,102,0,102,11,11,1837530,328225689
9,3,6,2,0,2,11,11,36230,328225689
10,3,8,0,1,1,11,11,18116,328225689
11,4,7,0,128,128,11,11,2302592,328225689
12,4,11,19,0,19,11,11,343862,328225689
13,4,13,1,0,1,11,11,18116,328225689
14,4,19,0,128,128,11,11,2302592,328225689
15,5,8,0,8,8,11,11,144872,328225689
16,5,14,1,0,1,11,11,18116,328225689
17,5,20,0,8,8,11,11,144872,328225689
18,6,8,0,7,7,11,11,126770,328225689
19,6,16,2,0,2,11,11,36230,328225689
20,7,9,732,0,732,11,11,12725820,328225689
21,7,10,1,0,1,11,11,18116,328225689
22,7,11,0,3,3,11,11,54342,328225689
23,8,12,3,0,3,11,11,54342,328225689
24,8,14,0,3,3,11,11,54342,328225689
25,8,16,0,3,3,11,11,54342,328225689
26,8,22,99,0,99,11,11,1783782,328225689
27,9,10,0,3,3,11,11,54342,328225689
28,9,25,731,0,731,11,11,12709166,328225689
29,9,26,1,0,1,11,11,18116,328225689
30,10,11,0,3,3,11,11,54342,328225689
31,10,26,1,0,1,11,11,18116,328225689
32,11,13,1,7,8,11,11,144872,328225689
33,11,26,0,1,1,11,11,18116,328225689
34,11,27,18,0,18,11,11,325782,328225689
35,12,15,3,0,3,11,11,54342,328225689
36,12,16,0,5,5,11,11,90560,328225689
37,12,22,0,5,5,11,11,90560,328225689
38,13,17,1,0,1,11,11,18116,328225689
39,13,18,1,0,1,11,11,18116,328225689
40,13,19,0,9,9,11,11,162972,328225689
41,13,27,0,2,2,11,11,36230,328225689
42,14,20,0,9,9,11,11,162972,328225689
43,14,21,1,0,1,11,11,18116,328225689
44,14,22,0,6,6,11,11,108666,328225689
45,15,16,0,1,1,11,11,18116,328225689
46,15,22,0,1,1,11,11,18116,328225689
47,15,23,2,0,2,11,11,36230,328225689
48,15,40,1,0,1,11,11,18116,328225689
49,16,24,2,0,2,11,3,36230,328225689
50,17,18,0,1,1,11,11,18116,328225689
51,17,27,0,1,1,11,11,18116,328225689
52,17,28,1,0,1,11,11,18116,328225689
53,18,19,0,1,1,11,11,18116,328225689
54,18,29,1,0,1,11,11,18116,328225689
55,19,30,18,0,18,11,11,325782,328225689
56,19,31,2,0,2,11,11,36230,328225689
57,19,32,0,138,138,11,11,2481102,328225689
58,20,21,0,1,1,11,11,18116,328225689
59,20,32,0,18,18,11,11,325782,328225689
60,20,33,40,0,40,11,11,723080,328225689
61,20,34,1,0,1,11,11,18116,328225689
62,20,35,2,0,2,11,11,36230,328225689
63,21,22,0,1,1,11,11,18116,328225689
64,21,36,1,0,1,11,11,18116,328225689
65,22,23,0,1,1,11,11,18116,328225689
66,22,37,89,0,89,11,11,1604492,328225689
67,22,38,3,0,3,11,11,54342,328225689
68,22,39,7,0,7,11,11,126770,328225689
69,23,39,2,0,2,11,11,36230,328225689
70,23,40,0,1,1,11,11,18116,328225689
71,24,40,0,1,1,3,11,18116,328225689
72,24,41,2,0,2,3,3,36230,328225689
73,25,26,0,5,5,11,11,90560,328225689
74,25,63,731,0,731,11,11,12709166,328225689
75,26,27,0,4,4,11,11,72452,328225689
76,26,63,2,0,2,11,11,36230,328225689
77,27,28,0,1,1,11,11,18116,328225689
