orbit_id,class_id,orbit_rim_count,rank,nullity,golden_flag,representative_rim,charpoly_sha256
0,42,720,10,10,0,0|1|2|3|6|4|5|7|8|9|19|18|17|16|13|15|14|12|11|10,57e107448b50c09657d0f9866b588e8cc655de7ff1d91dd28a6e1ba16d264586
1,47,720,8,12,0,0|1|2|3|6|4|5|7|9|8|19|18|17|16|13|15|14|12|10|11,e684823e35e0c88fdd146179cb5b8acd7730b734042259293b9d4a1111d5d20b
2,14,720,10,10,0,0|1|2|3|6|4|5|9|7|8|19|18|17|16|13|15|14|10|12|11,a10008b0293f40d33704153d78882417f23818e974414efaa0f4cb63997f890b
3,44,720,8,12,0,0|1|2|3|6|4|5|9|8|7|19|18|17|16|13|15|14|10|11|12,70971a23d3eb414ac8f05b3e1025382cf94f509c5ad8fff8c613a129b2e5dbcb
4,38,720,10,10,0,0|1|2|3|6|4|7|5|9|8|19|18|17|16|13|15|12|14|10|11,23e1fbdca77c6140dec9dd01d2ea4316182f15a9582c76df3b7f2224419cd14b
5,37,720,6,14,0,0|1|2|3|6|4|7|9|8|14|19|18|17|16|13|15|12|10|11|5,2a13b18bc737d825fb5d32abe9003959d92db4aefeea106c5202f3a1dffdaf3a
6,22,720,10,10,0,0|1|2|3|6|4|8|7|5|9|19|18|17|16|13|15|11|12|14|10,36832aab4e4eac12161574a1bc482559e88659e4fa0a2e0b3240a592c5061f00
7,46,720,8,12,0,0|1|2|3|6|4|8|9|5|7|19|18|17|16|13|15|11|10|14|12,325741a5b56de309400323981f4faca8c8b340f415f4ab2ee03d1432b7f20392
8,6,720,8,12,0,0|1|2|3|6|4|10|11|5|7|19|18|17|16|13|15|9|8|14|12,170fb68f23761ac29dc6510e01f27e582d9311707d7ec01651fc36800f37db43
9,45,720,6,14,0,0|1|2|3|6|4|10|11|12|14|19|18|17|16|13|15|9|8|7|5,76478693fc0c20b24e9389159bd127f3f3f7954f9e533acfca426ddac415bd41
10,23,720,10,10,0,0|1|2|3|6|4|10|12|14|8|19|18|17|16|13|15|9|7|5|11,cdfef6831093e5c933cdf8ce0db57d9b8c5c78a4f27cb8d6a698618b409fd039
11,39,720,10,10,0,0|1|2|3|6|4|10|14|8|7|19|18|17|16|13|15|9|5|11|12,aa567f48dc63c63bc4a32d5a7e2f5e31f5478e839a35d4c861ec7091de166463
12,6,720,8,12,0,0|1|2|3|6|5|4|7|8|9|19|18|17|16|13|14|15|12|11|10,170fb68f23761ac29dc6510e01f27e582d9311707d7ec01651fc36800f37db43
13,46,720,8,12,0,0|1|2|3|6|5|4|7|9|8|19|18|17|16|13|14|15|12|10|11,325741a5b56de309400323981f4faca8c8b340f415f4ab2ee03d1432b7f20392
14,21,720,10,10,0,0|1|2|3|6|5|4|8|7|9|19|18|17|16|13|14|15|11|12|10,d35dfeec47cf96efacaa85fca4f367c0c03db0569ee7997f7ca01938326855a4
15,60,720,10,10,0,0|1|2|3|6|5|4|8|9|7|19|18|17|16|13|14|15|11|10|12,e6a95b88487d419f17de4c521ffd408ddbdae2a09ed9aea73827fd766a6a6e7c
16,12,720,10,10,0,0|1|2|3|6|5|7|4|8|9|19|18|17|16|13|14|12|15|11|10,9d43999001b0e9114dd1331c5e463bc046cd98d7a2b048c038aecbd068790d1e
17,58,720,10,10,0,0|1|2|3|6|5|7|8|9|15|19|18|17|16|13|14|12|11|10|4,acc7cb6768f1934af6fd0f4c03a0e454c8867add3e9f840b4026825182855a4d
18,51,720,10,10,0,0|1|2|3|6|5|9|7|4|8|19|18|17|16|13|14|10|12|15|11,535c43660670ba6f734349f74c117f4ba5866038a80d7eb5b78a73b8bacc8163
19,12,720,10,10,0,0|1|2|3|6|5|11|10|12|15|19|18|17|16|13|14|8|9|7|4,9d43999001b0e9114dd1331c5e463bc046cd98d7a2b048c038aecbd068790d1e
20,13,720,10,10,0,0|1|2|3|6|5|11|12|15|9|19|18|17|16|13|14|8|7|4|10,ae5969f4ef03c8e8e3986a8e7c9fcd9761354352ca2bc1615b2a23de69482988
21,21,720,10,10,0,0|1|2|3|6|5|11|15|9|7|19|18|17|16|13|14|8|4|10|12,d35dfeec47cf96efacaa85fca4f367c0c03db0569ee7997f7ca01938326855a4
22,43,720,10,10,0,0|1|2|3|6|8|4|5|7|9|19|18|17|16|13|11|15|14|12|10,1f652b57f2d32013674eaf5528d842257aa703511f6969e20dbec30868c6718d
23,3,720,10,10,0,0|1|2|3|6|8|4|5|9|7|19|18|17|16|13|11|15|14|10|12,c45294b790d32f84c14875bb4e744a22683ebf802487d612c33626e43feea6be
24,6,720,8,12,0,0|1|2|3|6|8|4|7|5|9|19|18|17|16|13|11|15|12|14|10,170fb68f23761ac29dc6510e01f27e582d9311707d7ec01651fc36800f37db43
25,61,720,10,10,0,0|1|2|3|6|8|4|10|12|14|19|18|17|16|13|11|15|9|7|5,20fd97dc3d895f6ebf4f60e00785bc9e15990c56a79cea226f5d9da9b62cfc8f
26,19,720,10,10,0,0|1|2|3|6|8|7|4|5|9|19|18|17|16|13|11|12|15|14|10,6e355878a9fce2f221bad925968752dee3e2f592dd5cad2631190538b47be143
27,36,720,10,10,0,0|1|2|3|6|8|7|4|10|14|19|18|17|16|13|11|12|15|9|5,a434b632e5ca12a9d86a17b450f24ed821faf497a9452fab3a8dc450e90cf146
28,3,720,10,10,0,0|1|2|3|6|8|7|5|9|15|19|18|17|16|13|11|12|14|10|4,c45294b790d32f84c14875bb4e744a22683ebf802487d612c33626e43feea6be
29,31,720,8,12,0,0|1|2|3|6|8|7|9|15|14|19|18|17|16|13|11|12|10|4|5,15b3a46b8086fafd564fcd1cbb927b595c742f77e9d836a961b7d95f64d4b8f7
30,8,720,10,10,0,0|1|2|3|6|8|14|10|12|15|19|18|17|16|13|11|5|9|7|4,94d4d89af66baa7ff1247ae992c7f0f87ed41a4026e92828010df8670d6ed48a
31,4,720,10,10,0,0|1|2|3|6|8|14|15|9|7|19|18|17|16|13|11|5|4|10|12,f55272aabcc33616f7cb2b54aace43ff3e8e91ec34139adf680bc9913d03629f
32,32,720,10,10,0,0|1|2|3|6|9|5|4|7|8|19|18|17|16|13|10|14|15|12|11,84a2017ae4a230c9994499c4e7cc8a6d83bb25a1e0a8b784ce974093fa264c63
33,20,720,8,12,0,0|1|2|3|6|9|5|7|4|8|19|18|17|16|13|10|14|12|15|11,0156f174f68cec5342455088bcbcda863bbae1c76ade10e2a136cf7b549c7d3b
34,18,720,10,10,0,0|1|2|3|6|9|5|11|12|15|19|18|17|16|13|10|14|8|7|4,4757f241276c85743088b4a36d628136d9d64ab7752c9be549a324810e5eadfb
35,50,720,10,10,0,0|1|2|3|6|9|7|4|8|14|19|18|17|16|13|10|12|15|11|5,7c05cd7b48c7b7c321af8b4a936f38095ede004b6e6610e6a2255300bc4bfa3a
36,1,720,8,12,0,0|1|2|3|6|9|7|5|4|8|19|18|17|16|13|10|12|14|15|11,cf0aeec4c52f83f925a14e29963910b1188da0f1c1e5b4f1a15fcddae0049cb3
37,15,720,10,10,0,0|1|2|3|6|9|7|5|11|15|19|18|17|16|13|10|12|14|8|4,e69cc3e9f601b015b8492fb03704f47e66f2144b381b77dc352fe6eaf4151f3d
38,10,720,10,10,0,0|1|2|3|6|9|7|8|14|15|19|18|17|16|13|10|12|11|5|4,0703c724589bd001648436f0237e20bf8903fe3054c60adc5fd90f3a5e818bde
39,2,720,10,10,0,0|1|2|3|6|9|15|11|12|14|19|18|17|16|13|10|4|8|7|5,9d1c1b89642f8c17007559033c0abbd3f50fe677c28ffb980d2b8390eb69579d
40,33,720,8,12,0,0|1|2|3|6|9|15|12|14|8|19|18|17|16|13|10|4|7|5|11,8ae34ea8b3b39fee07621f22672c16fe159df26ca0fff7412df9eb39bedb8b90
41,3,720,10,10,0,0|1|2|3|6|12|10|4|8|14|19|18|17|16|13|7|9|15|11|5,c45294b790d32f84c14875bb4e744a22683ebf802487d612c33626e43feea6be
42,33,720,8,12,0,0|1|2|3|6|12|10|11|15|14|19|18|17|16|13|7|9|8|4|5,8ae34ea8b3b39fee07621f22672c16fe159df26ca0fff7412df9eb39bedb8b90
43,23,720,10,10,0,0|1|2|3|6|12|11|10|14|15|19|18|17|16|13|7|8|9|5|4,cdfef6831093e5c933cdf8ce0db57d9b8c5c78a4f27cb8d6a698618b409fd039
44,41,720,10,10,0,0|1|2|3|6|12|14|8|9|15|19|18|17|16|13|7|5|11|10|4,2ee263ae65a837aab2e8a522857c852cec038e0ed7344e238d21ec475c6da176
45,17,720,10,10,0,0|1|2|3|6|12|14|10|4|8|19|18|17|16|13|7|5|9|15|11,e717ceadad8b77b1c348cda8a2a400e55222aa4975a7f923653fbb9230036106
46,35,720,10,10,0,0|1|2|3|6|12|14|10|11|15|19|18|17|16|13|7|5|9|8|4,7541bc95003aabbbfec05ffc06b564a2827358da1eaefc084e1f9bed1b2e26ca
47,29,720,8,12,0,0|1|2|3|6|12|14|15|9|8|19|18|17|16|13|7|5|4|10|11,f57544d96f5389b46c8b6be9160ee7197c16aaf063e9f5db8b8f0ef280525964
48,5,720,8,12,0,0|1|2|3|6|12|15|9|8|14|19|18|17|16|13|7|4|10|11|5,4db900d128083819e3e48d2085915655eb2bd322109ca4386e6dacf5bc19578c
