class_id,rim_count,rank,nullity,golden_flag,directed_overlap_min,directed_overlap_max,directed_overlap_sum,undirected_overlap_min,undirected_overlap_max,undirected_overlap_sum,undirected_weight_min,undirected_weight_max,undirected_weight_sum,directed_global_max_flag,undirected_global_max_flag,weight_global_max_flag,existing_selector_flag
0,144,10,10,1,0,11,732,2,15,1088,2583926321,13211212940,1059715165440,0,0,0,0
1,2880,8,12,0,0,14,15196,0,17,21760,0,15017476570,21194303308800,0,0,0,0
2,2880,10,10,0,0,14,15208,0,16,21760,0,15895219424,21194303308800,0,0,0,0
3,2880,10,10,0,0,16,15304,0,18,21760,0,18688016176,21194303308800,0,1,0,0
4,2880,10,10,0,0,15,15272,0,18,21760,0,17480201640,21194303308800,0,1,0,0
5,2880,8,12,0,0,17,15328,0,18,21760,0,18405643282,21194303308800,0,1,0,0
6,2880,8,12,0,0,16,15616,0,18,21760,0,18181238934,21194303308800,0,1,0,0
7,2160,10,10,0,0,13,11516,0,16,16320,0,14372555718,15895727481600,0,0,0,0
8,1440,10,10,0,0,12,7464,2,16,10880,1577979680,16050838502,10597151654400,0,0,0,0
9,1440,10,10,0,0,13,7524,0,16,10880,0,14767179051,10597151654400,0,0,0,0
10,1440,10,10,0,0,12,7524,0,16,10880,0,15289134050,10597151654400,0,0,0,0
11,1440,10,10,0,0,12,7596,0,16,10880,0,14493210759,10597151654400,0,0,0,0
12,1440,10,10,0,0,12,7516,0,16,10880,0,15197034029,10597151654400,0,0,0,0
13,1440,10,10,0,0,14,7580,0,18,10880,0,17108404812,10597151654400,0,1,0,0
14,1440,10,10,0,0,14,7556,0,16,10880,0,16979441146,10597151654400,0,0,0,0
15,1440,10,10,0,0,13,7640,2,16,10880,1773307694,16075975766,10597151654400,0,0,0,0
16,1440,10,10,0,0,12,7660,0,16,10880,0,14790164362,10597151654400,0,0,0,0
17,1440,10,10,0,0,15,7604,0,18,10880,0,18189994944,10597151654400,0,1,0,0
18,1440,10,10,0,0,15,7644,0,16,10880,0,15719715462,10597151654400,0,0,0,0
19,1440,10,10,0,0,14,7612,0,16,10880,0,15777489074,10597151654400,0,0,0,0
20,1440,8,12,0,0,15,7560,0,17,10880,0,15041397922,10597151654400,0,0,0,0
21,1440,10,10,0,0,15,7648,0,18,10880,0,18463611828,10597151654400,0,1,0,0
22,1440,10,10,0,0,14,7604,0,16,10880,0,15130537333,10597151654400,0,0,0,0
23,1440,10,10,0,0,14,7676,0,18,10880,0,17634717266,10597151654400,0,1,0,0
24,1440,10,10,0,0,13,7696,0,16,10880,0,15859498687,10597151654400,0,0,0,0
25,1440,10,10,0,0,14,7560,2,15,10880,1562822591,15154458685,10597151654400,0,0,0,0
26,1440,10,10,0,0,14,7640,0,17,10880,0,16619090150,10597151654400,0,0,0,0
27,1440,8,12,0,0,12,7744,2,15,10880,1562822591,14955742947,10597151654400,0,0,0,0
28,1440,10,10,0,0,14,7700,0,16,10880,0,15776273162,10597151654400,0,0,0,0
29,1440,8,12,0,0,15,7576,0,18,10880,0,17883700698,10597151654400,0,1,0,0
30,1440,8,12,0,0,14,7704,2,16,10880,1562822591,15801410426,10597151654400,0,0,0,0
31,1440,8,12,0,0,16,7744,0,16,10880,0,16083903035,10597151654400,0,0,0,0
32,1440,10,10,0,0,12,7672,0,17,10880,0,15577006078,10597151654400,0,0,0,0
33,1440,8,12,0,0,15,7736,0,18,10880,0,16925748251,10597151654400,0,1,0,0
34,1440,8,12,0,0,13,7708,0,16,10880,0,16052054414,10597151654400,0,0,0,0
35,1440,10,10,0,0,15,7712,0,18,10880,0,18311713493,10597151654400,0,1,0,0
36,1440,10,10,0,0,14,7716,2,16,10880,1562822591,15071855723,10597151654400,0,0,0,0
37,1440,6,14,0,0,14,7812,0,17,10880,0,16045089574,10597151654400,0,0,0,0
38,1440,10,10,0,0,12,7752,2,16,10880,1577979680,13999433565,10597151654400,0,0,0,0
39,1440,10,10,0,0,14,7784,0,18,10880,0,17504122992,10597151654400,0,1,0,0
