visible_index,source_atom_id,target_atom_id,relation_match_count,covered_flag,singleton_flag,multivalued_flag,raw_backed_match_count,unit_time_match_count,contact_lift_match_count,semantic_match_count,operation_row_match_count
0,0,2,1,1,1,0,1,1,1,0,0
1,1,5,3,1,0,1,3,3,3,0,0
2,2,11,1,1,1,0,1,1,1,0,0
3,5,15,4,1,0,1,4,4,4,0,0
4,11,13,1,1,1,0,1,1,1,0,0
5,15,10,4,1,0,1,4,4,4,0,0
6,13,16,1,1,1,0,1,1,1,0,0
7,10,7,6,1,0,1,6,6,6,0,0
8,16,19,1,1,1,0,1,1,1,0,0
9,7,18,5,1,0,1,5,5,5,0,0
10,19,17,2,1,0,1,2,2,2,0,0
11,18,14,3,1,0,1,3,3,3,0,0
12,17,8,1,1,1,0,1,1,1,0,0
13,14,4,5,1,0,1,5,5,5,0,0
14,8,6,2,1,0,1,2,2,2,0,0
15,4,9,5,1,0,1,5,5,5,0,0
16,6,3,1,1,1,0,1,1,1,0,0
17,9,12,3,1,0,1,3,3,3,0,0
18,3,0,4,1,0,1,4,4,4,0,0
19,12,1,6,1,0,1,6,6,6,0,0
