section_id,path_id,fiber_row_id,step_index,component_id,raw_row_id,lower_addr,upper_addr,source0_addr,source1_addr,target_addr,coeff,coeff_square,interval_width,long_tens_gap_flag,zeta_interval_flag
0,0,0,0,0,41694,45,114,114,753,45,2,4,70,0,1
1,1,1,0,1,0,0,53,53,291,0,8,64,54,0,1
2,2,2,0,2,206848,139,171,171,291,139,2,4,33,0,1
3,3,3,0,0,41694,45,114,114,753,45,2,4,70,0,1
4,3,3,1,0,41694,45,114,114,753,45,2,4,70,0,1
5,4,4,0,0,41694,45,114,114,753,45,2,4,70,0,1
6,4,4,1,1,0,0,53,53,291,0,8,64,54,0,1
7,5,5,0,1,0,0,53,53,291,0,8,64,54,0,1
8,5,5,1,1,0,0,53,53,291,0,8,64,54,0,1
9,6,6,0,1,0,0,53,53,291,0,8,64,54,0,1
10,6,6,1,2,206848,139,171,171,291,139,2,4,33,0,1
11,7,7,0,2,206848,139,171,171,291,139,2,4,33,0,1
12,7,7,1,2,206848,139,171,171,291,139,2,4,33,0,1
13,8,8,0,0,41694,45,114,114,753,45,2,4,70,0,1
14,8,8,1,0,41694,45,114,114,753,45,2,4,70,0,1
15,8,8,2,0,41694,45,114,114,753,45,2,4,70,0,1
16,9,9,0,0,41694,45,114,114,753,45,2,4,70,0,1
17,9,9,1,0,41694,45,114,114,753,45,2,4,70,0,1
18,9,9,2,1,0,0,53,53,291,0,8,64,54,0,1
19,10,10,0,0,41694,45,114,114,753,45,2,4,70,0,1
20,10,10,1,1,0,0,53,53,291,0,8,64,54,0,1
21,10,10,2,1,0,0,53,53,291,0,8,64,54,0,1
22,11,11,0,1,0,0,53,53,291,0,8,64,54,0,1
23,11,11,1,1,0,0,53,53,291,0,8,64,54,0,1
24,11,11,2,1,0,0,53,53,291,0,8,64,54,0,1
25,12,12,0,1,0,0,53,53,291,0,8,64,54,0,1
26,12,12,1,1,0,0,53,53,291,0,8,64,54,0,1
27,12,12,2,2,206848,139,171,171,291,139,2,4,33,0,1
28,13,13,0,1,0,0,53,53,291,0,8,64,54,0,1
29,13,13,1,2,206848,139,171,171,291,139,2,4,33,0,1
30,13,13,2,2,206848,139,171,171,291,139,2,4,33,0,1
31,14,14,0,2,206848,139,171,171,291,139,2,4,33,0,1
32,14,14,1,2,206848,139,171,171,291,139,2,4,33,0,1
33,14,14,2,2,206848,139,171,171,291,139,2,4,33,0,1
34,15,15,0,0,41694,45,114,114,753,45,2,4,70,0,1
35,15,15,1,0,41694,45,114,114,753,45,2,4,70,0,1
36,15,15,2,0,41694,45,114,114,753,45,2,4,70,0,1
37,15,15,3,0,41694,45,114,114,753,45,2,4,70,0,1
38,16,16,0,0,41694,45,114,114,753,45,2,4,70,0,1
39,16,16,1,0,41694,45,114,114,753,45,2,4,70,0,1
40,16,16,2,0,41694,45,114,114,753,45,2,4,70,0,1
41,16,16,3,1,0,0,53,53,291,0,8,64,54,0,1
42,17,17,0,0,41694,45,114,114,753,45,2,4,70,0,1
43,17,17,1,0,41694,45,114,114,753,45,2,4,70,0,1
44,17,17,2,1,0,0,53,53,291,0,8,64,54,0,1
45,17,17,3,1,0,0,53,53,291,0,8,64,54,0,1
46,18,18,0,0,41694,45,114,114,753,45,2,4,70,0,1
47,18,18,1,1,0,0,53,53,291,0,8,64,54,0,1
48,18,18,2,1,0,0,53,53,291,0,8,64,54,0,1
49,18,18,3,1,0,0,53,53,291,0,8,64,54,0,1
50,19,19,0,1,0,0,53,53,291,0,8,64,54,0,1
51,19,19,1,1,0,0,53,53,291,0,8,64,54,0,1
52,19,19,2,1,0,0,53,53,291,0,8,64,54,0,1
53,19,19,3,1,0,0,53,53,291,0,8,64,54,0,1
54,20,20,0,1,0,0,53,53,291,0,8,64,54,0,1
55,20,20,1,1,0,0,53,53,291,0,8,64,54,0,1
56,20,20,2,1,0,0,53,53,291,0,8,64,54,0,1
57,20,20,3,2,206848,139,171,171,291,139,2,4,33,0,1
58,21,21,0,1,0,0,53,53,291,0,8,64,54,0,1
59,21,21,1,1,0,0,53,53,291,0,8,64,54,0,1
60,21,21,2,2,206848,139,171,171,291,139,2,4,33,0,1
61,21,21,3,2,206848,139,171,171,291,139,2,4,33,0,1
62,22,22,0,1,0,0,53,53,291,0,8,64,54,0,1
63,22,22,1,2,206848,139,171,171,291,139,2,4,33,0,1
64,22,22,2,2,206848,139,171,171,291,139,2,4,33,0,1
65,22,22,3,2,206848,139,171,171,291,139,2,4,33,0,1
66,23,23,0,2,206848,139,171,171,291,139,2,4,33,0,1
67,23,23,1,2,206848,139,171,171,291,139,2,4,33,0,1
68,23,23,2,2,206848,139,171,171,291,139,2,4,33,0,1
69,23,23,3,2,206848,139,171,171,291,139,2,4,33,0,1
70,24,24,0,0,41694,45,114,114,753,45,2,4,70,0,1
71,24,24,1,0,41694,45,114,114,753,45,2,4,70,0,1
72,24,24,2,0,41694,45,114,114,753,45,2,4,70,0,1
73,24,24,3,0,41694,45,114,114,753,45,2,4,70,0,1
74,24,24,4,0,41694,45,114,114,753,45,2,4,70,0,1
75,25,25,0,0,41694,45,114,114,753,45,2,4,70,0,1
76,25,25,1,0,41694,45,114,114,753,45,2,4,70,0,1
77,25,25,2,0,41694,45,114,114,753,45,2,4,70,0,1
78,25,25,3,0,41694,45,114,114,753,45,2,4,70,0,1
79,25,25,4,1,0,0,53,53,291,0,8,64,54,0,1
80,26,26,0,0,41694,45,114,114,753,45,2,4,70,0,1
81,26,26,1,0,41694,45,114,114,753,45,2,4,70,0,1
82,26,26,2,0,41694,45,114,114,753,45,2,4,70,0,1
83,26,26,3,1,0,0,53,53,291,0,8,64,54,0,1
84,26,26,4,1,0,0,53,53,291,0,8,64,54,0,1
85,27,27,0,0,41694,45,114,114,753,45,2,4,70,0,1
