atom_id,cycle_prev,cycle_next,cycle_antipode,stress_complement,stress_neighbor_count,cycle_neighbor_hit_count,complement_is_cycle_antipode_flag,complement_forward_edge_flag,complement_reverse_edge_flag,signed_tension_scaled
0,19,1,10,19,5,1,0,1,1,10000000000
1,0,2,11,18,5,0,0,1,1,812412783
2,1,3,12,17,5,1,0,1,1,2323258234
3,2,4,13,16,5,0,0,1,1,338229093
4,3,5,14,15,5,0,0,1,1,1464034193
5,4,6,15,14,5,1,0,1,1,2807949144
6,5,7,16,13,5,0,0,1,1,141468728
7,6,8,17,12,5,0,0,1,1,4054536444
8,7,9,18,11,5,2,0,0,1,7465207748
9,8,10,19,10,5,1,0,0,1,6047383004
10,9,11,0,9,5,2,0,1,0,-6047383004
11,10,12,1,8,5,2,0,1,0,-7465207748
12,11,13,2,7,5,0,0,1,1,-4054536444
13,12,14,3,6,5,0,0,1,1,-141468728
14,13,15,4,5,5,1,0,1,1,-2807949144
15,14,16,5,4,5,1,0,1,1,-1464034193
16,15,17,6,3,5,0,0,1,1,-338229093
17,16,18,7,2,5,1,0,1,1,-2323258234
18,17,19,8,1,5,0,0,1,1,-812412783
19,18,0,9,0,5,1,0,1,1,-10000000000
