stress_edge_id,source_atom,target_atom,weight_scaled,signed_tension_scaled,complement_edge_flag,cycle_edge_flag,cycle_antipode_edge_flag
0,0,11,2482386484,-7465207748,0,0,0
1,0,19,1627463138,-10000000000,1,1,0
2,0,10,1461206588,-6047383004,0,0,1
3,0,5,924978992,2807949144,0,0,0
4,0,12,798074594,-4054536444,0,0,0
5,1,18,1102058093,-812412783,1,0,0
6,1,4,785753363,1464034193,0,0,0
7,1,13,754277662,-141468728,0,0,0
8,1,16,753839884,-338229093,0,0,0
9,1,6,741864259,141468728,0,0,0
10,2,5,861278014,2807949144,0,0,0
11,2,17,852247459,-2323258234,1,0,0
12,2,4,814902001,1464034193,0,0,0
13,2,1,796288246,812412783,0,1,0
14,2,12,698772247,-4054536444,0,0,1
15,3,16,1177033227,-338229093,1,0,0
16,3,6,768235317,141468728,0,0,0
17,3,13,762412190,-141468728,0,0,1
18,3,18,752009486,-812412783,0,0,0
19,3,1,697328966,812412783,0,0,0
20,4,15,1005170621,-1464034193,1,0,0
21,4,1,792834141,812412783,0,0,0
22,4,16,733797177,-338229093,0,0,0
23,4,13,727982771,-141468728,0,0,0
24,4,2,718397382,2323258234,0,0,0
25,5,2,903212908,2323258234,0,0,0
26,5,12,836644313,-4054536444,0,0,0
27,5,4,822179257,1464034193,0,1,0
28,5,14,816118138,-2807949144,1,0,0
29,5,1,801463641,812412783,0,0,0
30,6,13,1222119331,-141468728,1,0,0
31,6,3,778073728,338229093,0,0,0
32,6,16,771508623,-338229093,0,0,1
33,6,18,729893020,-812412783,0,0,0
34,6,1,728681970,812412783,0,0,0
35,7,12,824613524,-4054536444,1,0,0
36,7,15,822990562,-1464034193,0,0,0
37,7,9,813281384,6047383004,0,0,0
38,7,14,762645989,-2807949144,0,0,0
39,7,17,728066834,-2323258234,0,0,1
40,8,19,1153357978,-10000000000,0,0,0
41,8,9,1126064767,6047383004,0,1,0
42,8,7,956181337,4054536444,0,1,0
43,8,14,915084768,-2807949144,0,0,0
44,8,17,869172796,-2323258234,0,0,0
45,9,8,1055384939,7465207748,0,1,0
46,9,7,1054428363,4054536444,0,0,0
47,9,19,899196087,-10000000000,0,0,1
48,9,15,833124425,-1464034193,0,0,0
49,9,14,797327211,-2807949144,0,0,0
50,10,12,1025293292,-4054536444,0,0,0
51,10,5,935822118,2807949144,0,0,0
52,10,11,899484360,-7465207748,0,1,0
53,10,4,778513734,1464034193,0,0,0
54,10,9,763829382,6047383004,1,1,0
55,11,0,1676528067,10000000000,0,0,0
56,11,10,1457861554,-6047383004,0,1,0
57,11,8,1116780045,7465207748,1,0,0
58,11,5,1021663347,2807949144,0,0,0
59,11,12,950629042,-4054536444,0,1,0
60,12,7,827163159,4054536444,1,0,0
61,12,5,817936121,2807949144,0,0,0
62,12,10,791735858,-6047383004,0,0,0
63,12,4,789684262,1464034193,0,0,0
64,12,1,766790346,812412783,0,0,0
65,13,6,1213677768,141468728,1,0,0
66,13,16,769058776,-338229093,0,0,0
67,13,3,766842365,338229093,0,0,1
68,13,1,735757342,812412783,0,0,0
69,13,18,725222376,-812412783,0,0,0
70,14,17,897503723,-2323258234,0,0,0
71,14,5,774097737,2807949144,1,0,0
72,14,18,760680080,-812412783,0,0,0
73,14,15,758572710,-1464034193,0,1,0
74,14,7,742211987,4054536444,0,0,0
75,15,4,1029629633,1464034193,1,0,0
76,15,18,785145539,-812412783,0,0,0
77,15,7,727128035,4054536444,0,0,0
78,15,3,725236241,338229093,0,0,0
79,15,14,688665419,-2807949144,0,1,0
80,16,3,1208025639,338229093,1,0,0
81,16,13,784748863,-141468728,0,0,0
82,16,6,781810916,141468728,0,0,1
83,16,1,750332283,812412783,0,0,0
84,16,4,723859806,1464034193,0,0,0
85,17,14,901943407,-2807949144,0,0,0
86,17,2,851918966,2323258234,1,0,0
87,17,18,767576987,-812412783,0,1,0
88,17,15,759161281,-1464034193,0,0,0
89,17,7,712064363,4054536444,0,0,1
90,18,1,1081202338,812412783,1,0,0
91,18,3,760744314,338229093,0,0,0
92,18,15,745272872,-1464034193,0,0,0
93,18,13,729407669,-141468728,0,0,0
94,18,6,729034571,141468728,0,0,0
95,19,8,1557393801,7465207748,0,0,0
96,19,9,1295511294,6047383004,0,0,1
97,19,7,975233100,4054536444,0,0,0
98,19,0,975179216,10000000000,1,1,0
99,19,14,902187790,-2807949144,0,0,0
